"Active Players","Age","Pos.","Status","Base Salary","Signing Bonus","Incentives","Payroll Salary","Adj.  Salary","Payroll %","Lux. Tax Salary"
"Ryan Braun",34,"LF","Vet",1.9e+07,1e+06,0,2e+07,2e+07,18.35,"21,000,000"
"Lorenzo Cain",32,"CF","Vet",1.4e+07,0,3e+05,14300000,14300000,13.12,"16,000,000"
"Jhoulys Chacin",30,"SP","Vet",8e+06,750000,0,8750000,8750000,8.03,"7,750,000"
"Christian Yelich",26,"LF","Arb 2",7e+06,0,0,7e+06,7e+06,6.42,"7,081,429"
"Eric Thames",31,"1B","Vet",5e+06,0,0,5e+06,5e+06,4.59,"5,333,333"
"Chase Anderson",30,"SP","Arb 2",4250000,5e+05,0,4750000,4750000,4.36,"5,875,000"
"Corey Knebel",26,"RP/CL","Arb 1",3650000,0,0,3650000,3650000,3.35,"3,650,000"
"Joakim Soria",34,"RP","Vet",9e+06,0,0,9e+06,2838710,2.6,"8,333,333"
"Jonathan Schoop",26,"2B","Arb 2",8500000,0,0,8500000,2833338,2.6,"8,500,000"
"Matt Albers",35,"RP","Vet",2500000,0,0,2500000,2500000,2.29,"2,500,000"
"Wade Miley",31,"SP","Vet",2500000,0,0,2500000,2500000,2.29,"2,500,000"
"Jeremy Jeffress",30,"RP","Arb 2",1700000,50000,550000,2300000,2300000,2.11,"1,750,000"
"Hernan Perez",27,"2B","Arb 1",1975000,0,0,1975000,1975000,1.81,"1,975,000"
"Mike Moustakas",29,"3B","Vet",5500000,0,2200000,7700000,1922050,1.76,"6,500,000"
"Curtis Granderson",37,"RF","Vet",5e+06,0,0,5e+06,833342,0.76,"5,000,000"
"Dan Jennings",31,"RP","Arb 3",750000,0,0,750000,750000,0.69,"750,000"
"Zach Davies",25,"SP","Pre-Arb",572000,0,0,572000,572000,0.52,"572,000"
"Travis Shaw",28,"3B","Pre-Arb",567400,0,0,567400,567400,0.52,"567,400"
"Manuel Pina",31,"C","Pre-Arb",560100,0,0,560100,560100,0.51,"560,100"
"Jesus Aguilar",28,"1B","Pre-Arb",557200,0,0,557200,557200,0.51,"557,200"
"Josh Hader",24,"RP/CL","Pre-Arb",556500,0,0,556500,556500,0.51,"556,500"
"Junior Guerra",33,"SP","Pre-Arb",545000,0,0,545000,509820,0.47,"545,000"
"Taylor Williams",26,"RP","Pre-Arb",545000,0,0,545000,489310,0.45,"545,000"
"Orlando Arcia",23,"SS","Pre-Arb",559600,0,0,559600,472413,0.43,"559,600"
"Freddy Peralta",22,"SP","Pre-Arb",545000,0,0,545000,468800,0.43,"545,000"
"Jacob Barnes",28,"RP","Pre-Arb",558900,0,0,558900,441735,0.41,"558,900"
"Nick Franklin",27,"LF","Arb 1",545000,0,0,545000,427780,0.39,"545,000"
"Tyler Saladino",28,"SS","Pre-Arb",565000,0,0,565000,407092,0.37,"565,000"
"Erik Kratz",38,"C","",545000,0,0,545000,377970,0.35,"545,000"
"Domingo Santana",25,"RF","Pre-Arb",572400,0,0,572400,356932,0.33,"572,400"
"Corbin Burnes",23,"RP","Pre-Arb",545000,0,0,545000,249050,0.23,"545,000"
"Jordan Lyles",27,"SP","Vet",750000,0,0,750000,229824,0.21,"1,000,000"
"Brandon Woodruff",25,"RP","Pre-Arb",550100,0,0,550100,210018,0.19,"550,100"
"Keon Broxton",28,"RF","Pre-Arb",545000,0,0,545000,205100,0.19,"545,000"
"Xavier Cedeno",31,"RP","Arb 2",1050000,0,0,1050000,174995,0.16,"1,050,000"
"Jacob Nottingham",23,"C","Pre-Arb",545000,0,0,545000,152360,0.14,"545,000"
