"Active Players","Age","Pos.","Status","Base Salary","Signing Bonus","Incentives","Payroll Salary","Adj.  Salary","Payroll %","Lux. Tax Salary"
"Joe Mauer",34,"1B","Vet",2.3e+07,0,0,2.3e+07,2.3e+07,19,"23,000,000"
"Ervin Santana",34,"SP","Vet",13500000,0,0,13500000,13500000,11.15,"13,750,000"
"Jason Castro",30,"C","Vet",8500000,0,0,8500000,8500000,7.02,"8,166,667"
"Glen Perkins",34,"RP","Vet",6500000,0,0,6500000,6500000,5.37,"5,543,750"
"Brian Dozier",30,"2B","Arb 2",6e+06,0,25000,6025000,6025000,4.98,"5,000,000"
"Kyle Gibson",29,"SP","Arb 1",2900000,0,0,2900000,2900000,2.4,"2,900,000"
"Eduardo Escobar",28,"SS","Arb 2",2600000,0,0,2600000,2600000,2.15,"2,600,000"
"Matt Belisle",37,"RP","Vet",2050000,0,0,2050000,2050000,1.69,"2,050,000"
"Ryan Pressly",28,"RP","Arb 1",1175000,0,0,1175000,1175000,0.97,"1,175,000"
"Chris Gimenez",34,"C","Arb 4",950000,0,0,950000,950000,0.78,"950,000"
"Ehire Adrianza",27,"SS","Arb 1",6e+05,0,0,6e+05,6e+05,0.5,"600,000"
"Miguel Sano",24,"3B","Pre-Arb",572500,0,0,572500,572500,0.47,"572,500"
"Robbie Grossman",27,"LF","Pre-Arb",552500,0,0,552500,552500,0.46,"552,500"
"Eddie Rosario",25,"LF","Pre-Arb",552500,0,0,552500,552500,0.46,"552,500"
"Max Kepler",24,"RF","Pre-Arb",547500,0,0,547500,547500,0.45,"547,500"
"Tyler Duffey",26,"RP","Pre-Arb",542500,0,0,542500,542500,0.45,"542,500"
"Taylor Rogers",26,"RP","Pre-Arb",542500,0,0,542500,542500,0.45,"542,500"
"Jorge Polanco",23,"SS","Pre-Arb",540000,0,0,540000,540000,0.45,"540,000"
"Byron Buxton",23,"CF","Pre-Arb",535000,0,0,535000,535000,0.44,"535,000"
"Adalberto Mejia",24,"SP","Pre-Arb",535000,0,0,535000,435527,0.36,"535,000"
"Jose Berrios",23,"SP","Pre-Arb",535000,0,0,535000,415066,0.34,"535,000"
"Buddy Boshers",29,"RP","Pre-Arb",535000,0,0,535000,341991,0.28,"535,000"
"Kennys Vargas",26,"1B","Pre-Arb",540000,0,0,540000,336414,0.28,"540,000"
"Trevor Hildenberger",26,"RP","Pre-Arb",535000,0,0,535000,295223,0.24,"535,000"
"Alan Busenitz",26,"P","Pre-Arb",535000,0,0,535000,248455,0.21,"535,000"
"Bartolo Colon",44,"SP","Vet",535000,0,0,535000,222148,0.18,"535,000"
"Zach Granite",24,"OF","Pre-Arb",535000,0,0,535000,195841,0.16,"535,000"
"Dillon Gee",31,"RP","Arb 3",535000,0,0,535000,192918,0.16,"535,000"
"Michael Tonkin",27,"RP","Pre-Arb",542500,0,0,542500,180804,0.15,"542,500"
"Nik Turley",27,"RP","Pre-Arb",535000,0,0,535000,143227,0.12,"535,000"
"Mitch Garver",26,"C","Pre-Arb",535000,0,0,535000,131535,0.11,"535,000"
"John Curtiss",24,"RP","Pre-Arb",535000,0,0,535000,116920,0.1,"535,000"
"Niko Goodrum",25,"RF","Pre-Arb",535000,0,0,535000,90613,0.07,"535,000"
"Aaron Slegers",24,"P","Pre-Arb",535000,0,0,535000,84767,0.07,"535,000"
