"Active Players","Age","Pos.","Status","Base Salary","Signing Bonus","Incentives","Payroll Salary","Adj.  Salary","Payroll %","Lux. Tax Salary"
"David Wright",35,"3B","Vet",2e+07,0,0,2e+07,2e+07,13.32,"17,250,000"
"Jay Bruce",31,"RF","Vet",1e+07,1e+06,0,1.1e+07,1.1e+07,7.32,"13,000,000"
"Todd Frazier",32,"3B","Vet",8e+06,0,0,8e+06,8e+06,5.33,"8,500,000"
"Jacob deGrom",30,"SP","Arb 2",7400000,0,0,7400000,7400000,4.93,"7,400,000"
"Jerry Blevins",34,"RP","Vet",7e+06,0,0,7e+06,7e+06,4.66,"6,500,000"
"Jason Vargas",35,"SP","Vet",6e+06,0,0,6e+06,6e+06,3.99,"8,000,000"
"Anthony Swarzak",32,"RP","Vet",5e+06,5e+05,0,5500000,5500000,3.66,"7,000,000"
"Wilmer Flores",26,"1B","Arb 2",3400000,0,0,3400000,3400000,2.26,"3,400,000"
"Noah Syndergaard",25,"SP","Arb 1",2975000,0,0,2975000,2975000,1.98,"2,975,000"
"Jose Reyes",35,"3B","Vet",2e+06,0,0,2e+06,2e+06,1.33,"2,000,000"
"Zack Wheeler",28,"SP","Arb 2",1900000,0,0,1900000,1900000,1.27,"1,900,000"
"Michael Conforto",25,"RF","Pre-Arb",605094,0,0,605094,605094,0.4,"605,094"
"Steven Matz",27,"SP","Pre-Arb",577000,0,0,577000,577000,0.38,"577,000"
"Seth Lugo",28,"RP","Pre-Arb",564000,0,0,564000,564000,0.38,"564,000"
"Robert Gsellman",24,"RP","Pre-Arb",562375,0,0,562375,562375,0.37,"562,375"
"Kevin Plawecki",27,"C","Pre-Arb",557471,0,0,557471,557471,0.37,"557,471"
"Amed Rosario",22,"SS","Pre-Arb",548940,0,0,548940,548940,0.37,"548,940"
"Brandon Nimmo",25,"CF","Pre-Arb",555968,0,0,555968,546987,0.36,"555,968"
"Paul Sewald",28,"RP","Pre-Arb",553250,0,0,553250,475840,0.32,"553,250"
"Jose Lobaton",33,"C","Vet",1250000,0,0,1250000,463680,0.31,"1,250,000"
"Jacob Rhame",25,"RP","Pre-Arb",545650,0,0,545650,305136,0.2,"545,650"
"Tyler Bashlor",25,"RP","Pre-Arb",545000,0,0,545000,287140,0.19,"545,000"
"Corey Oswalt",24,"SP","Pre-Arb",545000,0,0,545000,287140,0.19,"545,000"
"Tim Peterson",27,"RP","Vet",545000,0,0,545000,272490,0.18,"545,000"
"Drew Smith",24,"SP","Pre-Arb",545000,0,0,545000,260770,0.17,"545,000"
"Tomas Nido",24,"C","Pre-Arb",545000,0,0,545000,219750,0.15,"545,000"
"Dominic Smith",23,"1B","Pre-Arb",545000,0,0,545000,219750,0.15,"545,000"
"Jeff McNeil",26,"3B","Pre-Arb",545000,0,0,545000,202170,0.13,"545,000"
"Austin Jackson",31,"CF","Vet",545000,0,0,545000,193380,0.13,"545,000"
"Daniel Zamora",25,"RP","Pre-Arb",545000,0,0,545000,131850,0.09,"545,000"
"Jack Reinheimer",26,"SS","Pre-Arb",545000,0,0,545000,114270,0.08,"545,000"
"Drew Gagnon",28,"SP","Pre-Arb",545000,0,0,545000,84970,0.06,"545,000"
"Devin Mesoraco",30,"C","Vet",1.3e+07,125000,0,13125000,0,0,"7,000,000"
