"Active Players","Age","Pos.","Status","Base Salary","Signing Bonus","Incentives","Payroll Salary","Adj.  Salary","Payroll %","Lux. Tax Salary"
"Giancarlo Stanton",28,"DH","Vet",2.5e+07,0,0,2.5e+07,2.5e+07,13.88,"25,000,000"
"Masahiro Tanaka",29,"SP","Pre-Arb",2.2e+07,0,0,2.2e+07,2.2e+07,12.22,"22,142,857"
"Aroldis Chapman",30,"RP/CL","Vet",1.5e+07,2200000,0,17200000,17200000,9.55,"17,200,000"
"David Robertson",33,"RP","Vet",1.3e+07,0,0,1.3e+07,1.3e+07,7.22,"11,500,000"
"Brett Gardner",34,"LF","Vet",1.1e+07,5e+05,0,11500000,11500000,6.39,"13,000,000"
"C.C. Sabathia",37,"SP","Vet",1e+07,0,5e+05,10500000,10500000,5.83,"10,000,000"
"Didi Gregorius",28,"SS","Arb 3",8500000,0,0,8500000,8500000,4.72,"8,500,000"
"Sonny Gray",28,"SP","Arb 2",6500000,0,0,6500000,6500000,3.61,"6,500,000"
"Dellin Betances",30,"RP","Arb 2",5100000,0,0,5100000,5100000,2.83,"5,100,000"
"J.A. Happ",35,"SP","Vet",1.3e+07,0,0,1.3e+07,4612872,2.56,"12,000,000"
"Zack Britton",30,"RP","Arb 3",1.2e+07,0,0,1.2e+07,4387088,2.44,"12,000,000"
"Neil Walker",32,"2B","Vet",4e+06,0,0,4e+06,4e+06,2.22,"4,000,000"
"Aaron Hicks",28,"CF","Arb 2",2825000,0,0,2825000,2825000,1.57,"2,825,000"
"Lance Lynn",31,"SP","Vet",1.2e+07,0,0,1.2e+07,1999996,1.11,"12,000,000"
"Tommy Kahnle",28,"RP","Arb 1",1312500,0,0,1312500,1312500,0.73,"1,312,500"
"Andrew McCutchen",31,"RF","Vet",14750000,0,0,14750000,1229165,0.68,"8,583,333"
"Austin Romine",29,"C","Arb 2",1100000,0,0,1100000,1100000,0.61,"1,100,000"
"Aaron Judge",26,"RF","Pre-Arb",622300,0,0,622300,622300,0.35,"622,300"
"Gary Sanchez",25,"C","Pre-Arb",620400,0,0,620400,620400,0.34,"620,400"
"Luis Severino",24,"SP","Pre-Arb",604975,0,0,604975,604975,0.34,"604,975"
"Greg Bird",25,"1B","Pre-Arb",582000,0,0,582000,582000,0.32,"582,000"
"Chad Green",27,"RP","Pre-Arb",570800,0,0,570800,570800,0.32,"570,800"
"Miguel Andujar",23,"3B","Pre-Arb",545800,0,0,545800,539856,0.3,"545,800"
"Jonathan Holder",26,"RP","Pre-Arb",553850,0,0,553850,512216,0.28,"553,850"
"A.J. Cole",26,"RP","Pre-Arb",555300,0,0,555300,480585,0.27,"555,300"
"Gleyber Torres",21,"SS","Pre-Arb",545000,0,0,545000,474660,0.26,"545,000"
"Ronald Torreyes",25,"2B","Pre-Arb",615500,0,0,615500,387153,0.21,"615,500"
"Domingo German",25,"SP","Pre-Arb",548225,0,0,548225,347746,0.19,"548,225"
"Luis Cessa",26,"RP","Pre-Arb",568925,0,0,568925,315077,0.17,"568,925"
"Kyle Higashioka",28,"C","Pre-Arb",545000,0,0,545000,272490,0.15,"545,000"
"Tyler Wade",23,"1B","Pre-Arb",551300,0,0,551300,237120,0.13,"551,300"
"Luke Voit",27,"1B","Pre-Arb",545000,0,0,545000,164080,0.09,"545,000"
"Jonathan Loaisiga",23,"RP","Pre-Arb",545000,0,0,545000,137710,0.08,"545,000"
"Adeiny Hechavarria",29,"SS","Arb 3",5900000,0,0,5900000,87900,0.05,"5,900,000"
"Caleb Frare",24,"RP","Pre-Arb",545000,0,0,545000,87900,0.05,"545,000"
"Stephen Tarpley",25,"RP","Pre-Arb",545000,0,0,545000,87900,0.05,"545,000"
"Chance Adams",23,"SP","Pre-Arb",545000,0,0,545000,73250,0.04,"545,000"
"Justus Sheffield",22,"RP","Pre-Arb",545000,0,0,545000,38090,0.02,"545,000"
