"Active Players","Age","Pos.","Status","Base Salary","Signing Bonus","Incentives","Payroll Salary","Adj.  Salary","Payroll %","Lux. Tax Salary"
"Coco Crisp",35,"CF","Vet",1.1e+07,0,0,1.1e+07,1.1e+07,13.69,"11,375,000"
"Billy Butler",29,"DH","Vet",5e+06,1666666,0,6666666,6666666,8.29,"10,000,000"
"Josh Reddick",28,"RF","Arb 2",4100000,0,0,4100000,4100000,5.1,"4,100,000"
"Edward Mujica",31,"RP","Vet",3841530,0,0,3841530,3841530,4.78,"4,750,000"
"Brett Lawrie",25,"2B","Arb 1",1925000,0,0,1925000,1925000,2.39,"1,925,000"
"Sam Fuld",33,"CF","Arb 3",1750000,0,0,1750000,1750000,2.18,"1,750,000"
"Craig Gentry",31,"LF","Arb 2",1600000,0,0,1600000,1600000,1.99,"1,600,000"
"Fernando Abad",29,"RP","Arb 1",1087500,0,0,1087500,1087500,1.35,"1,087,500"
"Eric Sogard",29,"2B","Arb 1",1075000,0,0,1075000,1075000,1.34,"1,075,000"
"Barry Zito",37,"SP","Vet",1058823,0,0,1058823,1058823,1.32,"1,000,000"
"Sean Doolittle",28,"RP/CL","Arb 1",750000,30000,0,780000,780000,0.97,"2,100,000"
"Danny Valencia",30,"3B","Arb 1",567486,0,0,567486,567486,0.71,"1,675,000"
"Fernando Rodriguez",31,"RP","Arb 1",520491,0,0,520491,520491,0.65,"635,000"
"Drew Pomeranz",26,"SP","Pre-Arb",517500,0,0,517500,517500,0.64,"517,500"
"Sonny Gray",25,"SP","Pre-Arb",512500,0,0,512500,512500,0.64,"512,500"
"Stephen Vogt",30,"C","Pre-Arb",512500,0,0,512500,512500,0.64,"512,500"
"Josh Phegley",27,"C","Pre-Arb",510000,0,0,510000,510000,0.63,"510,000"
"Marcus Semien",24,"SS","Pre-Arb",510000,0,0,510000,510000,0.63,"510,000"
"Mark Canha",26,"LF","Pre-Arb",507500,0,0,507500,507500,0.63,"507,500"
"Billy Burns",25,"CF","Pre-Arb",507500,0,0,507500,432622,0.54,"507,500"
"Jake Smolinski",26,"LF","Pre-Arb",508500,0,0,508500,369565,0.46,"508,500"
"Dan Otero",30,"RP","Pre-Arb",512500,0,0,512500,344467,0.43,"512,500"
"Chris Bassitt",26,"SP","Pre-Arb",507500,0,0,507500,271775,0.34,"507,500"
"Cody Martin",25,"RP","Pre-Arb",507500,0,0,507500,199672,0.25,"507,500"
"Aaron Brooks",25,"SP","Pre-Arb",507500,0,0,507500,191352,0.24,"507,500"
"Arnold Leon",26,"RP","Pre-Arb",507500,0,0,507500,185806,0.23,"507,500"
"Felix Doubront",27,"SP","Arb 1",507500,0,0,507500,180259,0.22,"507,500"
"R.J. Alvarez",24,"RP","Pre-Arb",507500,0,0,507500,160846,0.2,"507,500"
"Tyler Ladendorf",27,"2B","Pre-Arb",507500,0,0,507500,108155,0.13,"507,500"
"Max Muncy",24,"1B","Pre-Arb",507500,0,0,507500,105382,0.13,"507,500"
"Carson Blair",25,"C","Pre-Arb",507500,0,0,507500,91516,0.11,"507,500"
"Jason Pridie",31,"RF","Pre-Arb",507500,0,0,507500,91516,0.11,"507,500"
"Sean Nolin",25,"RP","Pre-Arb",507500,0,0,507500,83196,0.1,"507,500"
"Bryan Anderson",28,"C","Pre-Arb",507500,0,0,507500,38825,0.05,"507,500"
