"Active Players","Age","Pos.","Status","Base Salary","Signing Bonus","Incentives","Payroll Salary","Adj.  Salary","Payroll %","Lux. Tax Salary"
"A.J. Burnett",35,"SP","Vet",16500000,0,0,16500000,5e+06,8.09,0
"Clint Barmes",33,"SS","Vet",5e+06,0,0,5e+06,5e+06,8.09,0
"Erik Bedard",33,"SP","Vet",4500000,0,0,4500000,4500000,7.28,0
"Joel Hanrahan",30,"RP","Arb 2",4100000,0,35000,4135000,4135000,6.69,0
"Rod Barajas",36,"C","Vet",4e+06,0,0,4e+06,4e+06,6.47,0
"Kevin Correia",31,"SP","Vet",3e+06,1e+06,0,4e+06,4e+06,6.47,0
"Jeff Karstens",29,"SP","Arb 2",3100000,0,0,3100000,3100000,5.02,0
"Charlie Morton",28,"SP","Arb 1",2445000,0,0,2445000,2445000,3.96,0
"Garrett Jones",31,"RF","Arb 1",2250000,0,0,2250000,2250000,3.64,0
"Wandy Rodriguez",33,"RP","Vet",1700000,5e+05,0,2200000,2200000,3.56,0
"Pedro Alvarez",25,"1B","Pre-Arb",7e+05,1500000,0,2200000,2200000,3.56,0
"Nate McLouth",30,"LF","Vet",1750000,0,0,1750000,1750000,2.83,0
"Juan Cruz",33,"RP","Vet",1250000,0,0,1250000,1250000,2.02,0
"Jason Grilli",35,"RP","Arb 4",1100000,0,0,1100000,1100000,1.78,0
"Hisanori Takahashi",37,"RP","Pre-Arb",4200000,0,0,4200000,940983,1.52,0
"Jose Tabata",23,"RF","Pre-Arb",750000,166667,0,916667,916667,1.48,0
"Evan Meek",29,"RP","Pre-Arb",875000,0,0,875000,875000,1.42,0
"Chris Resop",29,"RP","Arb 1",850000,0,0,850000,850000,1.38,0
"Andrew McCutchen",25,"RF","Pre-Arb",5e+05,208333,1e+05,808333,808333,1.31,0
"James McDonald",27,"SP","Pre-Arb",502500,0,0,502500,502500,0.81,0
"Neil Walker",26,"2B","Pre-Arb",5e+05,0,0,5e+05,5e+05,0.81,0
"Christopher Leroux",28,"RP","Pre-Arb",486000,0,0,486000,486000,0.79,0
"Michael McKenry",27,"C","Pre-Arb",485000,0,0,485000,485000,0.78,0
"Josh Harrison",24,"2B","Pre-Arb",484000,0,0,484000,484000,0.78,0
"Alex Presley",26,"LF","Pre-Arb",484000,0,0,484000,484000,0.78,0
"Tony Watson",27,"RP","Pre-Arb",484000,0,0,484000,484000,0.78,0
"Yamaico Navarro",24,"SS","Pre-Arb",483000,0,0,483000,483000,0.78,0
"Jared Hughes",26,"RP","Pre-Arb",481000,0,0,481000,481000,0.78,0
"Jeff Clement",28,"1B","Pre-Arb",480000,0,0,480000,480000,0.78,0
"Chase d'Arnaud",25,"3B","Pre-Arb",480000,0,0,480000,480000,0.78,0
"Matt Hague",26,"1B","Pre-Arb",480000,0,0,480000,480000,0.78,0
"Jeff Locke",24,"RP","Pre-Arb",480000,0,0,480000,480000,0.78,0
"Starling Marte",23,"CF","Pre-Arb",480000,0,0,480000,480000,0.78,0
"Daniel McCutchen",29,"RP","Pre-Arb",480000,0,0,480000,480000,0.78,0
"Jordy Mercer",25,"SS","Pre-Arb",480000,0,0,480000,480000,0.78,0
"Bryan Morris",25,"RP","Pre-Arb",480000,0,0,480000,480000,0.78,0
"Gustavo Nunez",24,"SS","Pre-Arb",480000,0,0,480000,480000,0.78,0
"Doug Slaten",32,"RP","Pre-Arb",480000,0,0,480000,480000,0.78,0
"Travis Snider",24,"RF","Pre-Arb",480000,0,0,480000,480000,0.78,0
"Rick VandenHurk",27,"SP","Pre-Arb",480000,0,0,480000,480000,0.78,0
"Justin Wilson",24,"RP","Pre-Arb",480000,0,0,480000,480000,0.78,0
"Chad Qualls",33,"RP","Vet",1150000,0,0,1150000,408469,0.66,0
"Gaby Sanchez",28,"1B","Pre-Arb",483000,0,0,483000,171557,0.28,0
"Brock Holt",24,"2B","Pre-Arb",480000,0,0,480000,86557,0.14,0
