"Active Players","Age","Pos.","Status","Base Salary","Signing Bonus","Incentives","Payroll Salary","Adj.  Salary","Payroll %","Lux. Tax Salary"
"Wil Myers",26,"1B","Arb 1",2e+06,2500000,0,4500000,4500000,5.78,"13,833,333"
"Clayton Richard",33,"SP","Vet",1750000,0,1e+06,2750000,2750000,3.53,"3,000,000"
"Yangervis Solarte",29,"3B","Arb 1",2500000,125000,0,2625000,2625000,3.37,"3,750,000"
"Erick Aybar",33,"SS","Vet",1750000,0,0,1750000,1750000,2.25,"1,750,000"
"Jhoulys Chacin",29,"SP","Vet",1750000,0,0,1750000,1750000,2.25,"1,750,000"
"Brad Hand",27,"RP","Arb 1",1375000,0,0,1375000,1375000,1.76,"1,375,000"
"Craig Stammen",33,"RP","Vet",9e+05,0,0,9e+05,9e+05,1.16,"900,000"
"Hector Sanchez",27,"C","Arb 3",750000,0,0,750000,750000,0.96,"750,000"
"Luis Perdomo",24,"SP","Pre-Arb",544300,0,0,544300,544300,0.7,"544,300"
"Austin Hedges",24,"C","Pre-Arb",537100,0,0,537100,537100,0.69,"537,100"
"Manuel Margot",22,"CF","Pre-Arb",535600,0,0,535600,535600,0.69,"535,600"
"Jose Torres",33,"RP","Pre-Arb",535400,0,0,535400,535400,0.69,"535,400"
"Allen Cordoba",21,"SS","Pre-Arb",535000,0,0,535000,535000,0.69,"535,000"
"Miguel Diaz",22,"P","Pre-Arb",535000,0,0,535000,535000,0.69,"535,000"
"Luis Torrens",21,"C","Pre-Arb",535000,0,0,535000,535000,0.69,"535,000"
"Buddy Baumann",29,"RP","Pre-Arb",535700,0,0,535700,503444,0.65,"535,700"
"Cory Spangenberg",26,"2B","Pre-Arb",545000,0,0,545000,476480,0.61,"545,000"
"Kirby Yates",30,"RP","Pre-Arb",535000,0,0,535000,464757,0.6,"535,000"
"Hunter Renfroe",25,"RF","Pre-Arb",535900,0,0,535900,445056,0.57,"535,900"
"Matt Szczur",27,"CF","Pre-Arb",549500,0,0,549500,441441,0.57,"549,500"
"Travis Jankowski",26,"CF","Pre-Arb",544300,0,0,544300,407438,0.52,"544,300"
"Dinelson Lamet",24,"SP","Pre-Arb",535000,0,0,535000,379990,0.49,"535,000"
"Jose Pirela",27,"LF","Pre-Arb",535000,0,0,535000,344914,0.44,"535,000"
"Phil Maton",24,"RP","Pre-Arb",535000,0,0,535000,330299,0.42,"535,000"
"Carlos Asuaje",25,"2B","Pre-Arb",535000,0,0,535000,301069,0.39,"535,000"
"Jabari Blash",27,"LF","Pre-Arb",535000,0,0,535000,236763,0.3,"535,000"
"Kyle McGrath",24,"RP","Pre-Arb",535000,0,0,535000,166611,0.21,"535,000"
"Jordan Lyles",26,"SP","Arb 3",535000,0,0,535000,90613,0.12,"535,000"
"Cory Mazzoni",27,"RP","Pre-Arb",535000,0,0,535000,61383,0.08,"535,000"
"Rocky Gale",29,"C","Pre-Arb",535000,0,0,535000,40922,0.05,"535,000"
"Tim Melville",27,"RP","Pre-Arb",535000,0,0,535000,40922,0.05,"535,000"
"Christian Villanueva",26,"3B","Pre-Arb",535000,0,0,535000,40922,0.05,"535,000"
