"Active Players","Age","Pos.","Status","Base Salary","Signing Bonus","Incentives","Payroll Salary","Adj.  Salary","Payroll %","Lux. Tax Salary"
"Tim Lincecum",29,"RP","Arb 3",2.2e+07,250000,0,22250000,22250000,15.86,0
"Matt Cain",28,"RP","Vet",2e+07,833333,0,20833333,20833333,14.85,0
"Barry Zito",35,"SP","Vet",2e+07,0,0,2e+07,2e+07,14.26,0
"Hunter Pence",30,"LF","Arb 4",13800000,0,0,13800000,13800000,9.84,0
"Angel Pagan",31,"LF","Vet",7e+06,1250000,0,8250000,8250000,5.88,0
"Marco Scutaro",37,"2B","Vet",6e+06,666667,25000,6691667,6691667,4.77,0
"Jeremy Affeldt",34,"RP","Vet",5e+06,1e+06,0,6e+06,6e+06,4.28,0
"Pablo Sandoval",26,"3B","Arb 2",5700000,0,0,5700000,5700000,4.06,0
"Ryan Vogelsong",35,"SP","Vet",5e+06,0,0,5e+06,5e+06,3.56,0
"Santiago Casilla",32,"RP","Arb 4",4500000,0,0,4500000,4500000,3.21,0
"Javier Lopez",35,"RP","Vet",4250000,0,0,4250000,4250000,3.03,0
"Buster Posey",26,"C","Arb 1",3e+06,777777,25000,3802777,3802777,2.71,0
"Sergio Romo",30,"RP/CL","Arb 2",3500000,0,2e+05,3700000,3700000,2.64,0
"Jose Mijares",28,"RP","Arb 2",1800000,0,0,1800000,1800000,1.28,0
"Gregor Blanco",29,"RF","Arb 1",1350000,0,0,1350000,1350000,0.96,0
"Madison Bumgarner",23,"SP","Pre-Arb",750000,2e+05,25000,975000,975000,0.7,0
"Joaquin Arias",28,"SS","Arb 1",925000,0,0,925000,925000,0.66,0
"Chad Gaudin",30,"SP","Vet",750000,0,0,750000,750000,0.53,0
"Guillermo Quiroz",31,"C","Pre-Arb",575000,0,0,575000,575000,0.41,0
"Brandon Belt",25,"1B","Pre-Arb",531500,0,0,531500,531500,0.38,0
"Brandon Crawford",26,"SS","Pre-Arb",530000,0,0,530000,530000,0.38,0
"George Kontos",28,"RP","Pre-Arb",494500,0,0,494500,351284,0.25,0
"Hector Sanchez",23,"C","Pre-Arb",502500,0,0,502500,348729,0.25,0
"Sandy Rosario",27,"RP","Pre-Arb",490000,0,0,490000,323989,0.23,0
"Jean Machi",31,"RP","Pre-Arb",490500,0,0,490500,318959,0.23,0
"Nick Noonan",24,"2B","Pre-Arb",490000,0,0,490000,310601,0.22,0
"Brett Pill",28,"1B","Pre-Arb",494000,0,0,494000,286142,0.2,0
"Guillermo Moscoso",29,"SP","Pre-Arb",504250,0,0,504250,184616,0.13,0
"Roger Kieschnick",26,"LF","Pre-Arb",490000,0,0,490000,168688,0.12,0
"Mike Kickham",24,"RP","Pre-Arb",490000,0,0,490000,149945,0.11,0
"Juan Perez",26,"LF","Pre-Arb",490000,0,0,490000,147267,0.1,0
"Francisco Peguero",25,"RF","Pre-Arb",490500,0,0,490500,123295,0.09,0
"Yusmeiro Petit",28,"RP","Pre-Arb",490000,0,0,490000,120491,0.09,0
"Jake Dunning",24,"P","Pre-Arb",490000,0,0,490000,109781,0.08,0
"Ehire Adrianza",23,"SS","Pre-Arb",490000,0,0,490000,74972,0.05,0
"Heath Hembree",24,"RP","Pre-Arb",490000,0,0,490000,74972,0.05,0
"Johnny Monell",27,"C","Pre-Arb",490000,0,0,490000,74972,0.05,0
