"Active Players","Age","Pos.","Status","Base Salary","Signing Bonus","Incentives","Payroll Salary","Adj.  Salary","Payroll %","Lux. Tax Salary"
"Robinson Cano",31,"2B","Vet",2.4e+07,0,50000,24050000,24050000,22.47,0
"Felix Hernandez",28,"SP","Vet",2.2e+07,1557142,50000,23607142,23607142,22.06,0
"Fernando Rodney",37,"RP/CL","Vet",7e+06,0,50000,7050000,7050000,6.59,0
"Hisashi Iwakuma",33,"SP","Pre-Arb",6500000,0,0,6500000,6500000,6.07,0
"Corey Hart",32,"RF","Vet",6e+06,0,0,6e+06,6e+06,5.61,0
"Chris Young",35,"RP","Vet",1500000,0,3225000,4725000,4725000,4.41,0
"Kendrys Morales",31,"DH","Vet",1.2e+07,0,0,1.2e+07,4393442,4.1,0
"Justin Smoak",27,"1B","Arb 1",2637500,0,0,2637500,2637500,2.46,0
"Michael Saunders",27,"LF","Arb 1",2300000,0,0,2300000,2300000,2.15,0
"Austin Jackson",27,"CF","Arb 2",6e+06,0,0,6e+06,1967213,1.84,0
"Logan Morrison",26,"DH","Arb 1",1750000,0,0,1750000,1750000,1.63,0
"Dustin Ackley",26,"2B","Pre-Arb",5e+05,1200000,0,1700000,1700000,1.59,0
"Joe Beimel",37,"RP","Vet",850000,0,0,850000,850000,0.79,0
"Charlie Furbush",28,"RP","Pre-Arb",750000,0,0,750000,750000,0.7,0
"Chris Denorfia",33,"RF","Vet",2250000,0,0,2250000,737704,0.69,0
"Kyle Seager",26,"3B","Pre-Arb",540100,0,0,540100,540100,0.5,0
"Tom Wilhelmsen",30,"RP","Pre-Arb",528800,0,0,528800,528800,0.49,0
"Yoervis Medina",25,"RP","Pre-Arb",512600,0,0,512600,512600,0.48,0
"Danny Farquhar",27,"RP","Pre-Arb",510800,0,0,510800,510800,0.48,0
"Brad Miller",24,"SS","Pre-Arb",510100,0,0,510100,510100,0.48,0
"Mike Zunino",23,"C","Pre-Arb",504100,0,0,504100,504100,0.47,0
"Logan Bawcom",25,"SP","Pre-Arb",5e+05,0,0,5e+05,5e+05,0.47,0
"Ji-Man Choi",23,"1B","Pre-Arb",5e+05,0,0,5e+05,5e+05,0.47,0
"Anthony Fernandez",24,"SP","Pre-Arb",5e+05,0,0,5e+05,5e+05,0.47,0
"Julio Morban",22,"LF","Pre-Arb",5e+05,0,0,5e+05,5e+05,0.47,0
"Dominic Leone",22,"RP/CL","Pre-Arb",5e+05,0,0,5e+05,486338,0.45,0
"Roenis Elias",25,"RP","Pre-Arb",5e+05,0,0,5e+05,475409,0.44,0
"Brandon Maurer",23,"RP","Pre-Arb",504600,0,0,504600,375003,0.35,0
"Stefen Romero",25,"LF","Pre-Arb",5e+05,0,0,5e+05,374316,0.35,0
"James Jones",25,"SP","Pre-Arb",5e+05,0,0,5e+05,352459,0.33,0
"Endy Chavez",36,"LF","Vet",5e+05,0,0,5e+05,333333,0.31,0
"Taijuan Walker",21,"SP","Pre-Arb",502400,0,0,502400,304734,0.28,0
"Blake Beavan",25,"RP","Pre-Arb",518700,0,0,518700,280608,0.26,0
"Jesus Sucre",26,"C","Pre-Arb",5e+05,0,0,5e+05,226775,0.21,0
"Erasmo Ramirez",24,"SP","Pre-Arb",511800,0,0,511800,220940,0.21,0
"Chris Taylor",23,"LF","Pre-Arb",5e+05,0,0,5e+05,183060,0.17,0
"Lucas Luetge",27,"RP","Pre-Arb",508800,0,0,508800,141796,0.13,0
"Carson Smith",24,"RP","Pre-Arb",5e+05,0,0,5e+05,76502,0.07,0
"James Paxton",25,"SP","Pre-Arb",503500,0,0,503500,74286,0.07,0
