"Active Players","Age","Pos.","Status","Base Salary","Signing Bonus","Incentives","Payroll Salary","Adj.  Salary","Payroll %","Lux. Tax Salary"
"Adam Wainwright",34,"SP","Vet",19500000,0,50000,19550000,19550000,13.09,"19,500,000"
"Matt Holliday",36,"DH","Vet",1.7e+07,0,0,1.7e+07,1.7e+07,11.38,"17,142,857"
"Yadier Molina",33,"C","Vet",1.4e+07,2e+05,0,14200000,14200000,9.51,"15,000,000"
"Jhonny Peralta",34,"3B","Vet",12500000,0,0,12500000,12500000,8.37,"13,250,000"
"Mike Leake",28,"SP","Vet",1.2e+07,0,0,1.2e+07,1.2e+07,8.03,"16,000,000"
"Jaime Garcia",29,"SP","Vet",11500000,0,0,11500000,11500000,7.7,"6,875,000"
"Brandon Moss",32,"DH","Arb 3",8250000,0,0,8250000,8250000,5.52,"8,250,000"
"Matt Carpenter",30,"3B","Arb 2",6250000,250000,0,6500000,6500000,4.35,"8,666,667"
"Trevor Rosenthal",26,"RP","Arb 1",5600000,0,0,5600000,5600000,3.75,"5,600,000"
"Jedd Gyorko",27,"SS","Arb 1",4e+06,0,0,4e+06,4e+06,2.68,"6,200,000"
"Jonathan Broxton",32,"RP","Vet",3750000,0,0,3750000,3750000,2.51,"3,750,000"
"Seung-Hwan Oh",33,"RP","Pre-Arb",2500000,0,0,2500000,2500000,1.67,"2,500,000"
"Brayan Pena",34,"C","Vet",2500000,0,0,2500000,2500000,1.67,"2,500,000"
"Aledmys Diaz",25,"SS","Pre-Arb",2e+06,5e+05,0,2500000,2500000,1.67,"2,000,000"
"Zach Duke",33,"RP","Vet",5e+06,0,0,5e+06,1748633,1.17,"5,000,000"
"Matt Adams",27,"1B","Arb 1",1650000,0,0,1650000,1650000,1.1,"1,650,000"
"Kolten Wong",25,"2B","Pre-Arb",1250000,0,0,1250000,1250000,0.84,"5,100,000"
"Carlos Martinez",24,"SP","Pre-Arb",539000,0,0,539000,539000,0.36,"539,000"
"Kevin Siegrist",26,"RP","Pre-Arb",539000,0,0,539000,539000,0.36,"539,000"
"Michael Wacha",25,"SP","Pre-Arb",539000,0,0,539000,539000,0.36,"539,000"
"Stephen Piscotty",25,"RF","Pre-Arb",512500,0,0,512500,512500,0.34,"512,500"
"Matthew Bowman",25,"RP","Pre-Arb",507500,0,0,507500,507500,0.34,"507,500"
"Randal Grichuk",24,"RF","Pre-Arb",520000,0,0,520000,446194,0.3,"520,000"
"Tommy Pham",28,"LF","Pre-Arb",510000,0,0,510000,420837,0.28,"510,000"
"Jeremy Hazelbaker",28,"OF","Pre-Arb",507500,0,0,507500,418723,0.28,"507,500"
"Greg Garcia",26,"2B","Pre-Arb",507500,0,0,507500,402085,0.27,"507,500"
"Alberto Rosario",29,"C","Pre-Arb",507500,0,0,507500,246797,0.17,"507,500"
"Dean Kiekhefer",27,"RP","Pre-Arb",507500,0,0,507500,227386,0.15,"507,500"
"Jerome Williams",34,"RP","Vet",507500,0,0,507500,194110,0.13,"507,500"
"Alexander Reyes",21,"RP","Pre-Arb",507500,0,0,507500,152515,0.1,"507,500"
"Sam Tuivailala",23,"RP","Pre-Arb",507500,0,0,507500,144196,0.1,"507,500"
"Luke Weaver",22,"SP","Pre-Arb",507500,0,0,507500,144196,0.1,"507,500"
"Miguel Socolovich",29,"RP","Pre-Arb",507500,0,0,507500,124785,0.08,"507,500"
"Carson Kelly",21,"C","Pre-Arb",507500,0,0,507500,80417,0.05,"507,500"
"Mike Mayers",24,"RP","Pre-Arb",507500,0,0,507500,77644,0.05,"507,500"
"Jose Martinez",27,"LF","Pre-Arb",507500,0,0,507500,74871,0.05,"507,500"
