"Active Players","Age","Pos.","Status","Base Salary","Signing Bonus","Incentives","Payroll Salary","Adj.  Salary","Payroll %","Lux. Tax Salary"
"Evan Longoria",31,"3B","Vet",11500000,167000,25000,11692000,11692000,15.03,"16,666,667"
"Chris Archer",28,"SP","Pre-Arb",4750000,166666,0,4916666,4916666,6.32,"4,250,000"
"Alex Cobb",29,"SP","Arb 3",4200000,0,0,4200000,4200000,5.4,"4,200,000"
"Jake Odorizzi",27,"SP","Arb 1",4100000,0,0,4100000,4100000,5.27,"4,100,000"
"Wilson Ramos",29,"C","Vet",4e+06,0,0,4e+06,4e+06,5.14,"6,250,000"
"Brad Miller",27,"SS","Arb 1",3575000,0,0,3575000,3575000,4.59,"3,575,000"
"Kevin Kiermaier",27,"CF","Arb 1",3e+06,166666,0,3166666,3166666,4.07,"8,916,667"
"Corey Dickerson",28,"OF","Arb 1",3025000,0,0,3025000,3025000,3.89,"3,025,000"
"Logan Morrison",29,"DH","Vet",2500000,0,250000,2750000,2750000,3.53,"2,500,000"
"Lucas Duda",31,"1B","Arb 3",7250000,0,0,7250000,2654339,3.41,"7,250,000"
"Adeiny Hechavarria",28,"SS","Arb 2",4350000,0,0,4350000,2329460,2.99,"4,350,000"
"Steve Cishek",31,"RP","Vet",6e+06,0,0,6e+06,2163942,2.78,"5,000,000"
"Brad Boxberger",29,"RP/CL","Arb 1",1600000,0,0,1600000,1600000,2.06,"1,600,000"
"Tommy Hunter",31,"RP","Vet",1400000,0,0,1400000,1400000,1.8,"1,400,000"
"Peter Bourjos",30,"RF","Vet",1350000,0,0,1350000,1350000,1.73,"1,350,000"
"Xavier Cedeno",30,"RP","Arb 1",1300000,0,0,1300000,1300000,1.67,"1,300,000"
"Sergio Romo",34,"RP","Vet",3e+06,0,0,3e+06,1180296,1.52,"3,000,000"
"Trevor Plouffe",31,"3B","Arb 3",5250000,0,0,5250000,1069723,1.37,"5,250,000"
"Chaz Roe",30,"RP","Pre-Arb",720000,0,0,720000,720000,0.93,"720,000"
"Jesus Sucre",29,"C","Arb 1",630000,0,0,630000,630000,0.81,"630,000"
"Alex Colome",28,"RP/CL","Pre-Arb",547900,0,0,547900,547900,0.7,"547,900"
"Steven Souza",28,"RF","Pre-Arb",546700,0,0,546700,546700,0.7,"546,700"
"Matt Andriese",27,"RP","Pre-Arb",535000,0,0,535000,535000,0.69,"535,000"
"Dan Jennings",30,"RP","Arb 2",1400000,0,0,1400000,512550,0.66,"1,400,000"
"Chase Whitley",28,"RP","Pre-Arb",535000,0,0,535000,426758,0.55,"535,000"
"Blake Snell",24,"SP","Pre-Arb",545000,0,0,545000,396074,0.51,"545,000"
"Austin Pruitt",27,"RP","Pre-Arb",535000,0,0,535000,379990,0.49,"535,000"
"Mallex Smith",24,"LF","Pre-Arb",539800,0,0,539800,359900,0.46,"539,800"
"Jacob Faria",23,"SP","Pre-Arb",535000,0,0,535000,330299,0.42,"535,000"
"Daniel Robertson",23,"SS","Pre-Arb",535000,0,0,535000,280608,0.36,"535,000"
"Jose Alvarado",22,"RP/CL","Pre-Arb",535000,0,0,535000,268916,0.35,"535,000"
"Ryne Stanek",25,"RP","Pre-Arb",535000,0,0,535000,192918,0.25,"535,000"
"Cesar Puello",26,"LF","Pre-Arb",535000,0,0,535000,128612,0.17,"535,000"
"Andrew Kittredge",27,"RP","Pre-Arb",535000,0,0,535000,116920,0.15,"535,000"
"Curt Casali",28,"C","Pre-Arb",535000,0,0,535000,90613,0.12,"535,000"
"Chih-Wei Hu",23,"RP","Pre-Arb",535000,0,0,535000,81844,0.11,"535,000"
