"Active Players","Age","Pos.","Status","Base Salary","Signing Bonus","Incentives","Payroll Salary","Adj.  Salary","Payroll %","Lux. Tax Salary"
"Prince Fielder",30,"DH","Vet",2.4e+07,0,0,2.4e+07,2.4e+07,17.19,0
"Adrian Beltre",35,"3B","Vet",1.7e+07,0,1e+05,17100000,17100000,12.25,0
"Shin-Soo Choo",31,"RF","Vet",1.4e+07,0,0,1.4e+07,1.4e+07,10.03,0
"Alex Rios",33,"RF","Vet",1.3e+07,5e+05,0,13500000,13500000,9.67,0
"Yu Darvish",27,"SP","Pre-Arb",1e+07,0,457843,10457843,10457843,7.49,0
"Matt Harrison",28,"SP","Arb 3",8e+06,2e+05,0,8200000,8200000,5.87,0
"Elvis Andrus",25,"SS","Arb 3",6475000,250000,0,6725000,6725000,4.82,0
"Derek Holland",27,"SP","Arb 2",5400000,0,0,5400000,5400000,3.87,0
"Leonys Martin",26,"CF","Pre-Arb",2750000,1e+06,0,3750000,3750000,2.69,0
"Neftali Feliz",26,"RP","Arb 2",3e+06,0,0,3e+06,3e+06,2.15,0
"Mitch Moreland",28,"1B","Arb 1",2650000,0,0,2650000,2650000,1.9,0
"Alexi Ogando",30,"RP","Arb 1",2625000,0,0,2625000,2625000,1.88,0
"Neal Cotts",34,"RP","Arb 3",2200000,0,0,2200000,2200000,1.58,0
"Colby Lewis",34,"SP","Vet",2e+06,0,0,2e+06,2e+06,1.43,0
"J.P. Arencibia",28,"1B","Arb 1",1800000,0,0,1800000,1800000,1.29,0
"Mike Carp",28,"LF","Arb 1",1400000,0,0,1400000,1400000,1,0
"Scott Baker",32,"SP","Vet",1e+06,0,0,1e+06,1e+06,0.72,0
"Martin Perez",23,"SP","Pre-Arb",750000,250000,0,1e+06,1e+06,0.72,0
"Adam Rosales",31,"2B","Arb 3",750000,0,0,750000,750000,0.54,0
"Tanner Scheppers",27,"RP","Pre-Arb",515179,0,0,515179,515179,0.37,0
"Robbie Ross",25,"RP","Pre-Arb",512745,0,0,512745,512745,0.37,0
"Jurickson Profar",21,"SS","Pre-Arb",505750,0,0,505750,505750,0.36,0
"Nick Tepesch",25,"SP","Pre-Arb",505071,0,0,505071,505071,0.36,0
"Michael Kirkman",27,"RP","Pre-Arb",504576,0,0,504576,504576,0.36,0
"Miles Mikolas",25,"SP","Pre-Arb",502301,0,0,502301,502301,0.36,0
"Robinson Chirinos",30,"C","Pre-Arb",502232,0,0,502232,502232,0.36,0
"Shawn Tolleson",26,"RP","Pre-Arb",502082,0,0,502082,502082,0.36,0
"Engel Beltre",24,"CF","Pre-Arb",502000,0,0,502000,502000,0.36,0
"Jim Adduci",29,"CF","Pre-Arb",501000,0,0,501000,501000,0.36,0
"Nick Martinez",23,"SP","Pre-Arb",5e+05,0,0,5e+05,439890,0.32,0
"Roman Mendez",21,"RP","Pre-Arb",5e+05,0,0,5e+05,396174,0.28,0
"Rougned Odor",20,"2B","Pre-Arb",5e+05,0,0,5e+05,393442,0.28,0
"Jon Edwards",26,"RP","Pre-Arb",5e+05,0,0,5e+05,382513,0.27,0
"Luis Sardinas",21,"SS","Pre-Arb",5e+05,0,0,5e+05,243169,0.17,0
"Jake Smolinski",25,"LF","Pre-Arb",5e+05,0,0,5e+05,229508,0.16,0
"Josh Wilson",33,"2B","Arb 1",875000,0,0,875000,200819,0.14,0
"Phil Klein",25,"RP","Pre-Arb",5e+05,0,0,5e+05,161202,0.12,0
"Alexander Claudio",22,"RP","Pre-Arb",5e+05,0,0,5e+05,128415,0.09,0
"Michael Choice",24,"LF","Pre-Arb",502000,0,0,502000,96010,0.07,0
"Tomas Telis",23,"1B","Pre-Arb",5e+05,0,0,5e+05,95628,0.07,0
"Ryan Rua",24,"LF","Pre-Arb",5e+05,0,0,5e+05,84699,0.06,0
"Lisalverto Bonilla",24,"RP","Pre-Arb",5e+05,0,0,5e+05,73770,0.05,0
"Spencer Patton",26,"RP","Pre-Arb",5e+05,0,0,5e+05,68306,0.05,0
"Ben Rowen",25,"RP","Pre-Arb",5e+05,0,0,5e+05,62841,0.05,0
"Nathan Adcock",26,"RP","Pre-Arb",5e+05,0,0,5e+05,57377,0.04,0
"Guilder Rodriguez",30,"SS","Pre-Arb",5e+05,0,0,5e+05,54644,0.04,0
"Matt West",25,"RP","Pre-Arb",5e+05,0,0,5e+05,30054,0.02,0
