"Active Players","Age","Pos.","Status","Base Salary","Signing Bonus","Incentives","Payroll Salary","Adj.  Salary","Payroll %","Lux. Tax Salary"
"Jose Bautista",31,"RF","Vet",1.4e+07,0,0,1.4e+07,1.4e+07,14.39,0
"Kelly Johnson",30,"2B","Arb 4",6375000,0,0,6375000,6375000,6.55,0
"Mark Teahen",30,"RF","Vet",5500000,0,0,5500000,5500000,5.65,0
"Ricky Romero",27,"SP","Pre-Arb",5e+06,250000,0,5250000,5250000,5.4,0
"Adam Lind",28,"1B","Arb 2",5e+06,150000,0,5150000,5150000,5.29,0
"Yunel Escobar",29,"3B","Arb 2",5e+06,0,0,5e+06,5e+06,5.14,0
"Francisco Cordero",37,"RP","Pre-Arb",4500000,0,0,4500000,4500000,4.63,0
"Brandon Morrow",27,"RP/CL","Arb 2",4e+06,0,0,4e+06,4e+06,4.11,0
"Darren Oliver",41,"RP","Vet",4e+06,0,0,4e+06,4e+06,4.11,0
"Jason Frasor",34,"RP","Vet",3750000,0,0,3750000,3750000,3.85,0
"Edwin Encarnacion",29,"DH","Vet",3500000,0,0,3500000,3500000,3.6,0
"Rajai Davis",31,"CF","Arb 3",2750000,0,0,2750000,2750000,2.83,0
"Adeiny Hechavarria",23,"SS","Pre-Arb",1750000,1e+06,0,2750000,2750000,2.83,0
"Colby Rasmus",25,"LF","Arb 1",2700000,0,0,2700000,2700000,2.78,0
"Brandon Lyon",32,"RP","Vet",5500000,0,0,5500000,2284153,2.35,0
"Carlos Villanueva",28,"RP","Arb 3",2277500,0,0,2277500,2277500,2.34,0
"Casey Janssen",30,"RP","Arb 3",2e+06,0,0,2e+06,2e+06,2.06,0
"Jeff Mathis",29,"C","Arb 3",1500000,0,0,1500000,1500000,1.54,0
"Sergio Santos",28,"CL","Pre-Arb",1e+06,0,0,1e+06,1e+06,1.03,0
"Jesse Litsch",27,"SP","Arb 2",975000,0,0,975000,975000,1,0
"Aaron Laffey",27,"RP","Pre-Arb",8e+05,0,0,8e+05,8e+05,0.82,0
"Omar Vizquel",45,"2B","Pre-Arb",750000,0,0,750000,750000,0.77,0
"Dustin McGowan",30,"RP","Arb 3",6e+05,0,0,6e+05,6e+05,0.62,0
"J.P. Arencibia",26,"1B","Pre-Arb",489600,0,0,489600,489600,0.5,0
"Kyle Drabek",24,"RP","Pre-Arb",485900,0,0,485900,485900,0.5,0
"Luis Perez",27,"RP","Pre-Arb",485700,0,0,485700,485700,0.5,0
"Henderson Alvarez",22,"SP","Pre-Arb",482900,0,0,482900,482900,0.5,0
"Brett Lawrie",22,"2B","Pre-Arb",482500,0,0,482500,482500,0.5,0
"Joel Carreno",25,"RP","Pre-Arb",481700,0,0,481700,481700,0.5,0
"Juan Abreu",27,"RP","Pre-Arb",480000,0,0,480000,480000,0.49,0
"Chad Beck",27,"RP","Pre-Arb",480000,0,0,480000,480000,0.49,0
"Brian Bocock",27,"SS","Pre-Arb",480000,0,0,480000,480000,0.49,0
"Brett Cecil",25,"RP","Pre-Arb",480000,0,0,480000,480000,0.49,0
"Robert Coello",27,"RP","Pre-Arb",480000,0,0,480000,480000,0.49,0
"David Cooper",25,"1B","Pre-Arb",480000,0,0,480000,480000,0.49,0
"Evan Crawford",25,"RP","Pre-Arb",480000,0,0,480000,480000,0.49,0
"Travis d'Arnaud",23,"C","Pre-Arb",480000,0,0,480000,480000,0.49,0
"Sam Dyson",24,"RP","Pre-Arb",480000,0,0,480000,480000,0.49,0
"Alan Farina",25,"RP","Pre-Arb",480000,0,0,480000,480000,0.49,0
"Jim Hoey",29,"RP","Pre-Arb",480000,0,0,480000,480000,0.49,0
"Drew Hutchison",21,"RP","Pre-Arb",480000,0,0,480000,480000,0.49,0
"Mike McCoy",31,"RF","Pre-Arb",480000,0,0,480000,480000,0.49,0
