"Active Players","Age","Pos.","Status","Base Salary","Signing Bonus","Incentives","Payroll Salary","Adj.  Salary","Payroll %","Lux. Tax Salary"
"Jayson Werth",36,"LF","Vet",2.1e+07,571428,0,21571428,21571428,13.02,"18,000,000"
"Max Scherzer",30,"SP","Vet",1e+07,7142857,175000,17317857,17317857,10.45,"30,000,000"
"Jordan Zimmermann",29,"SP","Arb 3",16500000,0,0,16500000,16500000,9.96,"12,000,000"
"Ryan Zimmerman",30,"1B","Vet",1.4e+07,0,0,1.4e+07,1.4e+07,8.45,"16,666,667"
"Doug Fister",31,"SP","Arb 3",11400000,0,0,11400000,11400000,6.88,"11,400,000"
"Gio Gonzalez",29,"SP","Arb 3",1.1e+07,1e+05,0,11100000,11100000,6.7,"8,400,000"
"Ian Desmond",29,"LF","Arb 3",1.1e+07,0,0,1.1e+07,1.1e+07,6.64,"8,750,000"
"Stephen Strasburg",26,"SP","Arb 2",7400000,0,0,7400000,7400000,4.47,"7,400,000"
"Drew Storen",27,"RP","Arb 3",5700000,0,0,5700000,5700000,3.44,"5,700,000"
"Yunel Escobar",32,"3B","Vet",5e+06,0,0,5e+06,5e+06,3.02,"6,500,000"
"Wilson Ramos",27,"C","Arb 2",3550000,0,0,3550000,3550000,2.14,"3,550,000"
"Casey Janssen",33,"RP","Vet",3500000,0,0,3500000,3500000,2.11,"5,000,000"
"Matt Thornton",38,"RP","Vet",3500000,0,0,3500000,3500000,2.11,"3,500,000"
"Bryce Harper",22,"RF","Arb 1",2500000,0,0,2500000,2500000,1.51,"3,750,000"
"Anthony Rendon",25,"3B","Pre-Arb",2500000,0,0,2500000,2500000,1.51,"1,800,000"
"Danny Espinosa",28,"SS","Arb 1",1800000,0,0,1800000,1800000,1.09,"1,800,000"
"Jose Lobaton",30,"C","Arb 2",1200000,0,0,1200000,1200000,0.72,"1,200,000"
"Reed Johnson",38,"LF","Vet",1e+06,0,0,1e+06,1e+06,0.6,"1,000,000"
"Clint Robinson",30,"1B","Pre-Arb",525000,0,0,525000,525000,0.32,"525,000"
"Tyler Moore",28,"1B","Pre-Arb",518200,0,0,518200,518200,0.31,"518,200"
"Dan Uggla",35,"2B","Vet",507500,0,0,507500,507500,0.31,"507,500"
"Tanner Roark",28,"SP","Pre-Arb",500660,0,0,500660,500660,0.3,"529,600"
"Michael Taylor",24,"CF","Pre-Arb",508700,0,0,508700,478122,0.29,"508,700"
"Blake Treinen",27,"RP/CL","Pre-Arb",512800,0,0,512800,462360,0.28,"512,800"
"Felipe Vazquez",23,"RP/CL","Pre-Arb",507500,0,0,507500,421530,0.25,"507,500"
"Jonathan Papelbon",34,"RP","Vet",1.3e+07,0,0,1.3e+07,401639,0.24,"12,500,000"
"Joe Ross",22,"SP","Pre-Arb",507500,0,0,507500,257909,0.16,"507,500"
"Matt den Dekker",27,"CF","Pre-Arb",512972,0,0,512972,235462,0.14,"512,972"
"Matt Grace",26,"RP","Pre-Arb",507500,0,0,507500,202445,0.12,"507,500"
"Sammy Solis",26,"RP","Pre-Arb",507500,0,0,507500,146980,0.09,"507,500"
"Wilmer Difo",23,"SS","Pre-Arb",507500,0,0,507500,138661,0.08,"507,500"
"Rafael Martin",31,"RP","Pre-Arb",507500,0,0,507500,127568,0.08,"507,500"
"A.J. Cole",23,"SP","Pre-Arb",507500,0,0,507500,124795,0.08,"507,500"
"Trea Turner",22,"SS","Pre-Arb",507500,0,0,507500,122021,0.07,"507,500"
"Taylor Jordan",26,"SP","Pre-Arb",507500,0,0,507500,108155,0.07,"507,500"
"Pedro Severino",21,"C","Pre-Arb",507500,0,0,507500,91516,0.06,"507,500"
"Erik Davis",28,"RP","Pre-Arb",508900,0,0,508900,58398,0.04,"508,900"
"Taylor Hill",26,"SP","Pre-Arb",507500,0,0,507500,30505,0.02,"507,500"
" Abel De Los Santos",22,"RP","Pre-Arb",507500,0,0,507500,11092,0.01,"507,500"
