Rk,Tm,Lg,G,W,L,W-L%,R,RA,Rdiff,SOS,SRS,pythWL,Luck,Inter,Home,Road,ExInn,1Run,vRHP,vLHP,???.500,<.500
1,PHI,NL,162,102,60,0.63,4.4,3.3,1.1,-0.1,1,103-59,-1,9る6ら,52-29,50-31,9る10ら,28-19,72-46,30-14,37-25,65-35
2,NYY,AL,162,97,65,0.599,5.4,4.1,1.3,0.1,1.4,101-61,-4,5る13ら,52-29,45-36,4る12ら,21-24,62-48,35-17,44-38,53-27
3,TEX,AL,162,96,66,0.593,5.3,4.2,1.1,0.1,1.2,98-64,-2,9る9ら,52-29,44-37,4る5ら,19-24,70-45,26-21,35-37,61-29
4,MIL,NL,162,96,66,0.593,4.5,3.9,0.5,-0.2,0.3,90-72,6,6る9ら,57-24,39-42,7る7ら,30-18,78-48,18-18,27-34,69-32
5,DET,AL,162,95,67,0.586,4.9,4.4,0.5,-0.1,0.4,89-73,6,7る11ら,50-31,45-36,6る3ら,29-17,64-47,31-20,28-23,67-44
6,ARI,NL,162,94,68,0.58,4.5,4.1,0.4,-0.2,0.2,88-74,6,10る8ら,51-30,43-38,9る4ら,28-16,70-44,24-24,32-32,62-36
7,TBR,AL,162,91,71,0.562,4.4,3.8,0.6,0.2,0.7,91-71,0,12る6ら,47-34,44-37,9る5ら,26-18,60-52,31-19,46-38,45-33
8,STL,NL,162,90,72,0.556,4.7,4.3,0.4,-0.2,0.2,88-74,2,8る7ら,45-36,45-36,8る13ら,26-23,71-52,19-20,30-30,60-42
9,BOS,AL,162,90,72,0.556,5.4,4.5,0.9,0.2,1,94-68,-4,10る8ら,45-36,45-36,6る5ら,19-19,57-50,33-22,46-38,44-34
10,ATL,NL,162,89,73,0.549,4,3.7,0.2,-0.1,0.1,85-77,4,10る5ら,47-34,42-39,12る14ら,29-26,65-50,24-23,28-32,61-41
11,SFG,NL,162,86,76,0.531,3.5,3.6,0,-0.1,-0.2,80-82,6,10る5ら,46-35,40-41,8る13ら,33-22,60-58,26-18,32-34,54-42
12,LAA,AL,162,86,76,0.531,4.1,3.9,0.2,0.1,0.3,85-77,1,5る13ら,45-36,41-40,8る13ら,27-31,54-48,32-28,32-38,54-38
13,LAD,NL,161,82,79,0.509,4,3.8,0.2,-0.2,0,84-77,-2,6る9ら,42-39,40-40,8る3ら,23-21,58-59,24-20,33-38,49-41
14,TOR,AL,162,81,81,0.5,4.6,4.7,-0.1,0.3,0.2,79-83,2,8る10ら,42-39,39-42,4る13ら,29-28,58-62,23-19,38-51,43-30
15,WSN,NL,161,80,81,0.497,3.9,4,-0.1,-0.1,-0.2,78-83,2,8る7ら,44-36,36-45,12る8ら,27-27,61-64,19-17,35-37,45-44
16,CLE,AL,162,80,82,0.494,4.3,4.7,-0.3,0.1,-0.3,75-87,5,11る7ら,44-37,36-45,6る8ら,30-26,57-56,23-26,26-47,54-35
17,CIN,NL,162,79,83,0.488,4.5,4.4,0.1,-0.2,-0.1,83-79,-4,6る12ら,42-39,37-44,12る5ら,29-33,62-61,17-22,36-37,43-46
18,CHW,AL,162,79,83,0.488,4,4.4,-0.3,0,-0.3,75-87,4,11る7ら,36-45,43-38,7る11ら,24-25,55-61,24-22,28-41,51-42
19,NYM,NL,162,77,85,0.475,4.4,4.6,-0.1,0,-0.1,79-83,-2,9る9ら,34-47,43-38,7る7ら,21-28,59-63,18-22,38-44,39-41
20,OAK,AL,162,74,88,0.457,4,4.2,-0.2,0.2,0,77-85,-3,8る10ら,43-38,31-50,8る11ら,20-25,49-59,25-29,43-51,31-37
21,COL,NL,162,73,89,0.451,4.5,4.8,-0.2,-0.1,-0.3,77-85,-4,8る7ら,38-43,35-46,4る8ら,21-27,48-66,25-23,30-58,43-31
22,PIT,NL,162,72,90,0.444,3.8,4.4,-0.6,-0.2,-0.8,70-92,2,8る7ら,36-45,36-45,6る7ら,21-22,49-68,23-22,28-44,44-46
23,FLA,NL,162,72,90,0.444,3.9,4.3,-0.5,0,-0.4,72-90,0,8る10ら,31-47,41-43,9る13ら,27-32,49-67,23-23,28-54,44-36
24,KCR,AL,162,71,91,0.438,4.5,4.7,-0.2,0,-0.2,78-84,-7,5る13ら,40-41,31-50,10る8ら,25-32,55-65,16-26,30-43,41-48
25,CHC,NL,162,71,91,0.438,4,4.7,-0.6,-0.1,-0.7,70-92,1,5る10ら,39-42,32-49,9る5ら,25-28,51-67,20-24,30-43,41-48
26,SDP,NL,162,71,91,0.438,3.7,3.8,-0.1,-0.1,-0.2,79-83,-8,6る9ら,35-46,36-45,4る12ら,20-31,52-61,19-30,31-54,40-37
27,BAL,AL,162,69,93,0.426,4.4,5.3,-0.9,0.3,-0.6,67-95,2,7る11ら,39-42,30-51,8る8ら,22-22,49-66,20-27,38-65,31-28
28,SEA,AL,162,67,95,0.414,3.4,4.2,-0.7,0.3,-0.5,67-95,0,9る9ら,39-45,28-50,6る5ら,26-28,54-67,13-28,34-57,33-38
29,MIN,AL,162,63,99,0.389,3.8,5,-1.1,0.2,-1,62-100,1,8る10ら,33-48,30-51,6る4ら,27-32,42-73,21-26,25-56,38-43
30,HOU,NL,162,56,106,0.346,3.8,4.9,-1.1,-0.1,-1.2,62-100,-6,4る11ら,31-50,25-56,5る13ら,20-28,34-80,22-26,24-56,32-50
,Avg,,,80,80,0.5,4.3,4.3,,,,80-81,,8る8ら,42-38,38-42,7る7ら,25-25,57-58,23-22,33-42,47-38
