,W,L,PCT,GB,HOME,AWAY,RS,RA,DIFF,STRK,L10
* --St. Louis CardinalsSt. Louis Cardinals,97,65,0.599,-,54-27,43-38,783,596,187,W6,8る2ら
* --Boston Red SoxBoston Red Sox,97,65,0.599,-,53-28,44-37,853,656,197,L2,5る5ら
x --Atlanta BravesAtlanta Braves,96,66,0.593,1,56-25,40-41,688,548,140,W1,6る4ら
x --Oakland AthleticsOakland Athletics,96,66,0.593,1,52-29,44-37,767,625,142,W1,7る3ら
y --Pittsburgh PiratesPittsburgh Pirates,94,68,0.58,3,50-31,44-37,634,577,57,W3,7る3ら
x --Detroit TigersDetroit Tigers,93,69,0.574,4,51-30,42-39,796,624,172,L3,5る5ら
x --Los Angeles DodgersLos Angeles Dodgers,92,70,0.568,5,47-34,45-36,649,582,67,L2,5る5ら
y --Cleveland IndiansCleveland Indians,92,70,0.568,5,51-30,41-40,745,662,83,W10,10-0
y --Tampa Bay RaysTampa Bay Rays,92,71,0.564,5.5,51-30,41-41,700,646,54,W2,8る2ら
Texas RangersTexas Rangers,91,72,0.558,6.5,46-36,45-36,730,636,94,L1,8る2ら
y --Cincinnati RedsCincinnati Reds,90,72,0.556,7,49-31,41-41,698,589,109,L5,4る6ら
Washington NationalsWashington Nationals,86,76,0.531,11,47-34,39-42,656,626,30,L1,5る5ら
Kansas City RoyalsKansas City Royals,86,76,0.531,11,44-37,42-39,648,601,47,W1,6る4ら
New York YankeesNew York Yankees,85,77,0.525,12,46-35,39-42,650,671,-21,W3,5る5ら
Baltimore OriolesBaltimore Orioles,85,77,0.525,12,46-35,39-42,745,709,36,W2,4る6ら
Arizona DiamondbacksArizona Diamondbacks,81,81,0.5,16,45-36,36-45,685,695,-10,W1,4る6ら
Los Angeles AngelsLos Angeles Angels,78,84,0.481,19,39-42,39-42,733,737,-4,L4,4る6ら
San Francisco GiantsSan Francisco Giants,76,86,0.469,21,42-40,34-46,629,691,-62,W1,6る4ら
San Diego PadresSan Diego Padres,76,86,0.469,21,45-36,31-50,618,700,-82,L1,5る5ら
Colorado RockiesColorado Rockies,74,88,0.457,23,45-36,29-52,706,760,-54,W2,5る5ら
Milwaukee BrewersMilwaukee Brewers,74,88,0.457,23,37-44,37-44,640,687,-47,L1,6る4ら
Toronto Blue JaysToronto Blue Jays,74,88,0.457,23,40-41,34-47,712,756,-44,L1,4る6ら
New York MetsNew York Mets,74,88,0.457,23,33-48,41-40,619,684,-65,W1,6る4ら
Philadelphia PhilliesPhiladelphia Phillies,73,89,0.451,24,43-38,30-51,610,749,-139,L1,2る8ら
Seattle MarinersSeattle Mariners,71,91,0.438,26,36-45,35-46,624,754,-130,L1,4る6ら
Minnesota TwinsMinnesota Twins,66,96,0.407,31,32-49,34-47,614,788,-174,L6,1る9ら
Chicago CubsChicago Cubs,66,96,0.407,31,31-50,35-46,602,689,-87,L3,3る7ら
Chicago White SoxChicago White Sox,63,99,0.389,34,37-44,26-55,598,723,-125,L1,3る7ら
Miami MarlinsMiami Marlins,62,100,0.383,35,36-45,26-55,513,646,-133,W4,6る4ら
Houston AstrosHouston Astros,51,111,0.315,46,24-57,27-54,610,848,-238,L15,0-10
