Tm,R/G,HR%,SO%,BB%,XBH%,X/H%,SO/W,AB/SO,AB/HR,AB/RBI,GB/FB,GO/AO,IP%,LD%,HR/FB,IF/FB
ARI,4.28,2.90%,23.70%,9.10%,7.90%,38%,2.61,3.7,31,8.3,0.79,1.08,63%,25%,8.80%,11%
ATL,4.69,2.80%,20.60%,8.20%,8.30%,36%,2.52,4.3,31.9,7.8,0.76,1.01,67%,26%,8.00%,11%
BAL,3.84,3.10%,23.40%,7.00%,7.40%,34%,3.35,3.9,29.3,9.3,0.81,1.09,65%,24%,9.40%,12%
BOS,5.41,3.30%,19.90%,9.00%,9.40%,39%,2.2,4.5,27,6.8,0.78,1.04,67%,25%,9.40%,11%
CHC,4.67,2.60%,21.80%,9.00%,7.70%,34%,2.41,4.1,33.7,7.8,0.88,1.17,65%,25%,8.30%,11%
CHW,4.05,3.00%,26.30%,7.00%,7.90%,36%,3.75,3.5,30.3,8.6,0.83,1.1,62%,25%,9.60%,12%
CIN,4.3,2.80%,22.10%,9.00%,7.20%,32%,2.46,4,32.2,8.3,0.71,0.97,64%,27%,7.90%,10%
CLE,5.05,3.40%,18.90%,8.80%,8.40%,37%,2.15,4.7,25.9,7.1,0.7,0.9,67%,26%,9.50%,12%
COL,4.79,3.40%,22.60%,8.20%,8.60%,38%,2.76,4,26.4,7.4,0.87,1.21,64%,25%,10.50%,9%
DET,3.89,2.20%,22.20%,7.10%,7.50%,34%,3.13,4.1,40.7,9.2,0.76,0.92,67%,26%,6.60%,13%
HOU,4.92,3.30%,19.50%,9.20%,8.20%,36%,2.12,4.6,26.6,7.1,0.74,0.95,67%,24%,9.60%,13%
KCR,3.94,2.60%,21.60%,7.00%,7.70%,35%,3.07,4.2,35.5,9.1,0.72,0.96,67%,26%,7.10%,11%
LAA,4.45,3.50%,21.30%,8.40%,8.00%,37%,2.53,4.2,25.6,7.9,0.72,0.94,65%,25%,10.10%,13%
LAD,4.93,3.70%,22.60%,10.20%,8.90%,41%,2.22,3.9,23.7,7.4,0.7,0.94,62%,25%,10.90%,12%
MIA,3.66,2.10%,22.80%,7.50%,6.20%,29%,3.04,4,42.9,9.9,0.93,1.2,66%,25%,6.90%,12%
MIL,4.63,3.50%,23.50%,8.70%,8.00%,35%,2.72,3.8,25.4,7.8,0.87,1.21,63%,24%,11.20%,11%
MIN,4.56,2.70%,21.60%,8.70%,8.20%,37%,2.49,4.2,33.3,7.8,0.69,0.87,66%,25%,7.60%,12%
NYM,4.17,2.80%,22.70%,9.20%,7.60%,37%,2.48,3.9,32.2,8.4,0.74,0.95,64%,23%,8.50%,15%
NYY,5.25,4.30%,22.70%,10.00%,8.90%,41%,2.27,3.9,20.7,6.7,0.73,0.95,62%,23%,12.80%,12%
OAK,5.02,3.60%,22.10%,8.80%,9.10%,40%,2.51,4,24.6,7.2,0.67,0.87,64%,26%,10.10%,11%
PHI,4.18,3.00%,24.80%,9.50%,7.50%,36%,2.61,3.6,29.2,8.3,0.77,1.01,61%,23%,9.80%,14%
PIT,4.3,2.60%,20.30%,7.80%,8.00%,35%,2.59,4.4,34.7,8.2,0.8,1.03,68%,25%,7.50%,11%
SDP,3.81,2.70%,25.10%,7.80%,7.30%,34%,3.23,3.6,33.9,9.4,0.89,1.21,63%,24%,9.00%,13%
SEA,4.18,2.90%,20.10%,7.10%,7.60%,33%,2.84,4.5,31.3,8.6,0.85,1.13,68%,24%,8.50%,11%
SFG,3.72,2.20%,24.00%,7.30%,6.80%,32%,3.27,3.8,41.7,9.7,0.82,1.12,65%,26%,6.70%,11%
STL,4.69,3.30%,22.30%,8.50%,7.50%,34%,2.63,4,26.8,7.6,0.77,1.02,64%,25%,9.80%,10%
TBR,4.42,2.40%,22.40%,8.70%,7.50%,33%,2.57,3.9,36.5,8.2,0.86,1.09,64%,25%,7.70%,12%
TEX,4.55,3.20%,24.10%,9.00%,7.90%,37%,2.67,3.7,28.1,7.8,0.8,1.04,62%,24%,10.00%,11%
TOR,4.38,3.60%,22.80%,8.20%,9.10%,41%,2.78,3.9,25.2,8.1,0.71,0.95,64%,25%,10.40%,13%
WSN,4.76,3.00%,20.50%,10.00%,8.00%,36%,2.04,4.3,28.9,7.5,0.8,1.08,65%,25%,9.30%,12%
LgAvg,4.45,3.00%,22.30%,8.50%,7.90%,36%,2.63,4,29.6,8,0.78,1.03,65%,25%,9.10%,12%
,4.45,3.00%,22.30%,8.50%,7.90%,36%,2.63,4,29.6,8,0.78,1.03,65%,25%,9.10%,12%
