Name,W,L,PCT,GB,HOME,AWAY,RS,RA,DIFF,STRK,L10
Philadelphia Phillies,102,60,0.63,-,52-29,50-31,713,529,184,W4,4る6ら
New York Yankees,97,65,0.599,5,52-29,45-36,867,657,210,L4,5る5ら
Milwaukee Brewers,96,66,0.593,6,57-24,39-42,721,638,83,W2,7る3ら
Texas Rangers,96,66,0.593,6,52-29,44-37,855,677,178,W6,9る1ら
Detroit Tigers,95,67,0.586,7,50-31,45-36,787,711,76,W4,7る3ら
Arizona Diamondbacks,94,68,0.58,8,51-30,43-38,731,662,69,L1,7る3ら
Tampa Bay Rays,91,71,0.562,11,47-34,44-37,707,614,93,W5,6る4ら
St. Louis Cardinals,90,72,0.556,12,45-36,45-36,762,692,70,W2,7る3ら
Boston Red Sox,90,72,0.556,12,45-36,45-36,875,737,138,L1,2る7ら
Atlanta Braves,89,73,0.549,13,47-34,42-39,641,605,36,L5,2る8ら
Los Angeles Angels,86,76,0.531,16,45-36,41-40,667,633,34,L4,3る7ら
San Francisco Giants,86,76,0.531,16,46-35,40-41,570,578,-8,L1,4る6ら
Los Angeles Dodgers,82,79,0.509,19.5,42-39,40-40,644,612,32,W1,7る3ら
Toronto Blue Jays,81,81,0.5,21,42-39,39-42,743,761,-18,W1,4る6ら
Washington Nationals,80,81,0.497,21.5,44-36,36-45,624,643,-19,W1,8る2ら
Cleveland Indians,80,82,0.494,22,44-37,36-45,704,760,-56,L4,4る6ら
Chicago White Sox,79,83,0.488,23,36-45,43-38,654,706,-52,L1,5る5ら
Cincinnati Reds,79,83,0.488,23,42-39,37-44,735,720,15,L1,5る5ら
New York Mets,77,85,0.475,25,34-47,43-38,718,742,-24,W1,5る5ら
Oakland Athletics,74,88,0.457,28,43-38,31-50,645,679,-34,W2,5る5ら
Colorado Rockies,73,89,0.451,29,38-43,35-46,735,774,-39,W1,3る7ら
Florida Marlins,72,90,0.444,30,31-47,41-43,625,702,-77,L1,3る7ら
Pittsburgh Pirates,72,90,0.444,30,36-45,36-45,610,712,-102,L2,4る6ら
Kansas City Royals,71,91,0.438,31,40-41,31-50,730,762,-32,L2,5る5ら
Chicago Cubs,71,91,0.438,31,39-42,32-49,654,756,-102,L1,4る6ら
San Diego Padres,71,91,0.438,31,35-46,36-45,593,611,-18,W1,6る4ら
Baltimore Orioles,69,93,0.426,33,39-42,30-51,708,860,-152,W1,6る4ら
Seattle Mariners,67,95,0.414,35,39-45,28-50,556,675,-119,L2,4る6ら
Minnesota Twins,63,99,0.389,39,33-48,30-51,619,804,-185,W2,4る6ら
Houston Astros,56,106,0.346,46,31-50,25-56,615,796,-181,L2,4る6ら
