"Name","W","L","PCT","GB","HOME","AWAY","RS","RA","DIFF","STRK","L10"
"Chicago Cubs",103,58,0.64,"-","57-24","46-34",808,556,252,"W1","6_3"
"Texas Rangers",95,67,0.586,"8.5","53-28","42-39",765,757,8,"L2","5_5"
"Washington Nationals",95,67,0.586,"8.5","50-31","45-36",763,612,151,"W2","6_4"
"Cleveland Indians",94,67,0.584,"9","53-28","41-39",777,676,101,"W3","6_4"
"Boston Red Sox",93,69,0.574,"10.5","47-34","46-35",878,694,184,"L2","5_5"
"Los Angeles Dodgers",91,71,0.562,"12.5","53-28","38-43",725,638,87,"L3","5_5"
"Baltimore Orioles",89,73,0.549,"14.5","50-31","39-42",744,715,29,"W1","7_3"
"Toronto Blue Jays",89,73,0.549,"14.5","46-35","43-38",759,666,93,"W2","6_4"
"New York Mets",87,75,0.537,"16.5","44-37","43-38",671,617,54,"L1","7_3"
"San Francisco Giants",87,75,0.537,"16.5","45-36","42-39",715,631,84,"W4","7_3"
"Detroit Tigers",86,75,0.534,"17","45-35","41-40",750,721,29,"L2","5_5"
"St. Louis Cardinals",86,76,0.531,"17.5","38-43","48-33",779,712,67,"W4","6_4"
"Seattle Mariners",86,76,0.531,"17.5","44-37","42-39",768,707,61,"L2","6_4"
"New York Yankees",84,78,0.519,"19.5","48-33","36-45",680,702,-22,"L1","5_5"
"Houston Astros",84,78,0.519,"19.5","43-38","41-40",724,701,23,"L1","3_7"
"Kansas City Royals",81,81,0.5,"22.5","47-34","34-47",675,712,-37,"L4","4_6"
"Miami Marlins",79,82,0.491,"24","40-40","39-42",655,682,-27,"L2","3_7"
"Pittsburgh Pirates",78,83,0.484,"25","38-42","40-41",729,758,-29,"L3","2_7"
"Chicago White Sox",78,84,0.481,"25.5","45-36","33-48",686,715,-29,"L2","6_4"
"Colorado Rockies",75,87,0.463,"28.5","42-39","33-48",845,860,-15,"L2","2_8"
"Los Angeles Angels",74,88,0.457,"29.5","40-41","34-47",717,727,-10,"W1","8_2"
"Milwaukee Brewers",73,89,0.451,"30.5","41-40","32-49",671,733,-62,"W2","5_5"
"Philadelphia Phillies",71,91,0.438,"32.5","37-44","34-47",610,796,-186,"W1","2_8"
"Arizona Diamondbacks",69,93,0.426,"34.5","33-48","36-45",752,890,-138,"W3","5_5"
"Oakland Athletics",69,93,0.426,"34.5","34-47","35-46",653,761,-108,"W2","3_7"
"Atlanta Braves",68,93,0.422,"35","31-50","37-43",649,779,-130,"W2","8_2"
"Tampa Bay Rays",68,94,0.42,"35.5","36-45","32-49",672,713,-41,"W2","3_7"
"San Diego Padres",68,94,0.42,"35.5","39-42","29-52",686,770,-84,"L4","4_6"
"Cincinnati Reds",68,94,0.42,"35.5","38-43","30-51",716,854,-138,"L1","5_5"
"Minnesota Twins",59,103,0.364,"44.5","30-51","29-52",722,889,-167,"W2","4_6"
