"Active Players","Age","Pos.","Status","Base Salary","Signing Bonus","Incentives","Payroll Salary","Adj.  Salary","Payroll %","Lux. Tax Salary"
"Aaron Hill",33,"3B","Vet",1.2e+07,0,0,1.2e+07,1.2e+07,15.63,"11,666,667"
"Yasmany Tomas",24,"LF","Pre-Arb",1879781,3500000,0,5379781,5379781,7.01,"11,416,667"
"Brad Ziegler",35,"RP","Vet",5e+06,0,0,5e+06,5e+06,6.51,"5,250,000"
"Jeremy Hellickson",28,"SP","Arb 2",4275000,0,0,4275000,4275000,5.57,"4,275,000"
"Paul Goldschmidt",27,"1B","Vet",3e+06,1e+05,0,3100000,3100000,4.04,"6,400,000"
"David Hernandez",30,"RP","Arb 3",2e+06,0,0,2e+06,2e+06,2.6,"2,000,000"
"Josh Collmenter",29,"RP","Arb 2",1400000,50000,0,1450000,1450000,1.89,"1,212,500"
"Welington Castillo",28,"C","Arb 1",1422950,0,0,1422950,1422950,1.85,"2,100,000"
"Daniel Hudson",28,"RP","Arb 1",8e+05,0,0,8e+05,8e+05,1.04,"700,000"
"Matt Reynolds",30,"RP","Arb 2",6e+05,0,0,6e+05,6e+05,0.78,"550,000"
"Randall Delgado",25,"RP","Pre-Arb",526000,0,0,526000,526000,0.69,"526,000"
"Patrick Corbin",26,"SP","Pre-Arb",524000,0,0,524000,524000,0.68,"524,000"
"A.J. Pollock",27,"CF","Pre-Arb",519500,0,0,519500,519500,0.68,"519,500"
"Rubby De La Rosa",26,"SP","Pre-Arb",516000,0,0,516000,516000,0.67,"516,000"
"Ender Inciarte",24,"CF","Pre-Arb",513000,0,0,513000,513000,0.67,"513,000"
"Chase Anderson",27,"SP","Pre-Arb",512500,0,0,512500,512500,0.67,"512,500"
"Chris Owings",23,"2B","Pre-Arb",512500,0,0,512500,512500,0.67,"512,500"
"David Peralta",27,"RF","Pre-Arb",512000,0,0,512000,512000,0.67,"512,000"
"Nick Ahmed",25,"SS","Pre-Arb",508500,0,0,508500,508500,0.66,"508,500"
"Jake Lamb",24,"3B","Pre-Arb",508500,0,0,508500,508500,0.66,"508,500"
"Philip Gosselin",26,"2B","Pre-Arb",507500,0,0,507500,507500,0.66,"507,500"
"Oscar Hernandez",21,"C","Pre-Arb",507500,0,0,507500,507500,0.66,"507,500"
"Andrew Chafin",25,"RP","Pre-Arb",507500,0,0,507500,482540,0.63,"507,500"
"Jarrod Saltalamacchia",30,"C","Vet",507500,0,0,507500,415983,0.54,"507,500"
"Archie Bradley",22,"RP","Pre-Arb",507500,0,0,507500,391024,0.51,"507,500"
"Robbie Ray",23,"SP","Pre-Arb",508500,0,0,508500,344557,0.45,"508,500"
"Enrique Burgos",24,"RP","Pre-Arb",507500,0,0,507500,150299,0.2,"507,500"
"Allen Webster",25,"SP","Pre-Arb",507500,0,0,507500,135887,0.18,"507,500"
"Zack Godley",25,"SP","Pre-Arb",507500,0,0,507500,133114,0.17,"507,500"
"Keith Hessler",26,"RP","Pre-Arb",507500,0,0,507500,130341,0.17,"507,500"
"Matt Stites",25,"RP","Pre-Arb",510500,0,0,510500,114374,0.15,"510,500"
"A.J. Schugel",26,"RP","Pre-Arb",507500,0,0,507500,105382,0.14,"507,500"
"Silvino Bracho",22,"RP","Pre-Arb",507500,0,0,507500,97062,0.13,"507,500"
"Jamie Romak",29,"RF","Pre-Arb",507500,0,0,507500,94289,0.12,"507,500"
"Brandon Drury",22,"2B","Pre-Arb",507500,0,0,507500,91516,0.12,"507,500"
"Jhoulys Chacin",27,"SP","Arb 3",507500,0,0,507500,88743,0.12,"507,500"
"Socrates Brito",22,"LF","Pre-Arb",507500,0,0,507500,72103,0.09,"507,500"
"Peter O'Brien",24,"LF","Pre-Arb",507500,0,0,507500,72103,0.09,"507,500"
"Dominic Leone",23,"RP/CL","Pre-Arb",515800,0,0,515800,28185,0.04,"515,800"
