"Active Players","Age","Pos.","Status","Base Salary","Signing Bonus","Incentives","Payroll Salary","Adj.  Salary","Payroll %","Lux. Tax Salary"
"Nick Markakis",31,"RF","Vet",10500000,5e+05,0,1.1e+07,1.1e+07,9.92,"11,000,000"
"Freddie Freeman",25,"1B","Arb 2",8500000,359375,0,8859375,8859375,7.99,"16,875,000"
"Cameron Maybin",28,"CF","Arb 3",7e+06,1e+05,0,7100000,7100000,6.41,"5,000,000"
"Hector Olivera",30,"LF","Pre-Arb",732240,4666666,0,5398906,5398906,4.87,"10,416,667"
"Nick Swisher",34,"OF","Vet",4754098,0,0,4754098,4754098,4.29,"14,000,000"
"Michael Bourn",32,"CF","Vet",4278688,0,0,4278688,4278688,3.86,"12,000,000"
"Andrelton Simmons",25,"SS","Vet",3e+06,0,0,3e+06,3e+06,2.71,"8,285,714"
"A.J. Pierzynski",38,"C","Vet",2e+06,0,4e+05,2400000,2400000,2.17,"2,000,000"
"Julio Teheran",24,"SP","Vet",1e+06,166666,0,1166666,1166666,1.05,"5,400,000"
"Shelby Miller",24,"RP","Pre-Arb",535000,0,0,535000,535000,0.48,"535,000"
"Andrew McKirahan",25,"RP","Pre-Arb",507500,0,0,507500,507500,0.46,"507,500"
"Jace Peterson",25,"LF","Pre-Arb",507500,0,0,507500,507500,0.46,"507,500"
"Daniel Winkler",25,"RP","Pre-Arb",507500,0,0,507500,507500,0.46,"507,500"
"Ryan Lavarnway",27,"C","Pre-Arb",515000,0,0,515000,453087,0.41,"515,000"
"Pedro Ciriaco",29,"SS","Arb 1",507500,0,0,507500,432622,0.39,"507,500"
"Williams Perez",24,"SP","Pre-Arb",507500,0,0,507500,410437,0.37,"507,500"
"Brandon Cunniff",26,"RP","Pre-Arb",507500,0,0,507500,357745,0.32,"507,500"
"Mike Foltynewicz",23,"SP","Pre-Arb",508750,0,0,508750,347506,0.31,"508,750"
"Christian Bethancourt",23,"C","Pre-Arb",507500,0,0,507500,310601,0.28,"507,500"
"Matt Wisler",22,"RP","Pre-Arb",507500,0,0,507500,302281,0.27,"507,500"
"Joey Terdoslavich",26,"LF","Pre-Arb",507500,0,0,507500,288415,0.26,"507,500"
"Manny Banuelos",24,"SP","Pre-Arb",507500,0,0,507500,263456,0.24,"507,500"
"Arodys Vizcaino",24,"RP/CL","Pre-Arb",507500,0,0,507500,252363,0.23,"507,500"
"Ross Detwiler",29,"SP","Arb 3",507500,0,0,507500,221857,0.2,"507,500"
"Adonis Garcia",30,"3B","Pre-Arb",507500,0,0,507500,210765,0.19,"507,500"
"Matt Marksberry",24,"RP","Pre-Arb",507500,0,0,507500,185806,0.17,"507,500"
"Eury Perez",25,"LF","Pre-Arb",507500,0,0,507500,185806,0.17,"507,500"
"Sugar Ray Marimon",26,"RP","Pre-Arb",507500,0,0,507500,149754,0.14,"507,500"
"Edwin Jackson",31,"SP","Vet",507500,0,0,507500,141434,0.13,"507,500"
"Daniel Castro",22,"2B","Pre-Arb",507500,0,0,507500,135887,0.12,"507,500"
"Peter Moylan",36,"RP","Vet",507500,0,0,507500,135887,0.12,"507,500"
"Ryan Kelly",27,"RP","Pre-Arb",507500,0,0,507500,130341,0.12,"507,500"
"Danny Burawa",26,"RP","Pre-Arb",507500,0,0,507500,91516,0.08,"507,500"
