"Active Players","Age","Pos.","Status","Base Salary","Signing Bonus","Incentives","Payroll Salary","Adj.  Salary","Payroll %","Lux. Tax Salary"
"Chris Davis",30,"1B","Vet",1.7e+07,0,0,21118782,21118782,14.05,"23,000,000"
"Adam Jones",30,"CF","Vet",1.6e+07,333333,0,16333333,16333333,10.87,"14,250,000"
"Matt Wieters",30,"C","Vet",15800000,0,0,15800000,15800000,10.51,"15,800,000"
"Ubaldo Jimenez",32,"SP","Vet",1.3e+07,0,0,1.3e+07,1.3e+07,8.65,"12,500,000"
"J.J. Hardy",33,"SS","Vet",12500000,0,0,12500000,12500000,8.32,"13,333,333"
"Mark Trumbo",30,"DH","Arb 3",9150000,0,0,9150000,9150000,6.09,"9,150,000"
"Yovani Gallardo",30,"RP","Vet",9e+06,0,0,9e+06,9e+06,5.99,"11,000,000"
"Zack Britton",28,"RP","Arb 1",6750000,0,0,6750000,6750000,4.49,"6,750,000"
"Chris Tillman",28,"SP","Arb 2",6225000,0,0,6225000,6225000,4.14,"6,225,000"
"Darren O'Day",33,"RP","Vet",6e+06,0,0,6e+06,6e+06,3.99,"7,750,000"
"Pedro Alvarez",29,"1B","Arb 3",5750000,0,2e+05,5950000,5950000,3.96,"5,750,000"
"Manny Machado",23,"3B","Arb 1",5e+06,0,0,5e+06,5e+06,3.33,"5,000,000"
"Hyun-soo Kim",28,"LF","Pre-Arb",2800000,0,0,2800000,2800000,1.86,"3,500,000"
"Vance Worley",28,"RP","Arb 2",2600000,0,0,2600000,2600000,1.73,"2,600,000"
"Wade Miley",29,"SP","Arb 2",6e+06,166666,0,6166666,2098360,1.4,"6,416,667"
"Dylan Bundy",23,"SP","Pre-Arb",1800000,0,0,1800000,1800000,1.2,"1,800,000"
"Ryan Flaherty",29,"3B","Arb 2",1500000,0,0,1500000,1500000,1,"1,500,000"
"Nolan Reimold",32,"LF","Arb 3",1300000,0,0,1300000,1300000,0.86,"1,300,000"
"Brad Brach",30,"RP","Arb 1",1250000,0,0,1250000,1250000,0.83,"1,250,000"
"Kevin Gausman",25,"SP","Pre-Arb",532000,0,0,532000,532000,0.35,"532,000"
"Jonathan Schoop",24,"2B","Pre-Arb",522500,0,0,522500,522500,0.35,"522,500"
"Mychal Givens",26,"RP","Pre-Arb",511500,0,0,511500,511500,0.34,"511,500"
"Caleb Joseph",30,"C","Pre-Arb",523500,0,0,523500,492092,0.33,"523,500"
"Mike Wright",26,"RP","Pre-Arb",510500,0,0,510500,479880,0.32,"510,500"
"Tyler Wilson",26,"RP","Pre-Arb",511500,0,0,511500,385710,0.26,"511,500"
"Brian Duensing",33,"RP","Vet",507500,0,0,507500,341079,0.23,"507,500"
"Paul Janish",33,"SS","Arb 2",507500,0,0,507500,174699,0.12,"507,500"
"Donnie Hart",25,"RP","Pre-Arb",507500,0,0,507500,171926,0.11,"507,500"
"Oliver Drake",29,"RP","Pre-Arb",507500,0,0,507500,127558,0.08,"507,500"
"Francisco Pena",26,"C","Pre-Arb",509000,0,0,509000,122395,0.08,"509,000"
"Tommy Hunter",30,"RP","Vet",507500,0,0,507500,102601,0.07,"507,500"
"Jayson Aquino",23,"RP","Pre-Arb",507500,0,0,507500,94282,0.06,"507,500"
"Drew Stubbs",31,"CF","Vet",507500,0,0,507500,94282,0.06,"507,500"
"Michael Bourn",33,"CF","Vet",507500,0,0,507500,91509,0.06,"507,500"
"Trey Mancini",24,"LF","Pre-Arb",507500,0,0,507500,41595,0.03,"507,500"
