"Active Players","Age","Pos.","Status","Base Salary","Signing Bonus","Incentives","Payroll Salary","Adj.  Salary","Payroll %","Lux. Tax Salary"
"Josh Beckett",31,"SP","Vet",15750000,1250000,0,1.7e+07,1.7e+07,9.85,0
"John Lackey",32,"SP","Vet",15250000,7e+05,0,15950000,15950000,9.24,0
"Carl Crawford",29,"LF","Vet",1.4e+07,857142,0,14857142,14857142,8.61,0
"J.D. Drew",35,"RF","Vet",1.4e+07,0,0,1.4e+07,1.4e+07,8.11,0
"David Ortiz",35,"DH","Vet",12500000,0,150000,12650000,12650000,7.33,0
"Kevin Youkilis",32,"3B","Vet",1.2e+07,250000,0,12250000,12250000,7.1,0
"Jonathan Papelbon",30,"RP","Arb 3",1.2e+07,0,0,1.2e+07,1.2e+07,6.95,0
"Daisuke Matsuzaka",30,"SP","Pre-Arb",1e+07,333333,0,10333333,10333333,5.99,0
"Adrian Gonzalez",29,"1B","Vet",6300000,0,75000,6375000,6375000,3.69,0
"Bobby Jenks",30,"RP","Vet",6e+06,0,0,6e+06,6e+06,3.48,0
"Jon Lester",27,"SP","Vet",5750000,0,50000,5800000,5800000,3.36,0
"Dustin Pedroia",27,"2B","Vet",5500000,250000,0,5750000,5750000,3.33,0
"Marco Scutaro",35,"2B","Vet",5e+06,5e+05,0,5500000,5500000,3.19,0
"Dan Wheeler",33,"RP","Pre-Arb",3e+06,0,0,3e+06,3e+06,1.74,0
"Jacoby Ellsbury",27,"CF","Arb 1",2400000,0,1e+05,2500000,2500000,1.45,0
"Jose Iglesias",21,"SS","Pre-Arb",562500,1500000,0,2062500,2062500,1.2,0
"Jason Varitek",39,"C","Vet",2e+06,0,0,2e+06,2e+06,1.16,0
"Hideki Okajima",35,"RP","Pre-Arb",1750000,0,0,1750000,1750000,1.01,0
"Tim Wakefield",44,"SP","Vet",1500000,0,0,1500000,1500000,0.87,0
"Andrew Miller",26,"RP","Pre-Arb",1300000,0,0,1300000,1300000,0.75,0
"Junichi Tazawa",25,"RP","Pre-Arb",550000,6e+05,0,1150000,1150000,0.67,0
"Matt Albers",28,"RP","Arb 2",875000,0,0,875000,875000,0.51,0
"Jarrod Saltalamacchia",26,"C","Arb 1",750000,0,0,750000,750000,0.43,0
"Alfredo Aceves",29,"RP","Pre-Arb",650000,0,0,650000,650000,0.38,0
"Clay Buchholz",26,"SP","Vet",555000,0,0,555000,555000,0.32,0
"Conor Jackson",29,"1B","Arb 3",3200000,0,0,3200000,524590,0.3,0
"Daniel Bard",26,"RP","Pre-Arb",505000,0,0,505000,505000,0.29,0
"Darnell McDonald",32,"LF","Pre-Arb",470000,0,0,470000,470000,0.27,0
"Scott Atchison",35,"RP","Arb 1",454000,0,0,454000,454000,0.26,0
"Jed Lowrie",27,"2B","Pre-Arb",450000,0,0,450000,450000,0.26,0
"Michael Bowden",24,"RP","Pre-Arb",417500,0,0,417500,417500,0.24,0
"Josh Reddick",24,"RF","Pre-Arb",417500,0,0,417500,417500,0.24,0
"Felix Doubront",23,"SP","Pre-Arb",417000,0,0,417000,417000,0.24,0
"Ryan Kalish",23,"LF","Pre-Arb",417000,0,0,417000,417000,0.24,0
"Yamaico Navarro",23,"SS","Pre-Arb",416000,0,0,416000,416000,0.24,0
"Lars Anderson",23,"1B","Pre-Arb",415000,0,0,415000,415000,0.24,0
"Luis Exposito",24,"C","Pre-Arb",414000,0,0,414000,414000,0.24,0
"Rich Hill",31,"SP","Arb 1",414000,0,0,414000,414000,0.24,0
"Stolmy Pimentel",21,"RP","Pre-Arb",414000,0,0,414000,414000,0.24,0
"Oscar Tejeda",21,"SS","Pre-Arb",414000,0,0,414000,414000,0.24,0
"Kyle Weiland",24,"SP","Pre-Arb",414000,0,0,414000,414000,0.24,0
"Franklin Morales",25,"RP","Pre-Arb",424000,0,0,424000,310469,0.18,0
"Drew Sutton",28,"SS","Pre-Arb",414000,0,0,414000,246590,0.14,0
"Mike Aviles",30,"3B","Pre-Arb",640000,0,0,640000,220327,0.13,0
"Ryan Lavarnway",23,"C","Pre-Arb",414000,0,0,414000,93263,0.05,0
"Randy Williams",35,"SP","Pre-Arb",414000,0,0,414000,74655,0.04,0
"Trever Miller",38,"RP","Pre-Arb",414000,0,0,414000,40721,0.02,0
