"Active Players","Age","Pos.","Status","Base Salary","Signing Bonus","Incentives","Payroll Salary","Adj.  Salary","Payroll %","Lux. Tax Salary"
"Jon Lester",31,"SP","Vet",1.5e+07,5e+06,0,2e+07,2e+07,15.04,"25,833,333"
"Miguel Montero",31,"C","Vet",1.2e+07,0,0,1.2e+07,1.2e+07,9.02,"12,000,000"
"Dexter Fowler",29,"CF","Arb 4",9500000,0,0,9500000,9500000,7.14,"9,500,000"
"Jason Hammel",32,"SP","Vet",9e+06,0,0,9e+06,9e+06,6.77,"10,000,000"
"Starlin Castro",25,"2B","Arb 3",6e+06,857142,0,6857142,6857142,5.16,"8,571,429"
"Travis Wood",28,"SP","Arb 2",5685000,0,0,5685000,5685000,4.27,"5,685,000"
"Anthony Rizzo",25,"1B","Vet",5e+06,285714,0,5285714,5285714,3.97,"5,857,143"
"Jason Motte",33,"RP","Vet",4500000,0,0,4500000,4500000,3.38,"4,500,000"
"Tsuyoshi Wada",34,"SP","Pre-Arb",4e+06,0,0,4e+06,4e+06,3.01,"4,000,000"
"Jake Arrieta",29,"SP","Arb 1",3630000,0,0,3630000,3630000,2.73,"3,630,000"
"Dan Haren",34,"SP","Vet",3551912,0,0,3551912,3551912,2.67,"1,000,000"
"Jorge Soler",23,"LF","Pre-Arb",2e+06,666667,0,2666667,2666667,2.01,"3,333,333"
"Chris Denorfia",34,"RF","Vet",2600000,0,0,2600000,2600000,1.95,"2,600,000"
"Pedro Strop",30,"RP","Arb 2",2525000,0,0,2525000,2525000,1.9,"2,525,000"
"Chris Coghlan",30,"LF","Arb 2",2505000,0,0,2505000,2505000,1.88,"2,505,000"
"David Ross",38,"C","Vet",2250000,250000,0,2500000,2500000,1.88,"2,500,000"
"Tommy Hunter",29,"RP","Arb 3",1651639,0,0,1651639,1651639,1.24,"4,650,000"
"Fernando Rodney",38,"RP","Vet",1453551,0,0,1453551,1453551,1.09,"7,000,000"
"Austin Jackson",28,"CF","Arb 3",1e+06,0,0,1e+06,1e+06,0.75,"7,700,000"
"Jonathan Herrera",30,"SS","Arb 2",9e+05,0,0,9e+05,9e+05,0.68,"900,000"
"Hector Rondon",27,"RP/CL","Pre-Arb",544000,0,0,544000,544000,0.41,"544,000"
"Justin Grimm",26,"RP","Pre-Arb",531500,0,0,531500,531500,0.4,"531,500"
"Neil Ramirez",26,"RP","Pre-Arb",514500,0,0,514500,514500,0.39,"514,500"
"Kyle Hendricks",25,"SP","Pre-Arb",510000,0,0,510000,510000,0.38,"510,000"
"Kris Bryant",23,"3B","Pre-Arb",507500,0,0,507500,471448,0.35,"507,500"
"Addison Russell",21,"SS","Pre-Arb",507500,0,0,507500,460355,0.35,"507,500"
"Zac Rosscup",27,"RP","Pre-Arb",510500,0,0,510500,435180,0.33,"510,500"
"Matt Szczur",25,"CF","Pre-Arb",508500,0,0,508500,244524,0.18,"508,500"
"Kyle Schwarber",22,"LF","Pre-Arb",507500,0,0,507500,232950,0.18,"507,500"
"Clayton Richard",31,"SP","Arb 2",507500,0,0,507500,221857,0.17,"507,500"
"Yoervis Medina",26,"RP","Pre-Arb",527300,0,0,527300,129663,0.1,"527,300"
"Tommy La Stella",26,"2B","Pre-Arb",513000,0,0,513000,114934,0.09,"513,000"
"Javier Baez",22,"2B","Pre-Arb",507500,0,0,507500,91516,0.07,"507,500"
"Quintin Berry",30,"LF","Pre-Arb",507500,0,0,507500,91516,0.07,"507,500"
"Trevor Cahill",27,"RP","Arb 4",507500,0,0,507500,91516,0.07,"507,500"
"Taylor Teagarden",31,"C","Pre-Arb",507500,0,0,507500,80423,0.06,"507,500"
"C.J. Edwards",23,"RP","Pre-Arb",507500,0,0,507500,74877,0.06,"507,500"
