"Active Players","Age","Pos.","Status","Base Salary","Signing Bonus","Incentives","Payroll Salary","Adj.  Salary","Payroll %","Lux. Tax Salary"
"John Danks",30,"SP","Vet",14250000,1500000,0,15750000,15750000,13.25,"13,000,000"
"Adam LaRoche",35,"DH","Vet",1.2e+07,0,0,1.2e+07,1.2e+07,10.09,"12,500,000"
"Alexei Ramirez",33,"SS","Vet",1e+07,0,0,1e+07,1e+07,8.41,"8,125,000"
"David Robertson",30,"RP","Vet",1e+07,0,0,1e+07,1e+07,8.41,"11,500,000"
"Jeff Samardzija",30,"SP","Arb 3",9800000,0,0,9800000,9800000,8.24,"9,800,000"
"Jose Abreu",28,"1B","Pre-Arb",7e+06,1666666,0,8666666,8666666,7.29,"11,333,333"
"Chris Sale",26,"SP","Arb 2",6e+06,0,15000,6015000,6015000,5.06,"6,500,000"
"Zach Duke",32,"RP","Vet",4500000,0,0,4500000,4500000,3.79,"5,000,000"
"Jose Quintana",26,"SP","Vet",3400000,0,0,3400000,3400000,2.86,"5,300,000"
"Tyler Flowers",29,"C","Arb 1",2675000,0,0,2675000,2675000,2.25,"2,675,000"
"Gordon Beckham",28,"2B","Arb 3",2e+06,0,0,2e+06,2e+06,1.68,"2,000,000"
"Matt Albers",32,"RP","Vet",1500000,0,0,1500000,1500000,1.26,"1,500,000"
"Geovany Soto",32,"C","Vet",1500000,0,0,1500000,1500000,1.26,"1,500,000"
"Adam Eaton",26,"RF","Pre-Arb",850000,0,0,850000,850000,0.72,"4,700,000"
"Nate Jones",29,"RP","Arb 1",660000,0,0,660000,660000,0.56,"660,000"
"Zach Putnam",27,"RP","Pre-Arb",525000,0,0,525000,525000,0.44,"525,000"
"Avisail Garcia",24,"RF","Pre-Arb",523000,0,0,523000,523000,0.44,"523,000"
"Dan Jennings",28,"RP","Pre-Arb",523000,0,0,523000,523000,0.44,"523,000"
"Jake Petricka",27,"RP","Pre-Arb",520000,0,0,520000,520000,0.44,"520,000"
"J.B. Shuck",28,"LF","Pre-Arb",516000,0,0,516000,516000,0.43,"516,000"
"Carlos Rodon",22,"SP","Pre-Arb",507500,0,0,507500,463128,0.39,"507,500"
"Yolmer Sanchez",23,"2B","Pre-Arb",510000,0,0,510000,418032,0.35,"510,000"
"Daniel Webb",25,"RP","Pre-Arb",507500,0,0,507500,357745,0.3,"507,500"
"Tyler Saladino",25,"2B","Pre-Arb",507500,0,0,507500,241270,0.2,"507,500"
"Scott Carroll",30,"RP","Pre-Arb",507500,0,0,507500,196898,0.17,"507,500"
"Micah Johnson",24,"CF","Pre-Arb",507500,0,0,507500,183032,0.15,"507,500"
"Trayce Thompson",24,"CF","Pre-Arb",507500,0,0,507500,171939,0.14,"507,500"
"Leury Garcia",24,"OF","Pre-Arb",507500,0,0,507500,138661,0.12,"507,500"
"Frankie Montas",22,"RP","Pre-Arb",507500,0,0,507500,94289,0.08,"507,500"
"Erik Johnson",25,"SP","Pre-Arb",510000,0,0,510000,91967,0.08,"510,000"
"Mike Olt",26,"3B","Pre-Arb",520000,0,0,520000,79562,0.07,"520,000"
"Chris Beck",24,"RP","Pre-Arb",507500,0,0,507500,5546,0,"507,500"
