"Active Players","Age","Pos.","Status","Base Salary","Signing Bonus","Incentives","Payroll Salary","Adj.  Salary","Payroll %","Lux. Tax Salary"
"Joey Votto",29,"1B","Arb 3",1.7e+07,2e+06,50000,19050000,19050000,18.35,0
"Brandon Phillips",32,"2B","Vet",1e+07,0,75000,10075000,10075000,9.71,0
"Jay Bruce",26,"RF","Arb 2",7500000,41666,0,7541666,7541666,7.27,0
"Johnny Cueto",27,"SP","Arb 3",7400000,0,0,7400000,7400000,7.13,0
"Shin-Soo Choo",30,"RF","Arb 3",7375000,0,0,7375000,7375000,7.1,0
"Bronson Arroyo",36,"SP","Vet",6500000,0,0,6500000,6500000,6.26,0
"Homer Bailey",27,"SP","Arb 2",5350000,0,0,5350000,5350000,5.15,0
"Aroldis Chapman",25,"RP/CL","Pre-Arb",2e+06,2708333,25000,4733333,4733333,4.56,0
"Mat Latos",25,"SP","Arb 1",4250000,0,0,4250000,4250000,4.09,0
"Jonathan Broxton",29,"RP","Vet",4e+06,0,0,4e+06,4e+06,3.85,0
"Nick Massett",31,"RP","Arb 4",3100000,0,0,3100000,3100000,2.99,0
"Mike Leake",25,"SP","Arb 1",3060000,0,0,3060000,3060000,2.95,0
"Ryan Hanigan",32,"C","Arb 2",2050000,1e+05,0,2150000,2150000,2.07,0
"Ryan Ludwick",34,"LF","Vet",1e+06,1e+06,0,2e+06,2e+06,1.93,0
"Chris Heisey",28,"LF","Pre-Arb",1325000,0,0,1325000,1325000,1.28,0
"Jack Hannahan",33,"1B","Arb 2",1e+06,0,0,1e+06,1e+06,0.96,0
"Manny Parra",30,"RP","Arb 3",1e+06,0,0,1e+06,1e+06,0.96,0
"Logan Ondrusek",28,"RP","Arb 1",950000,0,50000,1e+06,1e+06,0.96,0
"Alfredo Simon",32,"SP","Arb 1",890000,0,0,890000,890000,0.86,0
"Cesar Izturis",33,"SS","Vet",8e+05,0,0,8e+05,8e+05,0.77,0
"Zack Cozart",27,"SS","Pre-Arb",527500,0,0,527500,527500,0.51,0
"Todd Frazier",27,"3B","Pre-Arb",527500,0,0,527500,527500,0.51,0
"Sam LeCure",29,"RP","Pre-Arb",510000,0,0,510000,510000,0.49,0
"Xavier Paul",28,"LF","Arb 1",505000,0,0,505000,505000,0.49,0
"Devin Mesoraco",25,"C","Pre-Arb",497500,0,0,497500,497500,0.48,0
"J.J. Hoover",25,"RP","Pre-Arb",492500,0,0,492500,492500,0.47,0
"Trevor Bell",26,"RP","Pre-Arb",490000,0,0,490000,490000,0.47,0
"Tony Cingrani",23,"RP","Pre-Arb",490000,0,0,490000,490000,0.47,0
"Derrick Robinson",25,"CF","Pre-Arb",490000,0,0,490000,431092,0.42,0
"Curtis Partch",26,"RP","Pre-Arb",490000,0,0,490000,230273,0.22,0
"Neftali Soto",24,"3B","Pre-Arb",490000,0,0,490000,99071,0.1,0
"Nick Christiani",25,"RP","Pre-Arb",490000,0,0,490000,96393,0.09,0
"Zach Duke",30,"RP","Vet",490000,0,0,490000,83005,0.08,0
"Billy Hamilton",22,"CF","Pre-Arb",490000,0,0,490000,77650,0.07,0
