"Active Players","Age","Pos.","Status","Base Salary","Signing Bonus","Incentives","Payroll Salary","Adj.  Salary","Payroll %","Lux. Tax Salary"
"Edwin Encarnacion",35,"DH","Vet",1.7e+07,1666666,0,18666666,18666666,13.07,"20,000,000"
"Jason Kipnis",31,"2B","Vet",13500000,166666,0,13666666,13666666,9.57,"8,750,000"
"Michael Brantley",31,"LF","Vet",1.2e+07,0,0,1.2e+07,1.2e+07,8.4,"6,250,000"
"Corey Kluber",32,"SP","Arb 3",10500000,2e+05,0,10700000,10700000,7.49,"7,700,000"
"Cody Allen",29,"RP","Arb 3",10575000,0,0,10575000,10575000,7.41,"10,575,000"
"Andrew Miller",33,"RP","Vet",9e+06,0,0,9e+06,9e+06,6.3,"9,000,000"
"Carlos Carrasco",31,"SP","Vet",8e+06,0,0,8e+06,8e+06,5.6,"5,500,000"
"Yonder Alonso",31,"1B","Vet",7e+06,0,0,7e+06,7e+06,4.9,"8,000,000"
"Trevor Bauer",27,"SP","Arb 2",6525000,0,0,6525000,6525000,4.57,"6,525,000"
"Yan Gomes",30,"C","Arb 3",5950000,83333,0,6033333,6033333,4.22,"3,833,333"
"Josh Tomlin",33,"SP","Vet",3e+06,0,0,3e+06,3e+06,2.1,"1,833,333"
"Jose Ramirez",25,"3B","Arb 1",2428600,4e+05,0,2828600,2828600,1.98,"5,200,000"
"Brandon Guyer",32,"RF","Arb 3",2750000,0,0,2750000,2750000,1.93,"2,500,000"
"Rajai Davis",37,"CF","Vet",1750000,0,0,1750000,1750000,1.23,"1,750,000"
"Roberto Perez",29,"C","Pre-Arb",1500000,125000,0,1625000,1625000,1.14,"2,250,000"
"Brad Hand",28,"RP/CL","Arb 2",3500000,0,0,3500000,1392473,0.98,"6,583,333"
"Oliver Perez",36,"RP","Vet",1750000,0,0,1750000,1138441,0.8,"1,750,000"
"Josh Donaldson",32,"3B","Arb 4",2.3e+07,0,0,2.3e+07,1133336,0.79,"23,000,000"
"Dan Otero",33,"RP","Arb 2",1100000,0,0,1100000,1100000,0.77,"1,250,000"
"Francisco Lindor",24,"SS","Pre-Arb",623200,0,0,623200,623200,0.44,"623,200"
"Mike Clevinger",27,"SP","Pre-Arb",558500,0,0,558500,558500,0.39,"558,500"
"Erik Gonzalez",26,"3B","Pre-Arb",547800,0,0,547800,547800,0.38,"547,800"
"Melky Cabrera",33,"LF","Vet",1e+06,0,250000,1250000,526848,0.37,"1,000,000"
"Tyler Olson",28,"RP","Pre-Arb",548300,0,0,548300,439252,0.31,"548,300"
"Neil Ramirez",29,"RP","Arb 1",545000,0,0,545000,407270,0.29,"545,000"
"Greg Allen",25,"CF","Pre-Arb",545000,0,0,545000,342810,0.24,"545,000"
"Shane Bieber",23,"SP","Pre-Arb",545000,0,0,545000,284210,0.2,"545,000"
"Adam Plutko",26,"RP","Pre-Arb",545000,0,0,545000,240260,0.17,"545,000"
"Adam Cimber",27,"RP","Pre-Arb",545000,0,0,545000,216820,0.15,"545,000"
"Yandy Diaz",26,"3B","Pre-Arb",545000,0,0,545000,158220,0.11,"545,000"
"James Hoyt",31,"RP","Pre-Arb",567700,0,0,567700,106820,0.07,"567,700"
"Jon Edwards",30,"RP","Pre-Arb",545000,0,0,545000,87900,0.06,"545,000"
"Eric Haase",25,"C","Pre-Arb",545000,0,0,545000,87900,0.06,"545,000"
"Brandon Barnes",32,"CF","Pre-Arb",545000,0,0,545000,79110,0.06,"545,000"
"Adam Rosales",35,"2B","Vet",545000,0,0,545000,79110,0.06,"545,000"
