"Active Players","Age","Pos.","Status","Base Salary","Signing Bonus","Incentives","Payroll Salary","Adj.  Salary","Payroll %","Lux. Tax Salary"
"Prince Fielder",28,"DH","Vet",2.3e+07,0,150000,23150000,23150000,16.05,0
"Miguel Cabrera",29,"1B","Vet",2.1e+07,0,0,2.1e+07,2.1e+07,14.56,0
"Justin Verlander",29,"SP","Vet",2e+07,166668,0,20166668,20166668,13.98,0
"Victor Martinez",33,"DH","Vet",1.3e+07,0,0,1.3e+07,1.3e+07,9.01,0
"Jose Valverde",34,"RP","Vet",9e+06,0,0,9e+06,9e+06,6.24,0
"Delmon Young",26,"LF","Arb 3",6750000,0,0,6750000,6750000,4.68,0
"Joaquin Benoit",35,"RP","Vet",5500000,0,0,5500000,5500000,3.81,0
"Jhonny Peralta",30,"3B","Vet",5500000,0,0,5500000,5500000,3.81,0
"Max Scherzer",27,"SP","Arb 1",3750000,0,0,3750000,3750000,2.6,0
"Anibal Sanchez",28,"RP","Arb 3",8e+06,0,0,8e+06,3147540,2.18,0
"Rick Porcello",23,"SP","Arb 1",3100000,0,0,3100000,3100000,2.15,0
"Octavio Dotel",38,"RP","Vet",3e+06,0,0,3e+06,3e+06,2.08,0
"Omar Infante",30,"2B","Vet",4e+06,0,0,2142076,2142076,1.48,0
"Ryan Raburn",31,"LF","Arb 2",2100000,0,0,2100000,2100000,1.46,0
"Ramon Santiago",32,"2B","Vet",2100000,0,0,2100000,2100000,1.46,0
"Jacob Turner",21,"RP","Pre-Arb",1175000,0,0,1175000,1175000,0.81,0
"Phil Coke",29,"RP","Arb 1",1100000,0,0,1100000,1100000,0.76,0
"Gerald Laird",32,"C","Vet",1e+06,0,0,1e+06,1e+06,0.69,0
"Don Kelly",32,"CF","Arb 1",9e+05,0,0,9e+05,9e+05,0.62,0
"Alex Avila",25,"C","Pre-Arb",510000,0,0,510000,510000,0.35,0
"Doug Fister",28,"SP","Pre-Arb",507500,0,0,507500,507500,0.35,0
"Brennan Boesch",27,"RF","Pre-Arb",502500,0,0,502500,502500,0.35,0
"Austin Jackson",25,"CF","Pre-Arb",5e+05,0,0,5e+05,5e+05,0.35,0
"Alberto Alburquerque",26,"RP","Pre-Arb",495000,0,0,495000,495000,0.34,0
"Daniel Schlereth",26,"RP","Pre-Arb",490000,0,0,490000,490000,0.34,0
"Collin Balester",26,"RP","Pre-Arb",485000,0,0,485000,485000,0.34,0
"Andy Dirks",26,"LF","Pre-Arb",485000,0,0,485000,485000,0.34,0
"Duane Below",26,"RP","Pre-Arb",482000,0,0,482000,482000,0.33,0
"Casey Crosby",23,"RP","Pre-Arb",482000,0,0,482000,482000,0.33,0
"Danny Worth",26,"2B","Pre-Arb",482000,0,0,482000,482000,0.33,0
"Quintin Berry",27,"LF","Pre-Arb",480000,0,0,480000,480000,0.33,0
"Darin Downs",27,"RP","Pre-Arb",480000,0,0,480000,480000,0.33,0
"Avisail Garcia",21,"RF","Pre-Arb",480000,0,0,480000,480000,0.33,0
"Matt Hoffman",23,"RP","Pre-Arb",480000,0,0,480000,480000,0.33,0
"Luis Marte",25,"RP","Pre-Arb",480000,0,0,480000,480000,0.33,0
"Jose Ortega",23,"RP","Pre-Arb",480000,0,0,480000,480000,0.33,0
"Hernan Perez",21,"LF","Pre-Arb",480000,0,0,480000,480000,0.33,0
"Luke Putkonen",26,"RP","Pre-Arb",480000,0,0,480000,480000,0.33,0
"Drew Smyly",23,"SP","Pre-Arb",480000,0,0,480000,480000,0.33,0
"Tyler Stohr",25,"RP","Pre-Arb",480000,0,0,480000,480000,0.33,0
"Brayan Villarreal",25,"SP","Pre-Arb",480000,0,0,480000,480000,0.33,0
"Adam Wilk",24,"RP","Pre-Arb",480000,0,0,480000,480000,0.33,0
