"Active Players","Age","Pos.","Status","Base Salary","Signing Bonus","Incentives","Payroll Salary","Adj.  Salary","Payroll %","Lux. Tax Salary"
"J.A. Happ",29,"SP","Arb 1",2350000,0,0,2350000,2350000,4.31,0
"Jed Lowrie",28,"2B","Arb 1",1150000,0,0,1150000,1150000,2.11,0
"Chris Snyder",31,"C","Vet",750000,0,0,750000,750000,1.37,0
"Travis Buck",28,"RF","Pre-Arb",580000,0,0,580000,580000,1.06,0
"Wilton Lopez",28,"RP","Pre-Arb",515500,0,0,515500,515500,0.95,0
"Wesley Wright",27,"RP","Pre-Arb",512000,0,0,512000,512000,0.94,0
"Bud Norris",27,"SP","Pre-Arb",511000,0,0,511000,511000,0.94,0
"Chris Johnson",27,"3B","Pre-Arb",495000,0,0,495000,495000,0.91,0
"Fernando Rodriguez",28,"RP","Pre-Arb",492000,0,0,492000,492000,0.9,0
"Sergio Escalona",27,"RP","Pre-Arb",490500,0,0,490500,490500,0.9,0
"Jordan Schafer",25,"CF","Pre-Arb",489000,0,0,489000,489000,0.9,0
"Matt Downs",28,"3B","Pre-Arb",487500,0,0,487500,487500,0.89,0
"Jason Castro",25,"C","Pre-Arb",486000,0,0,486000,486000,0.89,0
"Fernando Abad",26,"RP","Pre-Arb",485000,0,0,485000,485000,0.89,0
"Jose Altuve",22,"2B","Pre-Arb",483000,0,0,483000,483000,0.89,0
"Brian Bogusevic",28,"RF","Pre-Arb",483000,0,0,483000,483000,0.89,0
"J.D. Martinez",24,"DH","Pre-Arb",483000,0,0,483000,483000,0.89,0
"Brandon Laird",33,"3B","Pre-Arb",482500,0,0,482500,482500,0.88,0
"Lucas Harrell",27,"RP","Pre-Arb",482000,0,0,482000,482000,0.88,0
"Kyle Weiland",25,"SP","Pre-Arb",481500,0,0,481500,481500,0.88,0
"Hector Ambriz",28,"RP","Pre-Arb",480000,0,0,480000,480000,0.88,0
"Brandon Barnes",26,"CF","Pre-Arb",480000,0,0,480000,480000,0.88,0
"Xavier Cedeno",25,"RP","Pre-Arb",480000,0,0,480000,480000,0.88,0
"Paul Clemens",24,"SP","Pre-Arb",480000,0,0,480000,480000,0.88,0
"Carlos Corporan",28,"C","Pre-Arb",480000,0,0,480000,480000,0.88,0
"Rhiner Cruz",25,"RP","Pre-Arb",480000,0,0,480000,480000,0.88,0
"Jorge De Leon",0,"RP","Pre-Arb",480000,0,0,480000,480000,0.88,0
"Enerio Del Rosario",26,"RP","Pre-Arb",480000,0,0,480000,480000,0.88,0
"Matt Dominguez",22,"3B","Pre-Arb",480000,0,0,480000,480000,0.88,0
"Chuck Fick",26,"RP","Pre-Arb",480000,0,0,480000,480000,0.88,0
"Edgar Gonzalez",29,"RP","Pre-Arb",480000,0,0,480000,480000,0.88,0
"Marwin Gonzalez",23,"LF","Pre-Arb",480000,0,0,480000,480000,0.88,0
"Dallas Keuchel",24,"SP","Pre-Arb",480000,0,0,480000,480000,0.88,0
"Arcenio Leon",25,"RP","Pre-Arb",480000,0,0,480000,480000,0.88,0
"Jordan Lyles",21,"SP","Pre-Arb",480000,0,0,480000,480000,0.88,0
"Fernando Martinez",23,"RF","Pre-Arb",480000,0,0,480000,480000,0.88,0
"Scott Moore",28,"3B","Pre-Arb",480000,0,0,480000,480000,0.88,0
"Rudy Owens",24,"SP","Pre-Arb",480000,0,0,480000,480000,0.88,0
"Jimmy Paredes",23,"RF","Pre-Arb",480000,0,0,480000,480000,0.88,0
"J.B. Shuck",25,"LF","Pre-Arb",480000,0,0,480000,480000,0.88,0
"Mickey Storey",26,"RP","Pre-Arb",480000,0,0,480000,480000,0.88,0
"Jose Valdez",29,"RP","Pre-Arb",480000,0,0,480000,480000,0.88,0
"Brett Wallace",25,"3B","Pre-Arb",480000,0,0,480000,480000,0.88,0
