"Active Players","Age","Pos.","Status","Base Salary","Signing Bonus","Incentives","Payroll Salary","Adj.  Salary","Payroll %","Lux. Tax Salary"
"James Shields",32,"SP","Vet",13500000,0,0,13500000,13500000,13.7,0
"Alex Gordon",30,"LF","Vet",10750000,0,50000,10800000,10800000,10.96,0
"Billy Butler",28,"DH","Vet",8e+06,5e+05,0,8500000,8500000,8.62,0
"Jeremy Guthrie",35,"SP","Vet",8e+06,0,0,8e+06,8e+06,8.12,0
"Jason Vargas",31,"SP","Vet",7e+06,0,0,7e+06,7e+06,7.1,0
"Luke Hochevar",30,"RP","Arb 4",5210000,0,0,5210000,5210000,5.29,0
"Omar Infante",32,"2B","Vet",5e+06,0,0,5e+06,5e+06,5.07,0
"Wade Davis",28,"RP/CL","Vet",4800000,0,0,4800000,4800000,4.87,0
"Greg Holland",28,"RP","Arb 1",4675000,0,50000,4725000,4725000,4.79,0
"Eric Hosmer",24,"1B","Pre-Arb",3600000,0,0,3600000,3600000,3.65,0
"Norichika Aoki",32,"LF","Pre-Arb",1950000,0,1087500,3037500,3037500,3.08,0
"Alcides Escobar",27,"SS","Arb 2",3e+06,0,0,3e+06,3e+06,3.04,0
"Josh Willingham",35,"LF","Vet",1797814,0,0,1797814,1797814,1.82,0
"Salvador Perez",24,"C","Vet",1500000,0,1e+05,1600000,1600000,1.62,0
"Aaron Crow",27,"RP","Arb 1",1475000,0,0,1475000,1475000,1.5,0
"Tim Collins",24,"RP","Pre-Arb",1362500,0,0,1362500,1362500,1.38,0
"Jason Frasor",36,"RP","Vet",1750000,0,0,1750000,717213,0.73,0
"Mike Moustakas",25,"3B","Pre-Arb",549000,0,0,549000,549000,0.56,0
"Lorenzo Cain",28,"CF","Pre-Arb",546000,0,0,546000,546000,0.55,0
"Jarrod Dyson",29,"RF","Pre-Arb",530000,0,0,530000,530000,0.54,0
"Kelvin Herrera",24,"RP/CL","Pre-Arb",522500,0,0,522500,522500,0.53,0
"Francisley Bueno",33,"RP","Pre-Arb",504500,0,0,504500,504500,0.51,0
"Yordano Ventura",23,"SP","Pre-Arb",500500,0,0,500500,500500,0.51,0
"Scott Downs",38,"RP","Vet",5e+05,0,0,5e+05,5e+05,0.51,0
"Raul Ibanez",42,"DH","Vet",5e+05,0,0,5e+05,5e+05,0.51,0
"Danny Duffy",25,"SP","Pre-Arb",526000,0,0,526000,485759,0.49,0
"Blake Wood",28,"RP","Pre-Arb",560000,0,0,560000,364153,0.37,0
"Louis Coleman",28,"RP","Pre-Arb",537000,0,0,537000,302245,0.31,0
"Michael Mariot",25,"RP","Pre-Arb",5e+05,0,0,5e+05,275956,0.28,0
"Christian Colon",25,"2B","Pre-Arb",5e+05,0,0,5e+05,196721,0.2,0
"Erik Kratz",34,"C","Pre-Arb",510200,0,0,510200,172854,0.18,0
"Johnny Giavotella",26,"2B","Pre-Arb",508575,0,0,508575,116722,0.12,0
"Casey Coleman",26,"RP","Pre-Arb",5e+05,0,0,5e+05,114754,0.12,0
"Carlos Peguero",27,"LF","Pre-Arb",504250,0,0,504250,77153,0.08,0
"Lane Adams",24,"RF","Pre-Arb",5e+05,0,0,5e+05,76502,0.08,0
"Liam Hendriks",25,"RP","Pre-Arb",5e+05,0,0,5e+05,76502,0.08,0
