"Active Players","Age","Pos.","Status","Base Salary","Signing Bonus","Incentives","Payroll Salary","Adj.  Salary","Payroll %","Lux. Tax Salary"
"Vernon Wells",33,"LF","Vet",2.1e+07,3187500,0,24187500,24187500,15.39,0
"Torii Hunter",36,"RF","Vet",1.8e+07,5e+05,0,18500000,18500000,11.77,0
"Jered Weaver",29,"SP","Arb 3",1.4e+07,2e+05,0,14200000,14200000,9.03,0
"Dan Haren",31,"SP","Vet",12750000,0,0,12750000,12750000,8.11,0
"Albert Pujols",32,"DH","Vet",1.2e+07,0,0,1.2e+07,1.2e+07,7.64,0
"Ervin Santana",29,"SP","Vet",11200000,0,0,11200000,11200000,7.13,0
"C.J. Wilson",31,"SP","Vet",1e+07,5e+05,50000,10550000,10550000,6.71,0
"Bobby Abreu",38,"LF","Vet",8598689,0,0,8598689,8598689,5.47,0
"Erick Aybar",28,"SS","Arb 3",5075000,0,0,5075000,5075000,3.23,0
"Scott Downs",36,"RP","Vet",5e+06,0,0,5e+06,5e+06,3.18,0
"Howie Kendrick",28,"LF","Arb 3",4500000,350000,0,4850000,4850000,3.09,0
"Maicer Izturis",31,"2B","Vet",3800000,166667,0,3966667,3966667,2.52,0
"Chris Iannetta",29,"C","Arb 3",3550000,83334,0,3633334,3633334,2.31,0
"Alberto Callaspo",29,"3B","Arb 2",3150000,0,0,3150000,3150000,2,0
"LaTroy Hawkins",39,"RP/CL","Vet",3e+06,0,0,3e+06,3e+06,1.91,0
"Kendrys Morales",29,"DH","Arb 2",2975000,0,0,2975000,2975000,1.89,0
"Jerome Williams",30,"RP","Arb 1",820000,0,0,820000,820000,0.52,0
"Jason Isringhausen",39,"RP","Vet",650000,0,0,650000,650000,0.41,0
"Kevin Jepsen",27,"RP","Pre-Arb",501000,0,0,501000,501000,0.32,0
"Peter Bourjos",25,"RF","Pre-Arb",5e+05,0,0,5e+05,5e+05,0.32,0
"Mark Trumbo",26,"DH","Pre-Arb",5e+05,0,0,5e+05,5e+05,0.32,0
"Jordan Walden",24,"RP","Pre-Arb",495000,0,0,495000,495000,0.31,0
"Bobby Cassevah",26,"RP","Pre-Arb",490000,0,0,490000,490000,0.31,0
"Bobby Wilson",29,"C","Pre-Arb",487500,0,0,487500,487500,0.31,0
"Mike Trout",20,"CF","Pre-Arb",482500,0,0,482500,482500,0.31,0
"Michael Kohn",26,"RP","Pre-Arb",481500,0,0,481500,481500,0.31,0
"Alexi Amarista",23,"SS","Pre-Arb",481000,0,0,481000,481000,0.31,0
"Kole Calhoun",24,"RF","Pre-Arb",480000,0,0,480000,480000,0.31,0
"David Carpenter",24,"RP","Pre-Arb",480000,0,0,480000,480000,0.31,0
"Hank Conger",24,"C","Pre-Arb",480000,0,0,480000,480000,0.31,0
"Barry Enright",26,"SP","Pre-Arb",480000,0,0,480000,480000,0.31,0
"Steve Geltz",24,"RP","Pre-Arb",480000,0,0,480000,480000,0.31,0
"Nick Maronde",22,"RP","Pre-Arb",480000,0,0,480000,480000,0.31,0
"Brad Mills",27,"RP","Pre-Arb",480000,0,0,480000,480000,0.31,0
"Jeremy Moore",25,"RF","Pre-Arb",480000,0,0,480000,480000,0.31,0
"Garrett Richards",24,"SP","Pre-Arb",480000,0,0,480000,480000,0.31,0
