"Active Players","Age","Pos.","Status","Base Salary","Signing Bonus","Incentives","Payroll Salary","Adj.  Salary","Payroll %","Lux. Tax Salary"
"Clayton Kershaw",29,"SP","Vet",3.3e+07,2571428,0,35571428,35571428,13.73,"30,714,286"
"Adrian Gonzalez",35,"1B","Vet",21500000,857142,0,22357142,22357142,8.63,"22,000,000"
"Andre Ethier",35,"CF","Vet",17500000,0,0,17500000,17500000,6.75,"17,000,000"
"Justin Turner",32,"3B","Vet",1.2e+07,1e+06,0,1.3e+07,1.3e+07,5.02,"16,000,000"
"Rich Hill",37,"SP","Vet",1.2e+07,666666,0,12666666,12666666,4.89,"16,000,000"
"Brandon McCarthy",33,"SP","Vet",1e+07,1500000,0,11500000,11500000,4.44,"12,000,000"
"Kenley Jansen",29,"RP/CL","Vet",1e+07,1333333,0,11333333,11333333,4.37,"16,000,000"
"Yasiel Puig",26,"RF","Arb 1",6500000,1714285,0,8214285,8214285,3.17,"6,000,000"
"Hyun-Jin Ryu",30,"SP","Pre-Arb",7e+06,833333,0,7833333,7833333,3.02,"6,000,000"
"Kenta Maeda",29,"SP","Pre-Arb",3e+06,125000,4250000,7375000,7375000,2.85,"3,125,000"
"Logan Forsythe",30,"2B","Arb 3",5750000,1250000,0,7e+06,7e+06,2.7,"5,125,000"
"Yasmani Grandal",28,"C","Arb 2",5500000,0,0,5500000,5500000,2.12,"5,500,000"
"Yu Darvish",30,"SP","Vet",1.1e+07,0,0,1.1e+07,3786867,1.46,"10,000,000"
"Curtis Granderson",36,"RF","Vet",1.5e+07,0,0,1.5e+07,3606548,1.39,"15,000,000"
"Alex Wood",26,"SP","Arb 1",2800000,0,0,2800000,2800000,1.08,"2,800,000"
"Chase Utley",38,"2B","Vet",2e+06,0,250000,2250000,2250000,0.87,"2,000,000"
"Tony Watson",32,"RP","Arb 3",5600000,0,0,5600000,1927863,0.74,"5,600,000"
"Luis Avilan",27,"RP","Arb 2",1500000,0,0,1500000,1500000,0.58,"1,500,000"
"Brandon Morrow",32,"RP/CL","Vet",1250000,0,0,1250000,1250000,0.48,"1,250,000"
"Josh Fields",31,"RP","Arb 1",1105000,0,0,1105000,1105000,0.43,"1,105,000"
"Tony Cingrani",27,"RP","Arb 1",1825000,0,0,1825000,628299,0.24,"1,825,000"
"Corey Seager",23,"SS","Pre-Arb",575000,0,0,575000,575000,0.22,"575,000"
"Enrique Hernandez",25,"LF","Pre-Arb",555000,0,0,555000,555000,0.21,"555,000"
"Pedro Baez",29,"RP","Pre-Arb",550000,0,0,550000,550000,0.21,"550,000"
"Austin Barnes",27,"C","Pre-Arb",540000,0,0,540000,540000,0.21,"540,000"
"Joc Pederson",25,"CF","Pre-Arb",555000,0,0,555000,500445,0.19,"555,000"
"Ross Stripling",27,"RP","Pre-Arb",540000,0,0,540000,489866,0.19,"540,000"
"Chris Taylor",26,"LF","Pre-Arb",535000,0,0,535000,485218,0.19,"535,000"
"Cody Bellinger",21,"1B","Pre-Arb",535000,0,0,535000,476480,0.18,"535,000"
"Rob Segedin",28,"3B","Pre-Arb",535000,0,0,535000,447219,0.17,"535,000"
"Brock Stewart",25,"RP","Pre-Arb",537500,0,0,537500,223212,0.09,"537,500"
"Trayce Thompson",26,"CF","Pre-Arb",535000,0,0,535000,172457,0.07,"535,000"
"Edward Paredes",30,"RP","Pre-Arb",535000,0,0,535000,151996,0.06,"535,000"
"Alex Verdugo",21,"OF","Pre-Arb",535000,0,0,535000,90613,0.03,"535,000"
"Wilmer Font",27,"RP","Pre-Arb",53500,0,0,53500,87690,0.03,"535,000"
"Charlie Culberson",28,"3B","Pre-Arb",550000,0,0,550000,81135,0.03,"550,000"
"Walker Buehler",22,"RP","Pre-Arb",535000,0,0,535000,75998,0.03,"535,000"
"Kyle Farmer",26,"C","Pre-Arb",535000,0,0,535000,67229,0.03,"535,000"
"Tim Locastro",24,"2B","Pre-Arb",535000,0,0,535000,8769,0,"535,000"
