"Active Players","Age","Pos.","Status","Base Salary","Signing Bonus","Incentives","Payroll Salary","Adj.  Salary","Payroll %","Lux. Tax Salary"
"Giancarlo Stanton",24,"RF","Arb 1",6500000,0,0,6500000,6500000,12.83,0
"Jarrod Saltalamacchia",29,"C","Vet",6e+06,0,0,6e+06,6e+06,11.84,0
"Steve Cishek",28,"RP","Arb 1",3800000,0,0,3800000,3800000,7.5,0
"Garrett Jones",33,"RF","Arb 3",2750000,0,0,2750000,2750000,5.43,0
"Adeiny Hechavarria",25,"SS","Pre-Arb",2200000,0,0,2200000,2200000,4.34,0
"Jeff Baker",33,"1B","Vet",1600000,0,0,1600000,1600000,3.16,0
"Jeff Mathis",31,"C","Vet",1500000,0,0,1500000,1500000,2.96,0
"Michael Dunn",29,"RP","Arb 1",1400000,0,0,1400000,1400000,2.76,0
"Kevin Gregg",36,"RP","Vet",1286387,0,0,1286387,1286387,2.54,0
"Casey McGehee",31,"3B","Arb 3",1100000,0,0,1100000,1100000,2.17,0
"Reed Johnson",37,"LF","Vet",1e+06,0,0,1e+06,1e+06,1.97,0
"Jose Fernandez",21,"SP","Pre-Arb",635000,0,0,635000,635000,1.25,0
"Henderson Alvarez",24,"SP","Pre-Arb",525400,0,0,525400,525400,1.04,0
"Nathan Eovaldi",24,"SP","Pre-Arb",517000,0,0,517000,517000,1.02,0
"Tom Koehler",28,"RP","Pre-Arb",515000,0,0,515000,515000,1.02,0
"Bryan Morris",27,"RP","Pre-Arb",511500,0,0,511500,511500,1.01,0
"Donovan Solano",26,"2B","Pre-Arb",511500,0,0,511500,511500,1.01,0
"Ed Lucas",32,"3B","Pre-Arb",510000,0,0,510000,510000,1.01,0
"A.J. Ramos",27,"RP","Pre-Arb",510000,0,0,510000,510000,1.01,0
"Marcell Ozuna",23,"CF","Pre-Arb",505000,0,0,505000,505000,1,0
"Christian Yelich",22,"LF","Pre-Arb",505000,0,0,505000,505000,1,0
"Derek Dietrich",24,"2B","Pre-Arb",501500,0,0,501500,501500,0.99,0
"Dan Jennings",27,"RP","Pre-Arb",501500,0,0,501500,501500,0.99,0
"Carter Capps",23,"RP","Pre-Arb",5e+05,0,0,5e+05,5e+05,0.99,0
"Anthony DeSclafani",24,"SP","Pre-Arb",5e+05,0,0,5e+05,5e+05,0.99,0
"Sam Dyson",26,"RP","Pre-Arb",5e+05,0,0,5e+05,5e+05,0.99,0
"Brian Flynn",24,"RP","Pre-Arb",5e+05,0,0,5e+05,5e+05,0.99,0
"Brad Hand",24,"RP","Pre-Arb",5e+05,0,0,5e+05,5e+05,0.99,0
"Chris Hatcher",29,"RP","Pre-Arb",5e+05,0,0,5e+05,5e+05,0.99,0
"Justin Bour",26,"1B","Pre-Arb",5e+05,0,0,5e+05,319672,0.63,0
"Jordany Valdespin",26,"2B","Pre-Arb",5e+05,0,0,5e+05,196721,0.39,0
"Jarred Cosart",24,"RP","Pre-Arb",5e+05,0,0,5e+05,163934,0.32,0
"Enrique Hernandez",22,"LF","Pre-Arb",5e+05,0,0,5e+05,163934,0.32,0
"Edgar Olmos",24,"RP","Pre-Arb",5e+05,0,0,5e+05,2732,0.01,0
