"Active Players","Age","Pos.","Status","Base Salary","Signing Bonus","Incentives","Payroll Salary","Adj.  Salary","Payroll %","Lux. Tax Salary"
"Prince Fielder",27,"DH","Arb 3",15500000,0,0,15500000,15500000,16.82,0
"Zack Greinke",27,"SP","Vet",13500000,0,0,13500000,13500000,14.65,0
"Randy Wolf",34,"SP","Vet",9500000,0,0,9500000,9500000,10.31,0
"Corey Hart",29,"RF","Arb 3",6500000,333333,0,6833333,6833333,7.42,0
"Ryan Braun",27,"LF","Arb 2",4e+06,1e+06,0,5e+06,5e+06,5.43,0
"Rickie Weeks",28,"1B","Pre-Arb",3500000,1e+06,0,4500000,4500000,4.88,0
"LaTroy Hawkins",38,"RP/CL","Vet",4e+06,250000,0,4250000,4250000,4.61,0
"Shaun Marcum",29,"SP","Arb 2",3950000,0,0,3950000,3950000,4.29,0
"Yovani Gallardo",25,"RP","Arb 1",3250000,250000,0,3500000,3500000,3.8,0
"Francisco Rodriguez",29,"RP","",11500000,666667,0,12166667,2450819,2.66,0
"Yuniesky Betancourt",29,"1B","Vet",4e+06,375000,0,4375000,2e+06,2.17,0
"Takashi Saito",41,"RP","Arb 3",1750000,0,0,1750000,1750000,1.9,0
"Carlos Gomez",25,"CF","Arb 2",1500000,0,0,1500000,1500000,1.63,0
"Craig Counsell",40,"3B","Pre-Arb",1400000,0,0,1400000,1400000,1.52,0
"Kameron Loe",29,"RP","Arb 1",1250000,0,0,1250000,1250000,1.36,0
"Manny Parra",28,"RP","Arb 1",1200000,0,0,1200000,1200000,1.3,0
"Sergio Mitre",30,"RP","Pre-Arb",9e+05,0,0,9e+05,9e+05,0.98,0
"Sean Green",38,"RP","Pre-Arb",875000,0,0,875000,875000,0.95,0
"Mark Kotsay",35,"CF","Vet",8e+05,0,0,8e+05,8e+05,0.87,0
"Wil Nieves",33,"C","Arb 2",775000,0,0,775000,775000,0.84,0
"Jeremy Reed",30,"LF","Vet",550000,0,0,550000,550000,0.6,0
"Casey McGehee",28,"3B","Pre-Arb",468000,0,0,468000,468000,0.51,0
"Nyjer Morgan",30,"CF","Pre-Arb",450000,0,0,450000,450000,0.49,0
"Chris Narveson",29,"RP","Pre-Arb",444150,0,0,444150,444150,0.48,0
"John Axford",28,"RP","Pre-Arb",442500,0,0,442500,442500,0.48,0
"George Kottaras",28,"C","Pre-Arb",440000,0,0,440000,440000,0.48,0
"Mitch Stetter",30,"RP","Pre-Arb",427000,0,0,427000,427000,0.46,0
"Zach Braddock",23,"RP","Pre-Arb",424000,0,0,424000,424000,0.46,0
"Jonathan Lucroy",25,"C","Pre-Arb",424000,0,0,424000,424000,0.46,0
"Erick Almonte",33,"SS","Pre-Arb",414000,0,0,414000,414000,0.45,0
"Frankie De La Cruz",27,"RP","Pre-Arb",414000,0,0,414000,414000,0.45,0
"Chris Dickerson",29,"LF","Pre-Arb",414000,0,0,414000,414000,0.45,0
"Tim Dillard",27,"RP","Pre-Arb",414000,0,0,414000,414000,0.45,0
"Marco Estrada",27,"SP","Pre-Arb",414000,0,0,414000,414000,0.45,0
"Eric Farris",25,"2B","Pre-Arb",414000,0,0,414000,414000,0.45,0
"Michael Fiers",26,"SP","Pre-Arb",414000,0,0,414000,414000,0.45,0
"Mat Gamel",25,"1B","Pre-Arb",414000,0,0,414000,414000,0.45,0
"Taylor Green",24,"3B","Pre-Arb",414000,0,0,414000,414000,0.45,0
"Brandon Kintzler",26,"RP","Pre-Arb",414000,0,0,414000,414000,0.45,0
"Martin Maldonado",24,"C","Pre-Arb",414000,0,0,414000,414000,0.45,0
"Edwin Maysonet",29,"2B","Pre-Arb",414000,0,0,414000,414000,0.45,0
"Mike McClendon",26,"RP","Pre-Arb",414000,0,0,414000,414000,0.45,0
"Mark Rogers",25,"RP","Pre-Arb",414000,0,0,414000,414000,0.45,0
"Cody Scarpetta",22,"RP","Pre-Arb",414000,0,0,414000,414000,0.45,0
"Logan Schafer",24,"LF","Pre-Arb",414000,0,0,414000,414000,0.45,0
