"Active Players","Age","Pos.","Status","Base Salary","Signing Bonus","Incentives","Payroll Salary","Adj.  Salary","Payroll %","Lux. Tax Salary"
"Joe Mauer",28,"1B","Vet",2.3e+07,0,0,2.3e+07,2.3e+07,20.18,0
"Justin Morneau",30,"1B","Vet",1.4e+07,1e+06,0,1.5e+07,1.5e+07,13.16,0
"Joe Nathan",36,"RP","Vet",11250000,0,0,11250000,11250000,9.87,0
"Michael Cuddyer",32,"LF","Vet",10500000,0,25000,10525000,10525000,9.23,0
"Carl Pavano",35,"SP","Vet",8e+06,0,0,8e+06,8e+06,7.02,0
"Matt Capps",27,"RP","Arb 3",7150000,0,0,7150000,7150000,6.27,0
"Jason Kubel",29,"LF","Vet",5250000,0,0,5250000,5250000,4.61,0
"Scott Baker",29,"SP","Arb 2",5e+06,0,0,5e+06,5e+06,4.39,0
"Francisco Liriano",27,"RP","Arb 2",4300000,0,0,4300000,4300000,3.77,0
"Nick Blackburn",29,"SP","Pre-Arb",3e+06,0,0,3e+06,3e+06,2.63,0
"Tsuyoshi Nishioka",26,"2B","Pre-Arb",3e+06,0,0,3e+06,3e+06,2.63,0
"Kevin Slowey",27,"RP","Arb 1",2700000,0,0,2700000,2700000,2.37,0
"Denard Span",27,"CF","Vet",1e+06,0,0,1e+06,1e+06,0.88,0
"Alexi Casilla",26,"2B","Arb 1",865000,0,0,865000,865000,0.76,0
"Glen Perkins",28,"RP","Arb 1",7e+05,0,0,7e+05,7e+05,0.61,0
"Jason Repko",30,"CF","Pre-Arb",6e+05,0,0,6e+05,6e+05,0.53,0
"Brian Duensing",28,"RP","Pre-Arb",462500,0,0,462500,462500,0.41,0
"Jose Mijares",26,"RP","Pre-Arb",445000,0,0,445000,445000,0.39,0
"Danny Valencia",26,"3B","Pre-Arb",437500,0,0,437500,437500,0.38,0
"Drew Butera",27,"C","Pre-Arb",429000,0,0,429000,429000,0.38,0
"Dusty Hughes",29,"RP","Pre-Arb",429000,0,0,429000,429000,0.38,0
"Matt Tolbert",29,"SS","Pre-Arb",425000,0,0,425000,425000,0.37,0
"Jeff Manship",26,"RP","Pre-Arb",419000,0,0,419000,419000,0.37,0
"Joe Benson",23,"LF","Pre-Arb",414000,0,0,414000,414000,0.36,0
"Scott Diamond",24,"SP","Pre-Arb",414000,0,0,414000,414000,0.36,0
"Jim Hoey",28,"RP","Pre-Arb",414000,0,0,414000,414000,0.36,0
"Lester Oliveros",23,"RP","Pre-Arb",414000,0,0,414000,414000,0.36,0
"Chris Parmelee",23,"1B","Pre-Arb",414000,0,0,414000,414000,0.36,0
"Trevor Plouffe",25,"3B","Pre-Arb",414000,0,0,414000,414000,0.36,0
