"Active Players","Age","Pos.","Status","Base Salary","Signing Bonus","Incentives","Payroll Salary","Adj.  Salary","Payroll %","Lux. Tax Salary"
"Johan Santana",33,"SP","Vet",2.4e+07,0,0,2.4e+07,2.4e+07,22.67,0
"Jason Bay",24,"RF","Vet",1.6e+07,2125000,0,18125000,18125000,17.12,0
"David Wright",29,"3B","Vet",1.5e+07,250000,50000,15300000,15300000,14.45,0
"Mike Pelfrey",28,"RP","Arb 2",5687500,0,0,5687500,5687500,5.37,0
"Frank Francisco",32,"RP","Vet",5500000,0,0,5500000,5500000,5.2,0
"R.A. Dickey",37,"SP","Vet",4250000,5e+05,0,4750000,4750000,4.49,0
"Jon Rauch",-8,"RP","Vet",3500000,0,0,3500000,3500000,3.31,0
"Andres Torres",34,"CF","Arb 2",2700000,0,0,2700000,2700000,2.55,0
"Ramon Ramirez",30,"RP","Arb 3",2650000,0,0,2650000,2650000,2.5,0
"D.J. Carrasco",35,"RP","Pre-Arb",1200000,0,0,1200000,1200000,1.13,0
"Ronny Cedeno",29,"SS","Vet",1150000,0,0,1150000,1150000,1.09,0
"Scott Hairston",32,"RF","Vet",1100000,0,0,1100000,1100000,1.04,0
"Tim Byrdak",38,"RP","Vet",1e+06,0,0,1e+06,1e+06,0.94,0
"Manny Acosta",31,"RP","Pre-Arb",875000,0,0,875000,875000,0.83,0
"Jonathan Niese",25,"RP","Pre-Arb",769500,50000,0,819500,819500,0.77,0
"Chris Young",33,"RP","Vet",9e+05,0,0,9e+05,545901,0.52,0
"Daniel Murphy",27,"2B","Pre-Arb",512196,0,0,512196,512196,0.48,0
"Ike Davis",25,"1B","Pre-Arb",506690,0,0,506690,506690,0.48,0
"Bobby Parnell",27,"RP","Pre-Arb",504000,0,0,504000,504000,0.48,0
"Dillon Gee",26,"RP","Pre-Arb",502000,0,0,502000,502000,0.47,0
"Josh Thole",25,"C","Pre-Arb",498920,0,0,498920,498920,0.47,0
"Lucas Duda",26,"1B","Pre-Arb",497218,0,0,497218,497218,0.47,0
"Ruben Tejada",22,"SS","Pre-Arb",491209,0,0,491209,491209,0.46,0
"Justin Turner",27,"3B","Pre-Arb",491209,0,0,491209,491209,0.46,0
"Pedro Beato",25,"RP","Pre-Arb",487500,0,0,487500,487500,0.46,0
"Michael Nickeas",29,"C","Pre-Arb",480880,0,0,480880,480880,0.45,0
"Mike Baxter",27,"LF","Pre-Arb",480000,0,0,480000,480000,0.45,0
"Robert Carson",23,"RP","Pre-Arb",480000,0,0,480000,480000,0.45,0
"Josh Edgin",25,"RP","Pre-Arb",480000,0,0,480000,480000,0.45,0
"Jeurys Familia",22,"RP/CL","Pre-Arb",480000,0,0,480000,480000,0.45,0
"Wilmer Flores",20,"SS","Pre-Arb",480000,0,0,480000,480000,0.45,0
"Justin Hampson",32,"RP","Pre-Arb",480000,0,0,480000,480000,0.45,0
"Matt Harvey",23,"SP","Pre-Arb",480000,0,0,480000,480000,0.45,0
"Reese Havens",25,"SS","Pre-Arb",480000,0,0,480000,480000,0.45,0
"Jeremy Hefner",26,"SP","Pre-Arb",480000,0,0,480000,480000,0.45,0
"Rob Johnson",39,"C","",480000,0,0,480000,480000,0.45,0
"Juan Lagares",23,"CF","Pre-Arb",480000,0,0,480000,480000,0.45,0
"Collin McHugh",25,"SP","Pre-Arb",480000,0,0,480000,480000,0.45,0
"Jenrry Mejia",22,"RP","Pre-Arb",480000,0,0,480000,480000,0.45,0
"Kirk Nieuwenhuis",24,"CF","Pre-Arb",480000,0,0,480000,480000,0.45,0
"Elvin Ramirez",24,"SP","Pre-Arb",480000,0,0,480000,480000,0.45,0
"Jordany Valdespin",24,"2B","Pre-Arb",480000,0,0,480000,480000,0.45,0
"Kelly Shoppach",32,"C","Vet",1350000,0,0,1350000,376229,0.36,0
