"Active Players","Age","Pos.","Status","Base Salary","Signing Bonus","Incentives","Payroll Salary","Adj.  Salary","Payroll %","Lux. Tax Salary"
"Jed Lowrie",33,"2B","Vet",6500000,0,0,6500000,6500000,8.85,"7,666,667"
"Khris Davis",29,"LF","Arb 1",5e+06,0,0,5e+06,5e+06,6.8,"5,000,000"
"Matt Joyce",32,"RF","Vet",5e+06,0,0,5e+06,5e+06,6.8,"5,500,000"
"Santiago Casilla",36,"RP","Vet",4500000,5e+05,0,5e+06,5e+06,6.8,"5,500,000"
"Liam Hendriks",28,"RP","Arb 1",1100000,0,0,1100000,1100000,1.5,"1,100,000"
"Kendall Graveman",26,"SP","Pre-Arb",545000,0,0,545000,545000,0.74,"545,000"
"Josh Phegley",29,"C","Pre-Arb",545000,0,0,545000,545000,0.74,"545,000"
"Marcus Semien",26,"SS","Pre-Arb",545000,0,0,545000,545000,0.74,"545,000"
"Jake Smolinski",28,"LF","Pre-Arb",545000,0,0,545000,545000,0.74,"545,000"
"Ryan Dull",27,"RP","Pre-Arb",540000,0,0,540000,540000,0.73,"540,000"
"Daniel Coulombe",27,"RP","Pre-Arb",537500,0,0,537500,537500,0.73,"537,500"
"Ryon Healy",25,"1B","Pre-Arb",537500,0,0,537500,537500,0.73,"537,500"
"Sean Manaea",25,"SP","Pre-Arb",537500,0,0,537500,537500,0.73,"537,500"
"Chad Pinder",25,"SS","Pre-Arb",535000,0,0,535000,493987,0.67,"535,000"
"Jharel Cotton",25,"SP","Pre-Arb",535000,0,0,535000,485218,0.66,"535,000"
"Bruce Maxwell",26,"C","Pre-Arb",535000,0,0,535000,374144,0.51,"535,000"
"Chris Hatcher",32,"RP","Arb 1",1250000,0,0,1250000,327888,0.45,"1,250,000"
"Matt Chapman",24,"3B","Pre-Arb",535000,0,0,535000,318607,0.43,"535,000"
"Daniel Gossett",24,"SP","Pre-Arb",535000,0,0,535000,260147,0.35,"535,000"
"Chris Smith",36,"RP","Pre-Arb",535000,0,0,535000,251378,0.34,"535,000"
"Michael Brady",30,"RP","Pre-Arb",535000,0,0,535000,242609,0.33,"535,000"
"Blake Treinen",29,"RP/CL","Pre-Arb",563700,0,0,563700,240240,0.33,"563,700"
"Matt Olson",23,"1B","Pre-Arb",535000,0,0,535000,236763,0.32,"535,000"
"Daniel Mengden",24,"SP","Pre-Arb",537500,0,0,537500,234960,0.32,"537,500"
"Simon Castro",29,"RP","Pre-Arb",535000,0,0,535000,227994,0.31,"535,000"
"Mark Canha",28,"LF","Pre-Arb",545000,0,0,545000,226328,0.31,"545,000"
"Dustin Garneau",29,"C","Pre-Arb",537000,0,0,537000,169534,0.23,"537,000"
"Joe Wendle",27,"2B","Pre-Arb",535000,0,0,535000,160765,0.22,"535,000"
"Boog Powell",24,"CF","Pre-Arb",535000,0,0,535000,154919,0.21,"535,000"
"Franklin Barreto",21,"SS","Pre-Arb",535000,0,0,535000,128612,0.18,"535,000"
"Sam Moll",25,"RP","Pre-Arb",535000,0,0,535000,90613,0.12,"535,000"
"Raul Alcantara",24,"RP","Pre-Arb",535000,0,0,535000,87690,0.12,"535,000"
"Renato Nunez",23,"LF","Pre-Arb",535000,0,0,535000,78921,0.11,"535,000"
