"Active Players","Age","Pos.","Status","Base Salary","Signing Bonus","Incentives","Payroll Salary","Adj.  Salary","Payroll %","Lux. Tax Salary"
"Jake Arrieta",32,"SP","Vet",3e+07,0,0,3e+07,3e+07,28.76,"25,000,000"
"Carlos Santana",32,"1B","Vet",1.5e+07,3333333,0,18333333,18333333,17.58,"20,000,000"
"Tommy Hunter",32,"RP","Vet",9e+06,0,0,9e+06,9e+06,8.63,"9,000,000"
"Pat Neshek",37,"RP","Vet",5750000,2e+06,0,7750000,7750000,7.43,"8,125,000"
"Cesar Hernandez",28,"2B","Arb 2",5100000,0,0,5100000,5100000,4.89,"5,100,000"
"Wilson Ramos",30,"C","Vet",10500000,0,0,10500000,3500024,3.36,"6,250,000"
"Odubel Herrera",26,"CF","Pre-Arb",3e+06,350000,0,3350000,3350000,3.21,"6,100,000"
"Maikel Franco",25,"3B","Arb 1",2950000,0,0,2950000,2950000,2.83,"2,950,000"
"Asdrubal Cabrera",32,"2B","Vet",8250000,0,0,8250000,2883075,2.76,"9,250,000"
"Luis Garcia",31,"RP","Arb 1",1200000,0,0,1200000,1200000,1.15,"1,200,000"
"Scott Kingery",24,"SS","Pre-Arb",750000,250000,0,1e+06,1e+06,0.96,"4,000,000"
"Justin Bour",30,"1B","Arb 1",3400000,0,0,3400000,950560,0.91,"3,400,000"
"Aaron Loup",30,"RP","Arb 3",1812500,0,0,1812500,604190,0.58,"1,812,500"
"Pedro Florimon",31,"SS","Arb 2",6e+05,0,0,6e+05,6e+05,0.58,"600,000"
"Aaron Nola",25,"SP","Pre-Arb",573000,0,0,573000,573000,0.55,"573,000"
"Jerad Eickhoff",27,"SP","Pre-Arb",568000,0,0,568000,568000,0.54,"568,000"
"Adam Morgan",28,"RP","Pre-Arb",560000,0,0,560000,560000,0.54,"560,000"
"Vincent Velasquez",26,"SP","Pre-Arb",559000,0,0,559000,559000,0.54,"559,000"
"Nick Williams",24,"RF","Pre-Arb",553000,0,0,553000,553000,0.53,"553,000"
"Rhys Hoskins",25,"LF","Pre-Arb",552500,0,0,552500,552500,0.53,"552,500"
"Nick Pivetta",25,"SP","Pre-Arb",551000,0,0,551000,551000,0.53,"551,000"
"Jorge Alfaro",25,"C","Pre-Arb",547000,0,0,547000,547000,0.52,"547,000"
"Victor Arano",23,"RP","Pre-Arb",545500,0,0,545500,545500,0.52,"545,500"
"Edubray Ramos",25,"RP","Pre-Arb",554000,0,0,554000,506260,0.49,"554,000"
"Andrew Knapp",26,"C","Pre-Arb",548000,0,0,548000,500820,0.48,"548,000"
"J.P. Crawford",23,"SS","Pre-Arb",545500,0,0,545500,483945,0.46,"545,500"
"Aaron Altherr",27,"RF","Pre-Arb",561000,0,0,561000,440336,0.42,"561,000"
"Seranthony Dominguez",23,"RP/CL","Pre-Arb",545000,0,0,545000,430710,0.41,"545,000"
"Hector Neris",29,"RP","Pre-Arb",582500,0,0,582500,422820,0.41,"582,500"
"Zach Eflin",24,"SP","Pre-Arb",545000,0,0,545000,421920,0.4,"545,000"
"Yacksel Rios",25,"RP","Pre-Arb",545000,0,0,545000,336950,0.32,"545,000"
"Austin Davis",25,"RP","Pre-Arb",545000,0,0,545000,310580,0.3,"545,000"
"Dylan Cozens",24,"OF","Pre-Arb",545000,0,0,545000,228540,0.22,"545,000"
"Roman Quinn",25,"CF","Pre-Arb",545000,0,0,545000,193380,0.19,"545,000"
"Jose Bautista",37,"RF","Vet",545000,0,0,545000,99620,0.1,"545,000"
"Luis Avilan",28,"RP","Arb 3",2450000,0,0,2450000,96774,0.09,"2,450,000"
"Mitchell Walding",25,"3B","Pre-Arb",545000,0,0,545000,96690,0.09,"545,000"
"Enyel De Los Santos",22,"SP","Pre-Arb",545000,0,0,545000,84970,0.08,"545,000"
"Drew Anderson",24,"SP","Pre-Arb",545000,0,0,545000,67390,0.06,"545,000"
"Ranger Suarez",22,"RP","Pre-Arb",545000,0,0,545000,64460,0.06,"545,000"
