"Active Players","Age","Pos.","Status","Base Salary","Signing Bonus","Incentives","Payroll Salary","Adj.  Salary","Payroll %","Lux. Tax Salary"
"Wandy Rodriguez",34,"RP","Vet",8e+06,5e+05,0,8500000,8500000,11.89,0
"A.J. Burnett",36,"SP","Vet",16500000,0,0,16500000,8e+06,11.19,0
"Russell Martin",30,"C","Vet",6500000,1e+06,0,7500000,7500000,10.49,0
"Clint Barmes",34,"SS","Vet",5500000,0,0,5500000,5500000,7.69,0
"Andrew McCutchen",26,"RF","Arb 1",4500000,208333,150000,4858333,4858333,6.8,0
"Garrett Jones",32,"RF","Arb 2",4500000,0,0,4500000,4500000,6.3,0
"Neil Walker",27,"2B","Pre-Arb",3300000,0,0,3300000,3300000,4.62,0
"James McDonald",28,"SP","Arb 1",3025000,0,0,3025000,3025000,4.23,0
"Jason Grilli",36,"RP","Vet",2250000,250000,0,2500000,2500000,3.5,0
"Justin Morneau",32,"1B","Vet",1.4e+07,1e+06,0,1.5e+07,2371584,3.32,0
"Charlie Morton",29,"SP","Arb 2",2e+06,0,0,2e+06,2e+06,2.8,0
"Gaby Sanchez",29,"1B","Arb 1",1750000,0,0,1750000,1750000,2.45,0
"Jose Tabata",24,"RF","Pre-Arb",1e+06,166667,0,1166667,1166667,1.63,0
"John Buck",32,"C","Vet",6e+06,5e+05,0,6500000,1129032,1.58,0
"Francisco Liriano",29,"RP","Vet",1e+06,0,0,1e+06,1e+06,1.4,0
"Pedro Alvarez",26,"1B","Pre-Arb",7e+05,0,0,7e+05,7e+05,0.98,0
"Robert Andino",29,"CF","Arb 2",1600000,0,0,1600000,542076,0.76,0
"Mark Melancon",28,"RP/CL","Pre-Arb",521000,0,10000,531000,531000,0.74,0
"Tony Watson",28,"RP","Pre-Arb",505500,0,0,505500,505500,0.71,0
"Michael McKenry",28,"C","Pre-Arb",505000,0,0,505000,505000,0.71,0
"Travis Snider",25,"RF","Pre-Arb",505000,0,0,505000,505000,0.71,0
"Jeanmar Gomez",25,"RP","Pre-Arb",5e+05,0,0,5e+05,5e+05,0.7,0
"Starling Marte",24,"CF","Pre-Arb",5e+05,0,0,5e+05,5e+05,0.7,0
"Justin Wilson",25,"RP","Pre-Arb",493500,0,0,493500,493500,0.69,0
"Jeff Locke",25,"RP","Pre-Arb",497500,0,0,497500,483907,0.68,0
"Bryan Morris",26,"RP","Pre-Arb",490000,0,0,490000,457868,0.64,0
"Vin Mazzaro",26,"RP","Pre-Arb",490000,0,0,490000,447158,0.63,0
"Jordy Mercer",26,"SS","Pre-Arb",490000,0,0,490000,396284,0.55,0
"Jared Hughes",27,"RP","Pre-Arb",504500,0,0,504500,339090,0.47,0
"Gerrit Cole",22,"SP","Pre-Arb",490000,0,0,490000,297213,0.42,0
"Josh Harrison",25,"2B","Pre-Arb",503000,0,0,503000,294103,0.41,0
"Tony Sanchez",25,"C","Pre-Arb",490000,0,0,490000,176721,0.25,0
"Marlon Byrd",35,"LF","Vet",7e+05,0,0,7e+05,131720,0.18,0
"Andrew Lambo",24,"RF","Pre-Arb",490000,0,0,490000,107103,0.15,0
"Brandon Cumpton",24,"RP","Pre-Arb",490000,0,0,490000,85683,0.12,0
"Stolmy Pimentel",23,"RP","Pre-Arb",490000,0,0,490000,83036,0.12,0
"Kyle Farnsworth",37,"RP","Vet",490000,0,0,490000,80327,0.11,0
