"Active Players","Age","Pos.","Status","Base Salary","Signing Bonus","Incentives","Payroll Salary","Adj.  Salary","Payroll %","Lux. Tax Salary"
"Jon Jay",31,"CF","Arb 3",6225000,625000,0,6850000,6850000,8.2,"5,487,500"
"Derek Norris",27,"C","Arb 1",2925000,0,0,2925000,2925000,3.5,"2,925,000"
"Carlos Villanueva",32,"RP","Vet",1500000,0,0,1500000,1500000,1.8,"1,500,000"
"Alexi Amarista",27,"SS","Arb 2",1300000,50000,0,1350000,1350000,1.62,"1,250,000"
"Brett Wallace",29,"3B","Arb 1",1e+06,0,0,1e+06,1e+06,1.2,"1,000,000"
"Brad Hand",26,"RP","Pre-Arb",540000,0,0,540000,540000,0.65,"540,000"
"Brandon Maurer",25,"RP","Pre-Arb",526400,0,0,526400,526400,0.63,"526,400"
"Yangervis Solarte",28,"3B","Pre-Arb",525500,0,0,525500,525500,0.63,"525,500"
"Wil Myers",25,"1B","Pre-Arb",523900,0,0,523900,523900,0.63,"523,900"
"Travis Jankowski",25,"CF","Pre-Arb",508800,0,0,508800,508800,0.61,"508,800"
"Luis Perdomo",23,"SP","Pre-Arb",507500,0,0,507500,507500,0.61,"507,500"
"Adam Rosales",33,"2B","Vet",507500,0,0,507500,507500,0.61,"507,500"
"Ryan Buchter",29,"RP","Pre-Arb",520000,0,0,520000,485982,0.58,"520,000"
"Kevin Quackenbush",27,"RP","Pre-Arb",521200,0,0,521200,427200,0.51,"521,200"
"Christian Friedrich",28,"SP","Pre-Arb",507500,0,0,507500,396539,0.47,"507,500"
"Ryan Schimpf",28,"2B","Pre-Arb",507500,0,0,507500,307803,0.37,"507,500"
"Alex Dickerson",26,"LF","Pre-Arb",507500,0,0,507500,302257,0.36,"507,500"
"Paul Clemens",28,"SP","Pre-Arb",507500,0,0,507500,268981,0.32,"507,500"
"Jose Dominguez",25,"RP","Pre-Arb",507500,0,0,507500,260662,0.31,"507,500"
"Hector Sanchez",26,"C","Arb 2",507500,0,0,507500,227386,0.27,"507,500"
"Edwin Jackson",32,"SP","Vet",507500,0,0,507500,216294,0.26,"507,500"
"Jarred Cosart",26,"RP","Pre-Arb",550000,0,0,550000,198330,0.24,"550,000"
"Clayton Richard",32,"SP","Arb 3",507500,0,0,507500,158061,0.19,"507,500"
"Keith Hessler",27,"RP","Pre-Arb",507500,0,0,507500,155288,0.19,"507,500"
"Leonel Campos",28,"RP","Pre-Arb",507500,0,0,507500,152515,0.18,"507,500"
"Buddy Baumann",28,"RP","Pre-Arb",520000,0,0,520000,139258,0.17,"520,000"
"Brandon Morrow",31,"RP/CL","Vet",507500,0,1e+05,607500,138650,0.17,"507,500"
"Luis Sardinas",23,"SS","Pre-Arb",512000,0,0,512000,137102,0.16,"512,000"
"Oswaldo Arcia",25,"LF","Pre-Arb",535000,0,0,535000,105374,0.13,"535,000"
"Jake Smith",26,"RP","Pre-Arb",507500,0,0,507500,72098,0.09,"507,500"
"Austin Hedges",23,"C","Pre-Arb",509500,0,0,509500,33408,0.04,"509,500"
"Carlos Asuaje",24,"2B","Pre-Arb",507500,0,0,507500,33276,0.04,"507,500"
"Manuel Margot",21,"CF","Pre-Arb",507500,0,0,507500,33276,0.04,"507,500"
"Hunter Renfroe",24,"RF","Pre-Arb",507500,0,0,507500,33276,0.04,"507,500"
"Jose Torres",32,"RP","Pre-Arb",507500,0,0,507500,33276,0.04,"507,500"
