"Active Players","Age","Pos.","Status","Base Salary","Signing Bonus","Incentives","Payroll Salary","Adj.  Salary","Payroll %","Lux. Tax Salary"
"Barry Zito",33,"SP","Vet",18500000,0,0,18500000,18500000,14.68,0
"Tim Lincecum",27,"RP","Arb 1",1.3e+07,1e+06,1e+05,14100000,14100000,11.19,0
"Aaron Rowand",33,"CF","Pre-Arb",1.2e+07,1600000,0,13600000,13600000,10.8,0
"Aubrey Huff",34,"1B","Vet",1e+07,0,0,1e+07,1e+07,7.94,0
"Matt Cain",26,"RP","Vet",7e+06,333333,0,7333333,7333333,5.82,0
"Miguel Tejada",37,"2B","Vet",6500000,0,0,6500000,6500000,5.16,0
"Brian Wilson",29,"RP","Arb 2",6500000,0,0,6500000,6500000,5.16,0
"Cody Ross",30,"RF","Arb 3",6300000,0,0,6300000,6300000,5,0
"Mark Derosa",36,"3B","Vet",6e+06,0,0,6e+06,6e+06,4.76,0
"Freddy Sanchez",33,"2B","Vet",6e+06,0,0,6e+06,6e+06,4.76,0
"Jonathan Sanchez",28,"SP","Arb 2",4800000,0,0,4800000,4800000,3.81,0
"Jeremy Affeldt",32,"RP","Vet",4500000,0,0,4500000,4500000,3.57,0
"Javier Lopez",33,"RP","Arb 3",2375000,0,0,2375000,2375000,1.89,0
"Carlos Beltran",34,"DH","Vet",18500000,1571428,1e+05,20171428,2368852,1.88,0
"Andres Torres",33,"CF","Arb 1",2200000,0,0,2200000,2200000,1.75,0
"Ramon Ramirez",29,"RP","Arb 2",1650000,0,0,1650000,1650000,1.31,0
"Santiago Casilla",30,"RP","Arb 2",1300000,0,0,1300000,1300000,1.03,0
"Mike Fontenot",31,"2B","Arb 2",1050000,0,0,1050000,1050000,0.83,0
"Jeff Suppan",36,"SP","Pre-Arb",1e+06,0,0,1e+06,1e+06,0.79,0
"Guillermo Mota",37,"RP","Vet",925000,0,0,925000,925000,0.73,0
"Buster Posey",24,"C","Pre-Arb",575000,0,0,575000,575000,0.46,0
"Pablo Sandoval",24,"3B","Pre-Arb",5e+05,0,0,5e+05,5e+05,0.4,0
"Madison Bumgarner",21,"SP","Pre-Arb",450000,0,0,450000,450000,0.36,0
"Sergio Romo",28,"RP/CL","Pre-Arb",450000,0,0,450000,450000,0.36,0
"Nate Schierholtz",27,"RF","Pre-Arb",432500,0,0,432500,432500,0.34,0
"Eli Whiteside",31,"C","Pre-Arb",425000,0,0,425000,425000,0.34,0
"Dan Runzler",26,"RP","Pre-Arb",418500,0,0,418500,418500,0.33,0
"Ehire Adrianza",21,"SS","Pre-Arb",414000,0,0,414000,414000,0.33,0
"Brandon Belt",23,"1B","Pre-Arb",414000,0,0,414000,414000,0.33,0
"Emmanuel Burriss",26,"SS","Pre-Arb",414000,0,0,414000,414000,0.33,0
"Brandon Crawford",24,"SS","Pre-Arb",414000,0,0,414000,414000,0.33,0
"Conor Gillaspie",23,"3B","Pre-Arb",414000,0,0,414000,414000,0.33,0
"Francisco Peguero",23,"RF","Pre-Arb",414000,0,0,414000,414000,0.33,0
"Brett Pill",26,"1B","Pre-Arb",414000,0,0,414000,414000,0.33,0
"Hector Sanchez",21,"C","Pre-Arb",414000,0,0,414000,414000,0.33,0
"Henry Sosa",25,"SP","Pre-Arb",414000,0,0,414000,414000,0.33,0
"Chris Stewart",29,"C","Pre-Arb",414000,0,0,414000,414000,0.33,0
"Ryan Vogelsong",33,"SP","Arb 2",414000,0,0,414000,414000,0.33,0
"Eric Surkamp",23,"SP","Pre-Arb",414000,0,0,414000,75065,0.06,0
