"Active Players","Age","Pos.","Status","Base Salary","Signing Bonus","Incentives","Payroll Salary","Adj.  Salary","Payroll %","Lux. Tax Salary"
"Felix Hernandez",30,"SP","Vet",2.5e+07,857142,0,25857142,25857142,17.65,"25,000,000"
"Robinson Cano",33,"2B","Vet",2.4e+07,0,50000,24050000,24050000,16.41,"24,000,000"
"Nelson Cruz",36,"DH","Vet",1.4e+07,250000,0,14250000,14250000,9.72,"14,250,000"
"Hisashi Iwakuma",35,"SP","Pre-Arb",1e+07,1e+06,2500000,13500000,13500000,9.21,"12,000,000"
"Adam Lind",32,"1B","Vet",8e+06,0,0,8e+06,8e+06,5.46,"4,500,000"
"Kyle Seager",28,"3B","Arb 2",7500000,5e+05,0,8e+06,8e+06,5.46,"14,285,714"
"Seth Smith",33,"RF","Vet",6750000,0,0,6750000,6750000,4.61,"6,500,000"
"Norichika Aoki",34,"LF","Arb 2",5500000,0,3e+05,5800000,5800000,3.96,"5,500,000"
"Steve Cishek",30,"RP","Arb 3",4e+06,0,1e+06,5e+06,5e+06,3.41,"5,000,000"
"Chris Iannetta",33,"C","Vet",4250000,0,3e+05,4550000,4550000,3.11,"4,250,000"
"Leonys Martin",28,"CF","Arb 1",4150000,0,0,4150000,4150000,2.83,"4,150,000"
"Franklin Gutierrez",33,"CF","Vet",1500000,0,1e+06,2500000,2500000,1.71,"1,500,000"
"Drew Storen",28,"RP","Arb 4",8375000,0,0,6250000,2356557,1.61,"8,375,000"
"Dae-ho Lee",34,"1B","Pre-Arb",1e+06,0,0,1e+06,1e+06,0.68,"1,000,000"
"Evan Scribner",30,"RP","Arb 1",807500,0,0,807500,807500,0.55,"807,500"
"Vidal Nuno",28,"RP","Pre-Arb",532900,0,0,532900,532900,0.36,"532,900"
"Nick Vincent",29,"RP","Pre-Arb",525500,0,0,525500,525500,0.36,"525,500"
"Ketel Marte",22,"2B","Pre-Arb",515400,0,0,515400,515400,0.35,"515,400"
"Taijuan Walker",23,"SP","Pre-Arb",528600,0,0,528600,485352,0.33,"528,600"
"Shawn O'Malley",28,"LF","Pre-Arb",507500,0,0,507500,390993,0.27,"507,500"
"Jesus Sucre",28,"C","Pre-Arb",512000,0,0,512000,388922,0.27,"512,000"
"James Paxton",27,"SP","Pre-Arb",507500,0,0,507500,343852,0.23,"507,500"
"Edwin Diaz",22,"RP/CL","Pre-Arb",507500,0,0,507500,335533,0.23,"507,500"
"Tom Wilhelmsen",32,"RP","Arb 2",507500,0,0,507500,263435,0.18,"507,500"
"Mike Zunino",25,"C","Pre-Arb",507500,0,0,507500,227386,0.16,"507,500"
"Ariel Miranda",27,"SP","Pre-Arb",507500,0,0,507500,166380,0.11,"507,500"
"Arquimedes Caminero",29,"RP","Pre-Arb",532500,0,0,532500,162960,0.11,"532,500"
"Mike Freeman",28,"2B","Pre-Arb",507500,0,0,507500,155288,0.11,"507,500"
"David Rollins",26,"RP","Pre-Arb",507500,0,0,507500,155288,0.11,"507,500"
"Guillermo Heredia",25,"CF","Pre-Arb",507500,0,0,507500,149742,0.1,"507,500"
"Cody Martin",26,"RP","Pre-Arb",507500,0,0,507500,108147,0.07,"507,500"
"Dan Altavilla",23,"RP","Pre-Arb",507500,0,0,507500,105374,0.07,"507,500"
"Pat Venditte",31,"RP","Pre-Arb",507500,0,0,507500,105374,0.07,"507,500"
"Ben Gamel",24,"LF","Pre-Arb",507500,0,0,507500,85963,0.06,"507,500"
"Dan Vogelbach",23,"1B","Pre-Arb",507500,0,0,507500,58233,0.04,"507,500"
