"Active Players","Age","Pos.","Status","Base Salary","Signing Bonus","Incentives","Payroll Salary","Adj.  Salary","Payroll %","Lux. Tax Salary"
"Adam Wainwright",32,"SP","Vet",19500000,0,50000,19550000,19550000,16.13,0
"Matt Holliday",34,"DH","Vet",1.7e+07,0,0,1.7e+07,1.7e+07,14.02,0
"Jhonny Peralta",32,"3B","Vet",15500000,0,0,15500000,15500000,12.79,0
"Yadier Molina",31,"C","Vet",1.5e+07,2e+05,1e+05,15300000,15300000,12.62,0
"Jaime Garcia",27,"SP","Arb 3",7750000,125000,0,7875000,7875000,6.5,0
"Jason Motte",32,"RP","Arb 3",7e+06,5e+05,0,7500000,7500000,6.19,0
"Mark Ellis",37,"2B","Vet",5250000,0,0,5250000,5250000,4.33,0
"John Lackey",35,"SP","Vet",15250000,7e+05,5e+05,16450000,5e+06,4.12,0
"Justin Masterson",29,"RP","Arb 3",9762500,0,0,9762500,3254166,2.68,0
"Jon Jay",29,"CF","Arb 1",3250000,0,0,3250000,3250000,2.68,0
"Randy Choate",38,"RP","Vet",3e+06,0,0,3e+06,3e+06,2.47,0
"Matt Carpenter",28,"3B","Pre-Arb",1e+06,250000,50000,1300000,1300000,1.07,0
"Daniel Descalso",27,"3B","Arb 1",1290000,0,0,1290000,1290000,1.06,0
"Peter Bourjos",27,"RF","Arb 1",1200000,0,0,1200000,1200000,0.99,0
"Pat Neshek",33,"RP","Arb 3",1e+06,0,0,1e+06,1e+06,0.82,0
"Lance Lynn",27,"SP","Pre-Arb",535000,0,0,535000,535000,0.44,0
"Tony Cruz",27,"C","Pre-Arb",521000,0,0,521000,521000,0.43,0
"Shelby Miller",23,"RP","Pre-Arb",521000,0,0,521000,521000,0.43,0
"Trevor Rosenthal",24,"RP","Pre-Arb",521000,0,0,521000,521000,0.43,0
"Matt Adams",25,"1B","Pre-Arb",516000,0,0,516000,516000,0.43,0
"Seth Maness",25,"RP","Pre-Arb",509000,0,0,509000,509000,0.42,0
"Oscar Taveras",0,"RF","Pre-Arb",5e+05,0,0,5e+05,5e+05,0.41,0
"Kevin Siegrist",24,"RP","Pre-Arb",505000,0,0,505000,469125,0.39,0
"Carlos Martinez",22,"SP","Pre-Arb",505000,0,0,505000,460846,0.38,0
"Kolten Wong",23,"2B","Pre-Arb",5e+05,0,0,5e+05,377049,0.31,0
"Sam Freeman",27,"RP","Pre-Arb",5e+05,0,0,5e+05,366120,0.3,0
"Shane Robinson",29,"CF","Pre-Arb",519000,0,0,519000,317639,0.26,0
"Randal Grichuk",22,"RF","Pre-Arb",5e+05,0,0,305000,305000,0.25,0
"Nick Greenwood",26,"RP","Pre-Arb",5e+05,0,0,5e+05,289617,0.24,0
"Tyler Lyons",26,"RP","Pre-Arb",5e+05,0,0,5e+05,259562,0.21,0
"Michael Wacha",23,"SP","Pre-Arb",510000,0,0,510000,175573,0.14,0
"A.J. Pierzynski",37,"C","Vet",167539,0,0,167539,167539,0.14,0
"Pete Kozma",26,"SS","Pre-Arb",518000,0,0,518000,135868,0.11,0
"Greg Garcia",24,"2B","Pre-Arb",5e+05,0,0,5e+05,117486,0.1,0
"Tommy Pham",26,"LF","Pre-Arb",5e+05,0,0,5e+05,57377,0.05,0
"Xavier Scruggs",26,"1B","Pre-Arb",5e+05,0,0,5e+05,57377,0.05,0
"Sam Tuivailala",21,"RP","Pre-Arb",5e+05,0,0,5e+05,57377,0.05,0
"Jorge Rondon",25,"RP","Pre-Arb",5e+05,0,0,5e+05,27322,0.02,0
