"Active Players","Age","Pos.","Status","Base Salary","Signing Bonus","Incentives","Payroll Salary","Adj.  Salary","Payroll %","Lux. Tax Salary"
"Kevin Kiermaier",28,"CF","Arb 2",5500000,166666,0,5666666,5666666,8.24,"8,916,667"
"Carlos Gomez",32,"RF","Vet",4e+06,0,4e+05,4400000,4400000,6.39,"4,000,000"
"Sergio Romo",35,"RP","Vet",2500000,0,0,2500000,2500000,3.63,"2,500,000"
"C.J. Cron",28,"DH","Arb 1",2300000,0,0,2300000,2300000,3.34,"2,300,000"
"Matt Duffy",27,"3B","Arb 1",930000,0,0,930000,930000,1.35,"930,000"
"Jesus Sucre",30,"C","Arb 2",925000,0,0,925000,925000,1.34,"925,000"
"Chaz Roe",31,"RP","Pre-Arb",720000,0,0,720000,720000,1.05,"720,000"
"Blake Snell",25,"SP","Pre-Arb",558200,0,0,558200,558200,0.81,"558,200"
"Mallex Smith",25,"LF","Pre-Arb",553000,0,0,553000,553000,0.8,"553,000"
"Jose Alvarado",23,"RP/CL","Pre-Arb",549800,0,0,549800,549800,0.8,"549,800"
"Joe Wendle",28,"2B","Pre-Arb",545000,0,0,545000,545000,0.79,"545,000"
"Ryan Yarbrough",26,"RP","Pre-Arb",545000,0,0,545000,542050,0.79,"545,000"
"Jacob Faria",24,"SP","Pre-Arb",555000,0,0,555000,498328,0.72,"555,000"
"Ryne Stanek",26,"RP","Pre-Arb",545000,0,0,545000,418990,0.61,"545,000"
"Yonny Chirinos",24,"RP","Pre-Arb",545000,0,0,545000,398480,0.58,"545,000"
"Vidal Nuno",30,"RP","Arb 1",545000,0,0,545000,383830,0.56,"545,000"
"Ji-Man Choi",27,"1B","Pre-Arb",850000,0,0,850000,379310,0.55,"850,000"
"Diego Castillo",24,"RP","Pre-Arb",545000,0,0,545000,345740,0.5,"545,000"
"Jake Bauers",22,"1B","Pre-Arb",545000,0,0,545000,339880,0.49,"545,000"
"Hunter Wood",24,"RP","Pre-Arb",545000,0,0,545000,301790,0.44,"545,000"
"Andrew Kittredge",28,"RP","Pre-Arb",548100,0,0,548100,288806,0.42,"548,100"
"Willy Adames",22,"SS","Pre-Arb",545000,0,0,545000,272490,0.4,"545,000"
"Austin Pruitt",28,"RP","Pre-Arb",545000,0,0,545000,260770,0.38,"545,000"
"Adam Kolarek",29,"RP","Pre-Arb",545000,0,0,545000,225610,0.33,"545,000"
"Jaime Schultz",27,"RP","Pre-Arb",545000,0,0,545000,199240,0.29,"545,000"
"Jalen Beeks",24,"SP","Pre-Arb",545000,0,0,545000,196310,0.29,"545,000"
"Tommy Pham",30,"CF","Pre-Arb",570100,0,0,570100,190030,0.28,"570,100"
"Tyler Glasnow",24,"RP","Pre-Arb",556500,0,0,556500,181660,0.26,"556,500"
"Brandon Lowe",23,"2B","Pre-Arb",545000,0,0,545000,169940,0.25,"545,000"
"Adam Moore",34,"C","Pre-Arb",545000,0,0,545000,108410,0.16,"545,000"
"Andrew Velazquez",23,"SS","Pre-Arb",545000,0,0,545000,84970,0.12,"545,000"
"Nick Ciuffo",23,"C","Pre-Arb",545000,0,0,545000,82040,0.12,"545,000"
"Chih-Wei Hu",24,"RP","Pre-Arb",545000,0,0,545000,67390,0.1,"545,000"
"Hoby Milner",27,"RP","Pre-Arb",548000,0,0,548000,53028,0.08,"548,000"
"Austin Meadows",23,"CF","Pre-Arb",545000,0,0,545000,32230,0.05,"545,000"
