"Active Players","Age","Pos.","Status","Base Salary","Signing Bonus","Incentives","Payroll Salary","Adj.  Salary","Payroll %","Lux. Tax Salary"
"Shin-Soo Choo",35,"DH","Vet",2e+07,0,1e+05,20100000,20100000,14.29,"18,571,429"
"Adrian Beltre",39,"3B","Vet",1.8e+07,0,0,1.8e+07,1.8e+07,12.8,"18,000,000"
"Elvis Andrus",29,"SS","Vet",1.5e+07,250000,0,15250000,15250000,10.84,"15,000,000"
"Matt Moore",29,"RP","Vet",9e+06,0,0,9e+06,9e+06,6.4,"2,800,000"
"Mike Minor",30,"SP","Vet",8e+06,333333,0,8333333,8333333,5.93,"9,333,333"
"Martin Perez",27,"SP","Arb 3",6e+06,0,0,6e+06,6e+06,4.27,"3,125,000"
"Rougned Odor",24,"2B","Pre-Arb",3e+06,333333,0,3333333,3333333,2.37,"8,250,000"
"Bartolo Colon",45,"SP","Vet",1750000,0,7e+05,2450000,2450000,1.74,"1,750,000"
"Robinson Chirinos",34,"C","Arb 3",2250000,0,0,2250000,2250000,1.6,"2,125,000"
"Chris Martin",32,"RP","Pre-Arb",1750000,0,0,1750000,1750000,1.24,"2,000,000"
"Yovani Gallardo",32,"SP","Vet",2e+06,0,3e+05,2300000,1139785,0.81,"2,000,000"
"Jurickson Profar",25,"SS","Arb 2",1050000,0,0,1050000,1050000,0.75,"1,050,000"
"Ryan Rua",28,"RF","Arb 1",870000,0,0,870000,870000,0.62,"870,000"
"Alexander Claudio",26,"RP","Pre-Arb",568450,0,0,568450,568450,0.4,"568,450"
"Nomar Mazara",23,"RF","Pre-Arb",563560,0,0,563560,563560,0.4,"563,560"
"Joey Gallo",24,"LF","Pre-Arb",560000,0,0,560000,560000,0.4,"560,000"
"Delino DeShields",25,"CF","Pre-Arb",561500,0,0,561500,549458,0.39,"561,500"
"Carlos Tocci",22,"LF","Pre-Arb",545000,0,0,545000,545000,0.39,"545,000"
"Isiah Kiner-Falefa",23,"3B","Pre-Arb",545000,0,0,545000,509820,0.36,"545,000"
"Jose Leclerc",24,"RP","Pre-Arb",552300,0,0,552300,501761,0.36,"552,300"
"Ronald Guzman",23,"1B","Pre-Arb",545000,0,0,545000,501030,0.36,"545,000"
"Carlos Perez",27,"C","Pre-Arb",545000,0,0,545000,328160,0.23,"545,000"
"Drew Robinson",26,"LF","Pre-Arb",547990,0,0,547990,315222,0.22,"547,990"
"Eddie Butler",27,"RP","Pre-Arb",570750,0,0,570750,202554,0.14,"570,750"
"Austin Bibens-Dirkx",33,"SP","Pre-Arb",545000,0,0,545000,199240,0.14,"545,000"
"Ariel Jurado",22,"SP","Pre-Arb",545000,0,0,545000,193380,0.14,"545,000"
"Brandon Mann",34,"RP","Pre-Arb",545000,0,0,545000,193380,0.14,"545,000"
"Jeffrey Springs",25,"RP","Pre-Arb",545000,0,0,545000,181660,0.13,"545,000"
"Hanser Alberto",29,"SS","Pre-Arb",545000,0,0,545000,175800,0.13,"545,000"
"Willie Calhoun",23,"LF","Pre-Arb",545000,0,0,545000,158220,0.11,"545,000"
"Yohander Mendez",23,"RP","Pre-Arb",545000,0,0,545000,128920,0.09,"545,000"
"Connor Sadzeck",26,"SP","Pre-Arb",545000,0,0,545000,90830,0.06,"545,000"
"Zac Curtis",25,"RP","Pre-Arb",545000,0,0,545000,87900,0.06,"545,000"
"C.D. Pelham",23,"RP","Pre-Arb",545000,0,0,545000,79110,0.06,"545,000"
"Adrian Sampson",26,"RP","Pre-Arb",545000,0,0,545000,79110,0.06,"545,000"
