"Active Players","Age","Pos.","Status","Base Salary","Signing Bonus","Incentives","Payroll Salary","Adj.  Salary","Payroll %","Lux. Tax Salary"
"Jose Bautista",32,"RF","Vet",1.4e+07,0,0,1.4e+07,1.4e+07,10.62,0
"Josh Johnson",29,"SP","Vet",13750000,0,0,13750000,13750000,10.43,0
"Mark Buehrle",34,"SP","Vet",1.1e+07,1e+06,0,1.2e+07,1.2e+07,9.11,0
"Jose Reyes",30,"3B","Vet",1e+07,0,0,1e+07,1e+07,7.59,0
"Melky Cabrera",28,"LF","Vet",8e+06,0,0,8e+06,8e+06,6.07,0
"Edwin Encarnacion",30,"DH","Vet",8e+06,0,0,8e+06,8e+06,6.07,0
"Brandon Morrow",28,"RP/CL","Arb 3",8e+06,0,0,8e+06,8e+06,6.07,0
"R.A. Dickey",38,"SP","Vet",5250000,0,0,5250000,5250000,3.98,0
"Adam Lind",29,"1B","Arb 3",5e+06,150000,0,5150000,5150000,3.91,0
"Colby Rasmus",26,"LF","Arb 2",4675000,0,0,4675000,4675000,3.55,0
"Casey Janssen",31,"RP","Vet",3900000,0,0,3900000,3900000,2.96,0
"J.A. Happ",30,"SP","Arb 2",3700000,0,0,3700000,3700000,2.81,0
"Maicer Izturis",32,"2B","Vet",3e+06,0,0,3e+06,3e+06,2.28,0
"Darren Oliver",42,"RP","Vet",3e+06,0,0,3e+06,3e+06,2.28,0
"Sergio Santos",29,"CL","Pre-Arb",2750000,0,0,2750000,2750000,2.09,0
"Rajai Davis",32,"CF","Arb 4",2500000,0,0,2500000,2500000,1.9,0
"Dustin McGowan",31,"RP","Vet",1500000,0,0,1500000,1500000,1.14,0
"Josh Thole",26,"C","Arb 1",1250000,0,0,1250000,1250000,0.95,0
"Mark Derosa",38,"3B","Vet",750000,0,0,750000,750000,0.57,0
"Brett Cecil",26,"RP","Pre-Arb",510000,0,0,510000,510000,0.39,0
"Esmil Rogers",27,"RP","Pre-Arb",509000,0,0,509000,509000,0.39,0
"J.P. Arencibia",27,"1B","Pre-Arb",505600,0,0,505600,505600,0.38,0
"Brett Lawrie",23,"2B","Pre-Arb",5e+05,0,0,5e+05,5e+05,0.38,0
"Luis Perez",28,"RP","Pre-Arb",5e+05,0,0,5e+05,5e+05,0.38,0
"Kyle Drabek",25,"RP","Pre-Arb",499500,0,0,499500,499500,0.38,0
"Steve Delabar",29,"RP","Pre-Arb",498900,0,0,498900,498900,0.38,0
"Aaron Loup",25,"RP","Pre-Arb",494200,0,0,494200,494200,0.38,0
"Drew Hutchison",22,"RP","Pre-Arb",493200,0,0,493200,493200,0.37,0
"Ramon Ortiz",40,"RP","Pre-Arb",490000,0,0,490000,409672,0.31,0
"Munenori Kawasaki",32,"SS","Pre-Arb",490000,0,0,490000,366830,0.28,0
"Henry Blanco",41,"C","Vet",750000,0,0,750000,311475,0.24,0
"Neil Wagner",29,"RP","Pre-Arb",490000,0,0,490000,305245,0.23,0
"Todd Redmond",28,"RP","Pre-Arb",490000,0,0,490000,238306,0.18,0
"Anthony Gose",22,"RP","Pre-Arb",490000,0,0,490000,166010,0.13,0
"Brad Lincoln",28,"RP","Pre-Arb",490000,0,0,490000,166010,0.13,0
"Chad Jenkins",25,"RP","Pre-Arb",490000,0,0,490000,152622,0.12,0
"Kevin Pillar",24,"CF","Pre-Arb",490000,0,0,490000,125846,0.1,0
"Moises Sierra",24,"RF","Pre-Arb",490000,0,0,490000,107103,0.08,0
"Ryan Goins",25,"2B","Pre-Arb",490000,0,0,490000,104426,0.08,0
"Jeremy Jeffress",25,"RP","Pre-Arb",495900,0,0,495900,75875,0.06,0
"Michael Nickeas",30,"C","Pre-Arb",490000,0,0,490000,74972,0.06,0
