"Active Players","Age","Pos.","Status","Base Salary","Signing Bonus","Incentives","Payroll Salary","Adj.  Salary","Payroll %","Lux. Tax Salary"
"Max Scherzer",32,"SP","Vet",1.5e+07,7142857,0,22142857,22142857,12.15,"30,000,000"
"Jayson Werth",38,"LF","Vet",2.1e+07,571428,0,21571428,21571428,11.84,"18,000,000"
"Stephen Strasburg",28,"SP","Vet",1.5e+07,3333333,0,18333333,18333333,10.06,"25,000,000"
"Ryan Zimmerman",32,"1B","Vet",1.4e+07,0,0,1.4e+07,1.4e+07,7.68,"16,666,667"
"Bryce Harper",24,"RF","Arb 3",13625000,0,1e+05,13725000,13725000,7.53,"17,625,000"
"Gio Gonzalez",31,"SP","Vet",1.2e+07,0,0,1.2e+07,1.2e+07,6.58,"8,400,000"
"Daniel Murphy",32,"2B","Vet",1.2e+07,0,0,1.2e+07,1.2e+07,6.58,"12,500,000"
"Matt Wieters",31,"C","Vet",10500000,0,0,10500000,10500000,5.76,"10,500,000"
"Anthony Rendon",27,"3B","Arb 2",5800000,0,0,5800000,5800000,3.18,"5,800,000"
"Tanner Roark",30,"SP","Arb 1",4315000,0,0,4315000,4315000,2.37,"4,315,000"
"Joe Blanton",36,"RP","Vet",4e+06,0,0,4e+06,4e+06,2.19,"4,000,000"
"Oliver Perez",35,"RP","Vet",4e+06,0,0,4e+06,4e+06,2.19,"3,500,000"
"Howie Kendrick",33,"LF","Vet",1e+07,0,0,1e+07,3551912,1.95,"10,000,000"
"Stephen Drew",34,"2B","Vet",3500000,0,0,3500000,3500000,1.92,"3,500,000"
"Ryan Madson",36,"RP","Vet",7500000,166666,0,7666666,3196752,1.75,"7,333,333"
"Adam Lind",33,"1B","Vet",1e+06,0,8e+05,1800000,1800000,0.99,"1,500,000"
"Matt Albers",34,"RP","Vet",1150000,0,6e+05,1750000,1750000,0.96,"1,150,000"
"Jose Lobaton",32,"C","Arb 4",1575000,0,0,1575000,1575000,0.86,"1,575,000"
"Sean Doolittle",30,"RP/CL","Arb 3",2600000,30000,0,2630000,1108224,0.61,"2,100,000"
"Brandon Kintzler",32,"RP","Arb 3",2925000,0,0,2925000,1006992,0.55,"2,925,000"
"Trea Turner",24,"SS","Pre-Arb",554900,0,0,554900,554900,0.3,"554,900"
"Michael Taylor",26,"CF","Pre-Arb",557900,0,0,557900,551869,0.3,"557,900"
"Enny Romero",26,"RP","Pre-Arb",551000,0,0,551000,551000,0.3,"551,000"
"Wilmer Difo",25,"SS","Pre-Arb",537800,0,0,537800,502569,0.28,"537,800"
"Sammy Solis",28,"RP","Pre-Arb",545700,0,0,545700,480102,0.26,"545,700"
"Edwin Jackson",33,"SP","Vet",1e+06,0,0,1e+06,415264,0.23,"1,000,000"
"Matt Grace",28,"RP","Pre-Arb",535000,0,0,535000,377067,0.21,"535,000"
"Adrian Sanchez",27,"2B","Pre-Arb",535000,0,0,535000,245532,0.13,"535,000"
"Andrew Stevenson",23,"OF","Pre-Arb",535000,0,0,535000,175380,0.1,"535,000"
"A.J. Cole",25,"SP","Pre-Arb",535000,0,0,535000,166611,0.09,"535,000"
"Alejandro De Aza",33,"LF","Vet",535000,0,0,535000,137381,0.08,"535,000"
"Pedro Severino",23,"C","Pre-Arb",535000,0,0,535000,137381,0.08,"535,000"
"Austin Adams",30,"RP","Pre-Arb",535000,0,0,535000,102305,0.06,"535,000"
"Rafael Bautista",24,"OF","Pre-Arb",535000,0,0,535000,102305,0.06,"535,000"
"Raudy Read",23,"C","Pre-Arb",535000,0,0,535000,90613,0.05,"535,000"
"Victor Robles",20,"OF","Pre-Arb",535000,0,0,535000,73075,0.04,"535,000"
