"Active.Players..35.","Age","Pos.","Status","Base.Salary","Signing.Bonus","Incentives","Payroll.Salary","Adj...Salary","Payroll..","Lux..Tax.Salary"
"Greinke
										
										Zack Greinke",32,"SP","Vet","$31,000,000","$3,000,000","-","$34,000,000","$34,000,000",34.74,"34,416,667"
"Tomas
										
										Yasmany Tomas",25,"LF","Pre-Arb","$4,000,000","$3,500,000","-","$7,500,000","$7,500,000",7.66,"11,416,667"
"Goldschmidt
										
										Paul Goldschmidt",28,"1B","Vet","$5,750,000","$100,000","-","$5,850,000","$5,850,000",5.98,"6,400,000"
"Miller
										
										Shelby Miller",25,"RP","Arb 1","$4,350,000","-","-","$4,350,000","$4,350,000",4.44,"4,350,000"
"Castillo
										
										Welington Castillo",29,"C","Arb 2","$3,700,000","-","-","$3,700,000","$3,700,000",3.78,"3,700,000"
"Pollock
										
										A.J. Pollock",28,"CF","Arb 1","$3,500,000","-","-","$3,500,000","$3,500,000",3.58,"5,125,000"
"Hudson
										
										Daniel Hudson",29,"RP","Arb 2","$2,700,000","-","-","$2,700,000","$2,700,000",2.76,"2,700,000"
"Segura
										
										Jean Segura",26,"SS","Arb 1","$2,600,000","-","-","$2,600,000","$2,600,000",2.66,"2,600,000"
"Corbin
										
										Patrick Corbin",27,"SP","Arb 1","$2,525,000","-","-","$2,525,000","$2,525,000",2.58,"2,525,000"
"De La Rosa
										
										Rubby De La Rosa",27,"SP","Arb 1","$2,350,000","-","-","$2,350,000","$2,350,000",2.4,"2,350,000"
"Weeks
										
										Rickie Weeks",33,"1B","Vet","$1,500,000","-","-","$1,500,000","$1,500,000",1.53,"1,500,000"
"Delgado
										
										Randall Delgado",26,"RP","Arb 1","$1,275,000","-","-","$1,275,000","$1,275,000",1.3,"1,275,000"
"Owings
										
										Chris Owings",24,"2B","Pre-Arb","$530,500","-","-","$530,500","$530,500",0.54,"530,500"
"Ray
										
										Robbie Ray",24,"SP","Pre-Arb","$521,000","-","-","$521,000","$521,000",0.53,"521,000"
"Lamb
										
										Jake Lamb",25,"3B","Pre-Arb","$520,300","-","-","$520,300","$520,300",0.53,"520,300"
"Herrmann
										
										Chris Herrmann",28,"C","Pre-Arb","$515,900","-","-","$515,900","$515,900",0.53,"515,900"
"Gosselin
										
										Philip Gosselin",27,"2B","Pre-Arb","$513,900","-","-","$513,900","$513,900",0.53,"513,900"
"Drury
										
										Brandon Drury",23,"2B","Pre-Arb","$508,900","-","-","$508,900","$495,018",0.51,"508,900"
"Barrett
										
										Jake Barrett",24,"RP","Pre-Arb","$507,500","-","-","$507,500","$476,956",0.49,"507,500"
"Chafin
										
										Andrew Chafin",26,"RP","Pre-Arb","$519,700","-","-","$519,700","$465,760",0.48,"519,700"
"Bradley
										
										Archie Bradley",23,"RP","Pre-Arb","$507,500","-","-","$507,500","$360,490",0.37,"507,500"
"Burgos
										
										Enrique Burgos",25,"RP","Pre-Arb","$511,500","-","-","$511,500","$304,655",0.31,"511,500"
"Brito
										
										Socrates Brito",23,"LF","Pre-Arb","$508,500","-","-","$508,500","$286,237",0.29,"508,500"
"Gosewisch
										
										Tuffy Gosewisch",32,"C","Pre-Arb","$515,200","-","-","$515,200","$264,610",0.27,"515,200"
"Godley
										
										Zack Godley",26,"SP","Pre-Arb","$507,500","-","-","$507,500","$252,343",0.26,"507,500"
"Bracho
										
										Silvino Bracho",23,"RP","Pre-Arb","$509,300","-","-","$509,300","$239,338",0.24,"509,300"
"Leone
										
										Dominic Leone",24,"RP/CL","Pre-Arb","$507,500","-","-","$507,500","$227,386",0.23,"507,500"
"Shipley
										
										Braden Shipley",24,"SP","Pre-Arb","$507,500","-","-","$507,500","$194,110",0.2,"507,500"
"Escobar
										
										Edwin Escobar",24,"RP","Pre-Arb","$507,500","-","-","$507,500","$177,472",0.18,"507,500"
"O'Brien
										
										Peter O'Brien",25,"LF","Pre-Arb","$508,500","-","-","$508,500","$152,845",0.16,"508,500"
"Hathaway
										
										Steve Hathaway",25,"P","Pre-Arb","$507,500","-","-","$507,500","$149,742",0.15,"507,500"
"Haniger
										
										Mitch Haniger",25,"RF","Pre-Arb","$507,500","-","-","$507,500","$102,601",0.1,"507,500"
"Jensen
										
										Kyle Jensen",28,"1B","Pre-Arb","$507,500","-","-","$507,500","$83,190",0.08,"507,500"
"Koch
										
										Matt Koch",25,"RP","Pre-Arb","$507,500","-","-","$507,500","$74,871",0.08,"507,500"
"Hernandez
										
										Oscar Hernandez",22,"C","Pre-Arb","$507,500","-","-","$507,500","$63,779",0.07,"507,500"
