"Active.Players..25.","Age","Pos.","Status","Waiver.Options","Base.Salary","Signing.Bonus","Payroll.Salary","Adj...Salary","Payroll..","Lux..Tax.Salary"
"Greinke
										
										Zack Greinke",35,"SP","Vet",NA,"$31,500,000","$3,000,000","$34,500,000","$34,500,000",27.72,"34,416,667"
"Peralta
										
										David Peralta",31,"LF","Arb 2",3,"$7,000,000","-","$7,000,000","$7,000,000",5.62,"7,000,000"
"Escobar
										
										Eduardo Escobar",30,"3B","Vet",NA,"$6,000,000","$166,666","$6,166,666","$6,166,666",4.95,"7,000,000"
"Ray
										
										Robbie Ray",27,"SP","Arb 2",1,"$6,050,000","-","$6,050,000","$6,050,000",4.86,"6,050,000"
"Flores
										
										Wilmer Flores",27,"2B","Arb 3",NA,"$3,750,000","-","$3,750,000","$3,750,000",3.01,"4,250,000"
"Dyson
										
										Jarrod Dyson",34,"CF","Vet",NA,"$3,500,000","$250,000","$3,750,000","$3,750,000",3.01,"3,750,000"
"Ahmed
										
										Nick Ahmed",29,"SS","Arb 2",2,"$3,662,500","-","$3,662,500","$3,662,500",2.94,"3,662,500"
"Holland
										
										Greg Holland",33,"RP/CL","Vet",NA,"$3,250,000","-","$3,250,000","$3,250,000",2.61,"3,250,000"
"Hirano
										
										Yoshihisa Hirano",35,"RP","Pre-Arb",3,"$3,000,000","-","$3,000,000","$3,000,000",2.41,"3,000,000"
"Jones
										
										Adam Jones",33,"CF","Vet",NA,"$3,000,000","-","$3,000,000","$3,000,000",2.41,"3,000,000"
"Kelly
										
										Merrill Kelly",30,"SP","Pre-Arb",3,"$2,000,000","-","$2,000,000","$2,000,000",1.61,"2,750,000"
"Marte
										
										Ketel Marte",25,"CF","Arb 1",1,"$2,000,000","-","$2,000,000","$2,000,000",1.61,"4,800,000"
"Chafin
										
										Andrew Chafin",29,"RP","Arb 2",1,"$1,945,000","-","$1,945,000","$1,945,000",1.56,"1,945,000"
"Bradley
										
										Archie Bradley",26,"RP","Arb 1",1,"$1,830,000","-","$1,830,000","$1,830,000",1.47,"1,830,000"
"McFarland
										
										T.J. McFarland",30,"RP","Arb 3",NA,"$1,400,000","-","$1,400,000","$1,400,000",1.12,"1,450,000"
"Andriese
										
										Matt Andriese",29,"RP","Arb 1",1,"$920,000","-","$920,000","$920,000",0.74,"920,000"
"Murphy
										
										John Ryan Murphy",28,"C","Arb 1",NA,"$900,000","-","$900,000","$900,000",0.72,"900,000"
"Swihart
										
										Blake Swihart",27,"C","Arb 1",NA,"$910,000","-","$910,000","$802,288",0.64,"802,288"
"Godley
										
										Zack Godley",29,"SP","Pre-Arb",NA,"$609,400","-","$609,400","$609,400",0.49,"609,400"
"Weaver
										
										Luke Weaver",25,"SP","Pre-Arb",2,"$581,300","-","$581,300","$581,300",0.47,"581,300"
"Kelly
										
										Carson Kelly",24,"C","Pre-Arb",1,"$560,000","-","$560,000","$560,000",0.45,"560,000"
"Walker
										
										Christian Walker",28,"1B","Pre-Arb",NA,"$559,800","-","$559,800","$559,800",0.45,"559,800"
"Lopez
										
										Yoan Lopez",26,"RP","Pre-Arb",3,"$556,900","-","$556,900","$556,900",0.45,"556,900"
"Vargas
										
										Ildemaro Vargas",27,"2B","Pre-Arb",1,"$555,000","-","$555,000","$531,152",0.43,"531,152"
"Locastro
										
										Tim Locastro",26,"SS","Pre-Arb",2,"$555,000","-","$555,000","$483,408",0.39,"483,408"
