"Active.Players..35.","Age","Pos.","Status","Base.Salary","Signing.Bonus","Incentives","Payroll.Salary","Adj...Salary","Payroll..","Lux..Tax.Salary"
"Freeman
										
										Freddie Freeman",26,"1B","Arb 3","$12,000,000","$359,375","-","$12,359,375","$12,359,375",12.86,"16,875,000"
"Markakis
										
										Nick Markakis",32,"RF","Vet","$10,500,000","$500,000","$25,000","$11,025,000","$11,025,000",11.47,"11,000,000"
"Kemp
										
										Matt Kemp",31,"RF","Vet","$21,500,000","-","-","$21,500,000","$6,393,442",6.65,"20,000,000"
"Teheran
										
										Julio Teheran",25,"SP","Vet","$3,300,000","$166,666","-","$3,466,666","$3,466,666",3.61,"5,400,000"
"Johnson
										
										Jim Johnson",33,"RP","Vet","$2,500,000","-","$575,000","$3,075,000","$3,075,000",3.2,"5,000,000"
"Flowers
										
										Tyler Flowers",30,"C","Arb 2","$2,000,000","-","$400,000","$2,400,000","$2,400,000",2.5,"2,650,000"
"Inciarte
										
										Ender Inciarte",25,"CF","Pre-Arb","$523,000","-","-","$523,000","$523,000",0.54,"523,000"
"Withrow
										
										Chris Withrow",27,"RP","Arb 1","$610,000","-","-","$610,000","$503,283",0.52,"610,000"
"Smith
										
										Mallex Smith",23,"LF","Pre-Arb","$507,500","-","-","$507,500","$488,087",0.51,"507,500"
"Garcia
										
										Adonis Garcia",31,"3B","Pre-Arb","$508,750","-","-","$508,750","$453,140",0.47,"508,750"
"Perez
										
										Williams Perez",25,"SP","Pre-Arb","$511,250","-","-","$511,250","$452,628",0.47,"511,250"
"Wisler
										
										Matt Wisler",23,"RP","Pre-Arb","$507,500","-","-","$507,500","$435,361",0.45,"507,500"
"d'Arnaud
										
										Chase d'Arnaud",29,"3B","Pre-Arb","$507,500","-","-","$507,500","$427,042",0.44,"507,500"
"Foltynewicz
										
										Mike Foltynewicz",24,"SP","Pre-Arb","$507,500","-","-","$507,500","$427,042",0.44,"507,500"
"Peterson
										
										Jace Peterson",26,"LF","Pre-Arb","$520,500","-","-","$520,500","$406,692",0.42,"520,500"
"Krol
										
										Ian Krol",25,"RP","Pre-Arb","$507,500","-","-","$507,500","$404,858",0.42,"507,500"
"Gant
										
										John Gant",23,"SP","Pre-Arb","$507,500","-","-","$507,500","$366,036",0.38,"507,500"
"Bonifacio
										
										Emilio Bonifacio",31,"CF","Vet","$507,500","-","-","$507,500","$307,803",0.32,"507,500"
"Snyder
										
										Brandon Snyder",29,"3B","Pre-Arb","$507,500","-","-","$507,500","$293,938",0.31,"507,500"
"de la Cruz
										
										Joel de la Cruz",27,"RP","Pre-Arb","$507,500","-","-","$507,500","$274,527",0.29,"507,500"
"Cabrera
										
										Mauricio Cabrera",22,"RP","Pre-Arb","$507,500","-","-","$507,500","$271,754",0.28,"507,500"
"Blair
										
										Aaron Blair",24,"SP","Pre-Arb","$507,500","-","-","$507,500","$249,570",0.26,"507,500"
"Castro
										
										Daniel Castro",23,"2B","Pre-Arb","$507,500","-","-","$507,500","$241,251",0.25,"507,500"
"Jenkins
										
										Tyrell Jenkins",23,"RP","Pre-Arb","$507,500","-","-","$507,500","$227,386",0.24,"507,500"
"Roe
										
										Chaz Roe",29,"RP","Pre-Arb","$720,000","-","-","$720,000","$224,238",0.23,"720,000"
"Recker
										
										Anthony Recker",32,"C","Arb 1","$507,500","-","-","$507,500","$221,840",0.23,"507,500"
"Ramirez
										
										Jose Ramirez",26,"RP","Pre-Arb","$507,500","-","-","$507,500","$207,975",0.22,"507,500"
"Weber
										
										Ryan Weber",25,"RP","Pre-Arb","$507,500","-","-","$507,500","$188,564",0.2,"507,500"
"Swanson
										
										Dansby Swanson",22,"SS","Pre-Arb","$507,500","-","-","$507,500","$130,331",0.14,"507,500"
"Cunniff
										
										Brandon Cunniff",27,"RP","Pre-Arb","$507,500","-","-","$507,500","$124,785",0.13,"507,500"
"Simmons
										
										Shae Simmons",25,"RP","Pre-Arb","$508,000","-","-","$508,000","$97,160",0.1,"508,000"
"Bradley
										
										Jed Bradley",26,"RP","Pre-Arb","$507,500","-","-","$507,500","$88,736",0.09,"507,500"
"Lalli
										
										Blake Lalli",33,"C","Pre-Arb","$507,500","-","-","$507,500","$63,779",0.07,"507,500"
"Collmenter
										
										Josh Collmenter",30,"RP","Arb 3","$507,500","-","-","$507,500","$52,687",0.05,"507,500"
"Ruiz
										
										Rio Ruiz",22,"3B","Pre-Arb","$507,500","-","-","$507,500","$44,368",0.05,"507,500"
