"Active.Players..25.","Age","Pos.","Status","Waiver.Options","Base.Salary","Signing.Bonus","Payroll.Salary","Adj...Salary","Payroll..","Lux..Tax.Salary"
"Donaldson
										
										Josh Donaldson",33,"3B","Vet",NA,"$23,000,000","-","$23,000,000","$23,000,000",19.65,"23,000,000"
"Freeman
										
										Freddie Freeman",29,"1B","Vet",NA,"$21,000,000","$359,375","$21,359,375","$21,359,375",18.25,"16,875,000"
"Teheran
										
										Julio Teheran",28,"SP","Vet",NA,"$11,000,000","$166,668","$11,166,668","$11,166,668",9.54,"5,400,000"
"Gausman
										
										Kevin Gausman",28,"SP","Arb 3",1,"$9,350,000","-","$9,350,000","$9,350,000",7.99,"9,350,000"
"Inciarte
										
										Ender Inciarte",28,"CF","Arb 3",2,"$5,000,000","$700,000","$5,700,000","$5,700,000",4.87,"6,105,000"
"Foltynewicz
										
										Mike Foltynewicz",27,"SP","Arb 2",1,"$5,475,000","-","$5,475,000","$5,475,000",4.68,"5,475,000"
"Flowers
										
										Tyler Flowers",33,"C","Vet",NA,"$4,000,000","-","$4,000,000","$4,000,000",3.42,"4,000,000"
"Markakis
										
										Nick Markakis",35,"RF","Vet",NA,"$4,000,000","-","$4,000,000","$4,000,000",3.42,"6,000,000"
"McCann
										
										Brian McCann",35,"C","Vet",NA,"$2,000,000","-","$2,000,000","$2,000,000",1.71,"2,000,000"
"Winkler
										
										Daniel Winkler",29,"RP","Arb 2",3,"$1,610,000","-","$1,610,000","$1,610,000",1.38,"1,610,000"
"Culberson
										
										Charlie Culberson",30,"2B","Arb 1",NA,"$1,395,000","-","$1,395,000","$1,395,000",1.19,"1,395,000"
"Blevins
										
										Jerry Blevins",35,"RP","Vet",NA,"$1,500,000","-","$1,500,000","$1,250,075",1.07,"1,250,075"
"Acuna
										
										Ronald Acuna",21,"LF","Pre-Arb",3,"$1,000,000","-","$1,000,000","$1,000,000",0.85,"12,500,000"
"Albies
										
										Ozzie Albies",22,"2B","Pre-Arb",3,"$1,000,000","-","$1,000,000","$1,000,000",0.85,"5,000,000"
"Joyce
										
										Matt Joyce",34,"LF","Vet",NA,"$1,000,000","-","$1,000,000","$1,000,000",0.85,"1,000,000"
"Tomlin
										
										Josh Tomlin",34,"RP","Vet",NA,"$1,000,000","-","$1,000,000","$1,000,000",0.85,"1,000,000"
"Jackson
										
										Luke Jackson",27,"RP","Pre-Arb",NA,"$585,000","-","$585,000","$585,000",0.5,"585,000"
"Swanson
										
										Dansby Swanson",25,"SS","Pre-Arb",3,"$585,000","-","$585,000","$585,000",0.5,"585,000"
"Camargo
										
										Johan Camargo",25,"3B","Pre-Arb",2,"$575,000","-","$575,000","$575,000",0.49,"575,000"
"Minter
										
										A.J. Minter",25,"RP/CL","Pre-Arb",3,"$575,000","-","$575,000","$575,000",0.49,"575,000"
"Fried
										
										Max Fried",25,"SP","Pre-Arb",1,"$565,000","-","$565,000","$565,000",0.48,"565,000"
"Newcomb
										
										Sean Newcomb",26,"SP","Pre-Arb",3,"$575,000","-","$575,000","$513,106",0.44,"513,106"
"Webb
										
										Jacob Webb",25,"RP","Pre-Arb",3,"$555,000","-","$555,000","$504,296",0.43,"504,296"
"Soroka
										
										Michael Soroka",21,"SP","Pre-Arb",3,"$555,000","-","$555,000","$492,360",0.42,"492,360"
"Dayton
										
										Grant Dayton",31,"RP","Pre-Arb",2,"$585,000","-","$585,000","$484,330",0.41,"484,330"
