"Active.Players..25.","Age","Pos.","Status","Waiver.Options","Base.Salary","Signing.Bonus","Payroll.Salary","Adj...Salary","Payroll..","Lux..Tax.Salary"
"Davis
										
										Chris Davis",33,"1B","Vet",NA,"$17,000,000","-","$21,118,782","$21,118,782",28.73,"23,000,000"
"Cashner
										
										Andrew Cashner",32,"SP","Vet",NA,"$8,000,000","$1,500,000","$9,500,000","$9,500,000",12.92,"8,000,000"
"Villar
										
										Jonathan Villar",28,"2B","Arb 2",NA,"$4,825,000","-","$4,825,000","$4,825,000",6.56,"4,825,000"
"Bundy
										
										Dylan Bundy",26,"SP","Arb 1",NA,"$2,800,000","-","$2,800,000","$2,800,000",3.81,"2,800,000"
"Givens
										
										Mychal Givens",29,"RP/CL","Arb 1",3,"$2,150,000","-","$2,150,000","$2,150,000",2.92,"2,150,000"
"Alberto
										
										Hanser Alberto",30,"SS","Pre-Arb",NA,"$578,000","-","$578,000","$578,000",0.79,"578,000"
"Mancini
										
										Trey Mancini",27,"LF","Pre-Arb",3,"$575,500","-","$575,500","$575,500",0.78,"575,500"
"Rickard
										
										Joey Rickard",28,"LF","Pre-Arb",2,"$570,000","-","$570,000","$570,000",0.78,"570,000"
"Castro
										
										Miguel Castro",24,"RP","Pre-Arb",1,"$569,000","-","$569,000","$569,000",0.77,"569,000"
"Hess
										
										David Hess",25,"SP","Pre-Arb",2,"$563,500","-","$563,500","$563,500",0.77,"563,500"
"Severino
										
										Pedro Severino",25,"C","Pre-Arb",1,"$563,500","-","$563,500","$563,500",0.77,"563,500"
"Nunez
										
										Renato Nunez",25,"3B","Pre-Arb",NA,"$562,000","-","$562,000","$562,000",0.76,"562,000"
"Smith Jr.
										
										Dwight Smith Jr.",26,"RF","Pre-Arb",2,"$560,100","-","$560,100","$560,100",0.76,"560,100"
"Fry
										
										Paul Fry",26,"RP","Pre-Arb",3,"$559,000","-","$559,000","$559,000",0.76,"559,000"
"Ruiz
										
										Rio Ruiz",25,"3B","Pre-Arb",2,"$558,500","-","$558,500","$558,500",0.76,"558,500"
"Means
										
										John Means",26,"RP","Pre-Arb",3,"$555,500","-","$555,500","$555,500",0.76,"555,500"
"Martin
										
										Richie Martin",24,"SS","Pre-Arb",3,"$555,000","-","$555,000","$555,000",0.76,"555,000"
"Straily
										
										Dan Straily",30,"SP","Arb 2",NA,"$575,000","-","$575,000","$550,198",0.75,"550,198"
"Wynns
										
										Austin Wynns",28,"C","Pre-Arb",2,"$558,000","-","$558,000","$525,000",0.71,"525,000"
"Phillips
										
										Evan Phillips",24,"RP","Pre-Arb",2,"$555,000","-","$555,000","$519,216",0.71,"519,216"
"Ynoa
										
										Gabriel Ynoa",26,"SP","Pre-Arb",NA,"$555,000","-","$555,000","$483,408",0.66,"483,408"
"Wilkerson
										
										Steve Wilkerson",27,"2B","Vet",3,"$555,000","-","$555,000","$480,424",0.65,"480,424"
"Armstrong
										
										Shawn Armstrong",28,"RP","Pre-Arb",NA,"$559,100","-","$559,100","$465,930",0.63,"465,930"
"Kline
										
										Branden Kline",27,"SP","Pre-Arb",3,"$555,000","-","$555,000","$465,504",0.63,"465,504"
"Ramirez
										
										Yefry Ramirez",25,"SP","Pre-Arb",1,"$555,000","-","$555,000","$459,536",0.63,"459,536"
