"Active.Players..36.","Age","Pos.","Status","Base.Salary","Signing.Bonus","Incentives","Payroll.Salary","Adj...Salary","Payroll..","Lux..Tax.Salary"
"Price
										
										David Price",32,"SP","Vet","$30,000,000","-","-","$30,000,000","$30,000,000",13.19,"31,000,000"
"Martinez
										
										J.D. Martinez",30,"DH","Vet","$23,750,000","-","-","$23,750,000","$23,750,000",10.44,"22,000,000"
"Porcello
										
										Rick Porcello",29,"SP","Vet","$21,000,000","$125,000","-","$21,125,000","$21,125,000",9.29,"20,625,000"
"Kimbrel
										
										Craig Kimbrel",30,"RP/CL","Vet","$13,000,000","-","$50,000","$13,050,000","$13,050,000",5.74,"10,500,000"
"Sale
										
										Chris Sale",29,"SP","Vet","$12,500,000","-","$15,000","$12,515,000","$12,515,000",5.5,"6,500,000"
"Betts
										
										Mookie Betts",25,"RF","Arb 1","$10,500,000","-","-","$10,500,000","$10,500,000",4.62,"10,500,000"
"Pomeranz
										
										Drew Pomeranz",29,"SP","Arb 3","$8,500,000","-","-","$8,500,000","$8,500,000",3.74,"8,500,000"
"Bogaerts
										
										Xander Bogaerts",25,"SS","Arb 2","$7,050,000","-","-","$7,050,000","$7,050,000",3.1,"7,050,000"
"Moreland
										
										Mitch Moreland",32,"1B","Vet","$6,500,000","-","-","$6,500,000","$6,500,000",2.86,"6,500,000"
"Bradley Jr.
										
										Jackie Bradley Jr.",28,"CF","Arb 2","$6,100,000","-","-","$6,100,000","$6,100,000",2.68,"6,100,000"
"Nunez
										
										Eduardo Nunez",31,"2B","Vet","$4,000,000","-","-","$4,000,000","$4,000,000",1.76,"4,000,000"
"Kelly
										
										Joe Kelly",30,"RP","Arb 3","$3,825,000","-","-","$3,825,000","$3,825,000",1.68,"3,825,000"
"Rodriguez
										
										Eduardo Rodriguez",25,"SP","Arb 1","$2,375,000","-","-","$2,375,000","$2,375,000",1.04,"2,375,000"
"Holt
										
										Brock Holt",30,"2B","Arb 2","$2,225,000","-","-","$2,225,000","$2,225,000",0.98,"2,225,000"
"Thornburg
										
										Tyler Thornburg",29,"RP","Arb 2","$2,050,000","-","-","$2,050,000","$2,050,000",0.9,"2,050,000"
"Leon
										
										Sandy Leon",29,"C","Arb 2","$1,950,000","-","-","$1,950,000","$1,950,000",0.86,"1,950,000"
"Kinsler
										
										Ian Kinsler",36,"2B","Vet","$11,000,000","-","-","$11,000,000","$1,833,340",0.81,"15,000,000"
"Pearce
										
										Steven Pearce",35,"LF","Vet","$6,250,000","-","-","$6,250,000","$1,500,000",0.66,"6,250,000"
"Vazquez
										
										Christian Vazquez",27,"C","Arb 1","$1,425,000","-","-","$1,425,000","$1,425,000",0.63,"4,450,000"
"Wright
										
										Steven Wright",33,"SP","Arb 1","$1,100,000","-","-","$1,100,000","$1,100,000",0.48,"1,100,000"
"Workman
										
										Brandon Workman",29,"RP","Arb 1","$835,000","-","-","$835,000","$781,086",0.34,"835,000"
"Eovaldi
										
										Nathan Eovaldi",28,"SP","Vet","$2,000,000","-","-","$2,000,000","$731,204",0.32,"2,000,000"
"Benintendi
										
										Andrew Benintendi",23,"OF","Pre-Arb","$620,500","-","-","$620,500","$620,500",0.27,"620,500"
"Barnes
										
										Matt Barnes",28,"RP/CL","Pre-Arb","$605,000","-","-","$605,000","$605,000",0.27,"605,000"
"Hembree
										
										Heath Hembree",29,"RP","Pre-Arb","$581,500","-","-","$581,500","$581,500",0.26,"581,500"
"Devers
										
										Rafael Devers",21,"3B","Pre-Arb","$564,500","-","-","$564,500","$564,500",0.25,"564,500"
"Swihart
										
										Blake Swihart",26,"LF","Pre-Arb","$563,500","-","-","$563,500","$563,500",0.25,"563,500"
"Johnson
										
										Brian Johnson",27,"SP","Pre-Arb","$548,000","-","-","$548,000","$548,000",0.24,"548,000"
"Velazquez
										
										Hector Velazquez",29,"RP","Pre-Arb","$547,000","-","-","$547,000","$547,000",0.24,"547,000"
"Brasier
										
										Ryan Brasier",30,"RP/CL","Pre-Arb","$545,000","-","-","$545,000","$249,050",0.11,"545,000"
"Lin
										
										Tzu-Wei Lin",24,"SS","Pre-Arb","$545,000","-","-","$545,000","$234,400",0.1,"545,000"
"Poyner
										
										Bobby Poyner",25,"RP","Pre-Arb","$545,000","-","-","$545,000","$158,220",0.07,"545,000"
"Travis
										
										Sam Travis",24,"1B","Pre-Arb","$545,000","-","-","$545,000","$128,920",0.06,"545,000"
"Cuevas
										
										William Cuevas",27,"RP","Pre-Arb","$545,000","-","-","$545,000","$102,550",0.05,"545,000"
"Scott
										
										Robby Scott",28,"RP","Pre-Arb","$545,000","-","-","$545,000","$87,900",0.04,"545,000"
"Phillips
										
										Brandon Phillips",37,"2B","Vet","$545,000","-","-","$545,000","$79,110",0.03,"545,000"
