"Active.Players..25.","Age","Pos.","Status","Waiver.Options","Base.Salary","Signing.Bonus","Payroll.Salary","Adj...Salary","Payroll..","Lux..Tax.Salary"
"Martinez
										
										J.D. Martinez",31,"DH","Vet",NA,"$23,750,000","-","$23,750,000","$23,750,000",10.53,"22,000,000"
"Porcello
										
										Rick Porcello",30,"SP","Vet",NA,"$21,000,000","$125,000","$21,125,000","$21,125,000",9.37,"20,625,000"
"Betts
										
										Mookie Betts",26,"RF","Arb 2",2,"$20,000,000","-","$20,000,000","$20,000,000",8.87,"20,000,000"
"Sale
										
										Chris Sale",30,"SP","Vet",NA,"$15,000,000","-","$15,000,000","$15,000,000",6.65,"15,000,000"
"Bogaerts
										
										Xander Bogaerts",26,"SS","Arb 3",3,"$12,000,000","-","$12,000,000","$12,000,000",5.32,"20,000,000"
"Bradley Jr.
										
										Jackie Bradley Jr.",29,"CF","Arb 3",1,"$8,550,000","-","$8,550,000","$8,550,000",3.79,"8,550,000"
"Moreland
										
										Mitch Moreland",33,"1B","Vet",NA,"$6,500,000","-","$6,500,000","$6,500,000",2.88,"6,500,000"
"Pearce
										
										Steven Pearce",36,"1B","Vet",NA,"$6,250,000","-","$6,250,000","$6,250,000",2.77,"6,250,000"
"Nunez
										
										Eduardo Nunez",32,"3B","Vet",NA,"$5,000,000","-","$5,000,000","$5,000,000",2.22,"5,000,000"
"Rodriguez
										
										Eduardo Rodriguez",26,"SP","Arb 2",2,"$4,300,000","-","$4,300,000","$4,300,000",1.91,"4,300,000"
"Vazquez
										
										Christian Vazquez",28,"C","Arb 2",NA,"$2,850,000","-","$2,850,000","$2,850,000",1.26,"4,516,667"
"Leon
										
										Sandy Leon",30,"C","Arb 3",NA,"$2,475,000","-","$2,475,000","$2,222,102",0.99,"2,222,102"
"Thornburg
										
										Tyler Thornburg",30,"RP","Arb 3",NA,"$1,750,000","-","$1,750,000","$1,750,000",0.78,"1,750,000"
"Barnes
										
										Matt Barnes",29,"RP/CL","Arb 1",2,"$1,600,000","-","$1,600,000","$1,600,000",0.71,"1,600,000"
"Hembree
										
										Heath Hembree",30,"RP","Arb 1",NA,"$1,312,500","-","$1,312,500","$1,312,500",0.58,"1,312,500"
"Workman
										
										Brandon Workman",30,"RP","Arb 2",NA,"$1,150,000","-","$1,150,000","$1,150,000",0.51,"1,150,000"
"Benintendi
										
										Andrew Benintendi",24,"LF","Pre-Arb",3,"$717,500","-","$717,500","$717,500",0.32,"717,500"
"Devers
										
										Rafael Devers",22,"3B","Pre-Arb",3,"$614,500","-","$614,500","$614,500",0.27,"614,500"
"Brasier
										
										Ryan Brasier",31,"RP/CL","Pre-Arb",2,"$577,500","-","$577,500","$577,500",0.26,"577,500"
"Velazquez
										
										Hector Velazquez",30,"RP","Pre-Arb",2,"$568,500","-","$568,500","$568,500",0.25,"568,500"
"Brewer
										
										Colten Brewer",26,"RP","Pre-Arb",2,"$557,000","-","$557,000","$557,000",0.25,"557,000"
"Walden
										
										Marcus Walden",30,"RP","Pre-Arb",2,"$555,000","-","$555,000","$519,216",0.23,"519,216"
"Chavis
										
										Michael Chavis",23,"3B","Pre-Arb",3,"$555,000","-","$555,000","$489,376",0.22,"489,376"
"Smith
										
										Josh Smith",31,"SP","Pre-Arb",NA,"$555,000","-","$555,000","$468,488",0.21,"468,488"
"Weber
										
										Ryan Weber",28,"RP","Pre-Arb",2,"$555,000","-","$555,000","$438,648",0.19,"438,648"
