"Active.Players..37.","Age","Pos.","Status","Base.Salary","Signing.Bonus","Incentives","Payroll.Salary","Adj...Salary","Payroll..","Lux..Tax.Salary"
"Heyward
										
										Jason Heyward",28,"RF","Vet","$21,500,000","$6,666,667","-","$28,166,667","$28,166,667",14.5,"23,000,000"
"Lester
										
										Jon Lester",34,"SP","Vet","$22,500,000","$5,000,000","-","$27,500,000","$27,500,000",14.16,"25,833,333"
"Zobrist
										
										Ben Zobrist",37,"2B","Vet","$16,000,000","$500,000","-","$16,500,000","$16,500,000",8.49,"14,000,000"
"Chatwood
										
										Tyler Chatwood",28,"SP","Vet","$12,500,000","-","-","$12,500,000","$12,500,000",6.43,"12,666,667"
"Bryant
										
										Kris Bryant",26,"3B","Arb 1","$10,850,000","-","-","$10,850,000","$10,850,000",5.59,"10,850,000"
"Quintana
										
										Jose Quintana",29,"SP","Vet","$8,850,000","-","-","$8,850,000","$8,850,000",4.56,"5,300,000"
"Cishek
										
										Steve Cishek",32,"RP","Vet","$6,500,000","-","$1,000,000","$7,500,000","$7,500,000",3.86,"6,500,000"
"Rizzo
										
										Anthony Rizzo",28,"1B","Vet","$7,000,000","$285,714","-","$7,285,714","$7,285,714",3.75,"5,857,143"
"Strop
										
										Pedro Strop",33,"RP/CL","Vet","$5,850,000","-","-","$5,850,000","$5,850,000",3.01,"5,925,000"
"Wilson
										
										Justin Wilson",30,"RP","Arb 3","$4,250,000","-","-","$4,250,000","$4,250,000",2.19,"4,250,000"
"Hendricks
										
										Kyle Hendricks",28,"SP","Arb 1","$4,175,000","-","-","$4,175,000","$4,175,000",2.15,"4,175,000"
"Murphy
										
										Daniel Murphy",33,"2B","Vet","$17,500,000","-","-","$17,500,000","$3,857,526",1.99,"12,500,000"
"Duensing
										
										Brian Duensing",35,"RP","Vet","$3,500,000","-","-","$3,500,000","$3,500,000",1.8,"3,500,000"
"Hamels
										
										Cole Hamels",34,"SP","Vet","$22,500,000","-","-","$22,500,000","$2,096,774",1.08,"24,000,000"
"Kintzler
										
										Brandon Kintzler",33,"RP","Vet","$5,000,000","-","-","$5,000,000","$1,666,684",0.86,"5,000,000"
"La Stella
										
										Tommy La Stella",29,"3B","Arb 1","$950,000","-","-","$950,000","$950,000",0.49,"950,000"
"Baez
										
										Javier Baez",25,"2B","Pre-Arb","$657,000","-","-","$657,000","$657,000",0.34,"657,000"
"Montgomery
										
										Mike Montgomery",28,"SP","Pre-Arb","$611,250","-","-","$611,250","$611,250",0.31,"611,250"
"Contreras
										
										Willson Contreras",26,"C","Pre-Arb","$604,500","-","-","$604,500","$604,500",0.31,"604,500"
"Schwarber
										
										Kyle Schwarber",25,"LF","Pre-Arb","$604,500","-","-","$604,500","$604,500",0.31,"604,500"
"Edwards
										
										C.J. Edwards",26,"RP","Pre-Arb","$594,000","-","-","$594,000","$594,000",0.31,"594,000"
"Almora
										
										Albert Almora",24,"CF","Pre-Arb","$584,500","-","-","$584,500","$584,500",0.3,"584,500"
"Happ
										
										Ian Happ",23,"CF","Pre-Arb","$570,000","-","-","$570,000","$570,000",0.29,"570,000"
"Caratini
										
										Victor Caratini",24,"C","Pre-Arb","$547,500","-","-","$547,500","$432,768",0.22,"547,500"
"Chavez
										
										Jesse Chavez",34,"RP","Vet","$1,000,000","-","$500,000","$1,500,000","$397,824",0.2,"1,500,000"
"Rosario
										
										Randy Rosario",24,"RP","Pre-Arb","$545,000","-","-","$545,000","$354,530",0.18,"545,000"
"Bote
										
										David Bote",25,"2B","Pre-Arb","$545,000","-","-","$545,000","$293,000",0.15,"545,000"
"De La Rosa
										
										Jorge De La Rosa",37,"RP","Vet","$545,000","-","-","$545,000","$149,430",0.08,"545,000"
"Norwood
										
										James Norwood",24,"RP","Pre-Arb","$545,000","-","-","$545,000","$131,850",0.07,"545,000"
"Maples
										
										Dillon Maples",26,"RP","Pre-Arb","$545,000","-","-","$545,000","$117,200",0.06,"545,000"
"Wilson
										
										Bobby Wilson",35,"C","Vet","$545,000","-","-","$545,000","$93,760",0.05,"545,000"
"Davis
										
										Taylor Davis",28,"C","Pre-Arb","$545,000","-","-","$545,000","$87,900",0.05,"545,000"
"Gore
										
										Terrance Gore",27,"LF","Pre-Arb","$545,000","-","-","$545,000","$87,900",0.05,"545,000"
"Mills
										
										Alec Mills",26,"RP","Pre-Arb","$545,000","-","-","$545,000","$82,040",0.04,"545,000"
"Garcia
										
										Jaime Garcia",31,"RP","Vet","$545,000","-","-","$545,000","$79,110",0.04,"545,000"
"Webster
										
										Allen Webster",28,"SP","Pre-Arb","$545,000","-","-","$545,000","$35,160",0.02,"545,000"
"Freeman
										
										Mike Freeman",30,"2B","Pre-Arb","$545,000","-","-","$545,000","$26,370",0.01,"545,000"
