"Active.Players..25.","Age","Pos.","Status","Waiver.Options","Base.Salary","Signing.Bonus","Payroll.Salary","Adj...Salary","Payroll..","Lux..Tax.Salary"
"Lester
										
										Jon Lester",35,"SP","Vet",NA,"$22,500,000","$5,000,000","$27,500,000","$27,500,000",13.07,"25,833,333"
"Heyward
										
										Jason Heyward",29,"RF","Vet",NA,"$20,000,000","$2,500,000","$22,500,000","$22,500,000",10.69,"23,000,000"
"Darvish
										
										Yu Darvish",32,"SP","Vet",NA,"$20,000,000","-","$20,000,000","$20,000,000",9.51,"21,000,000"
"Hamels
										
										Cole Hamels",35,"SP","Vet",NA,"$20,000,000","-","$20,000,000","$20,000,000",9.51,"20,000,000"
"Bryant
										
										Kris Bryant",27,"3B","Arb 2",3,"$12,900,000","-","$12,900,000","$12,900,000",6.13,"12,900,000"
"Chatwood
										
										Tyler Chatwood",29,"RP","Vet",NA,"$12,500,000","-","$12,500,000","$12,500,000",5.94,"12,666,667"
"Zobrist
										
										Ben Zobrist",38,"2B","Vet",NA,"$12,000,000","$500,000","$12,500,000","$12,500,000",5.94,"14,000,000"
"Rizzo
										
										Anthony Rizzo",29,"1B","Vet",NA,"$11,000,000","$285,714","$11,285,714","$11,285,714",5.36,"5,857,143"
"Quintana
										
										Jose Quintana",30,"SP","Vet",NA,"$10,500,000","-","$10,500,000","$10,500,000",4.99,"10,500,000"
"Hendricks
										
										Kyle Hendricks",29,"SP","Arb 2",3,"$7,405,000","-","$7,405,000","$7,405,000",3.52,"7,405,000"
"Cishek
										
										Steve Cishek",33,"RP","Vet",NA,"$6,500,000","-","$6,500,000","$6,500,000",3.09,"6,500,000"
"Strop
										
										Pedro Strop",34,"RP/CL","Vet",NA,"$6,250,000","-","$6,250,000","$6,250,000",2.97,"6,250,000"
"Baez
										
										Javier Baez",26,"SS","Arb 1",2,"$5,200,000","-","$5,200,000","$5,200,000",2.47,"5,200,000"
"Kintzler
										
										Brandon Kintzler",34,"RP","Vet",NA,"$5,000,000","-","$5,000,000","$5,000,000",2.38,"5,000,000"
"Schwarber
										
										Kyle Schwarber",26,"LF","Arb 1",2,"$3,390,000","-","$3,390,000","$3,390,000",1.61,"3,390,000"
"Brach
										
										Brad Brach",33,"RP","Vet",NA,"$1,650,000","-","$1,650,000","$1,650,000",0.78,"3,000,000"
"Descalso
										
										Daniel Descalso",32,"2B","Vet",NA,"$1,500,000","-","$1,500,000","$1,500,000",0.71,"2,500,000"
"Contreras
										
										Willson Contreras",27,"C","Pre-Arb",2,"$684,000","-","$684,000","$684,000",0.33,"684,000"
"Webster
										
										Allen Webster",29,"SP","Pre-Arb",NA,"$650,000","-","$650,000","$618,615",0.29,"618,615"
"Almora
										
										Albert Almora",25,"CF","Pre-Arb",2,"$615,500","-","$615,500","$615,500",0.29,"615,500"
"Bote
										
										David Bote",26,"3B","Pre-Arb",2,"$561,500","$10,000","$571,500","$571,500",0.27,"561,500"
"Zagunis
										
										Mark Zagunis",26,"LF","Pre-Arb",1,"$556,500","-","$556,500","$556,500",0.26,"556,500"
"Ryan
										
										Kyle Ryan",27,"RP","Pre-Arb",1,"$555,000","-","$555,000","$528,168",0.25,"528,168"
"Davis
										
										Taylor Davis",29,"C","Pre-Arb",3,"$555,000","-","$555,000","$510,264",0.24,"510,264"
"Maples
										
										Dillon Maples",27,"RP","Pre-Arb",2,"$555,000","-","$555,000","$468,488",0.22,"468,488"
