"Active.Players..32.","Age","Pos.","Status","Base.Salary","Signing.Bonus","Incentives","Payroll.Salary","Adj...Salary","Payroll..","Lux..Tax.Salary"
"Danks
										
										John Danks",30,"SP","Vet","$14,250,000","$1,500,000","-","$15,750,000","$15,750,000",13.25,"13,000,000"
"LaRoche
										
										Adam LaRoche",35,"DH","Vet","$12,000,000","-","-","$12,000,000","$12,000,000",10.09,"12,500,000"
"Ramirez
										
										Alexei Ramirez",33,"SS","Vet","$10,000,000","-","-","$10,000,000","$10,000,000",8.41,"8,125,000"
"Robertson
										
										David Robertson",30,"RP","Vet","$10,000,000","-","-","$10,000,000","$10,000,000",8.41,"11,500,000"
"Samardzija
										
										Jeff Samardzija",30,"SP","Arb 3","$9,800,000","-","-","$9,800,000","$9,800,000",8.24,"9,800,000"
"Abreu
										
										Jose Abreu",28,"1B","Pre-Arb","$7,000,000","$1,666,666","-","$8,666,666","$8,666,666",7.29,"11,333,333"
"Sale
										
										Chris Sale",26,"SP","Arb 2","$6,000,000","-","$15,000","$6,015,000","$6,015,000",5.06,"6,500,000"
"Duke
										
										Zach Duke",32,"RP","Vet","$4,500,000","-","-","$4,500,000","$4,500,000",3.79,"5,000,000"
"Quintana
										
										Jose Quintana",26,"SP","Vet","$3,400,000","-","-","$3,400,000","$3,400,000",2.86,"5,300,000"
"Flowers
										
										Tyler Flowers",29,"C","Arb 1","$2,675,000","-","-","$2,675,000","$2,675,000",2.25,"2,675,000"
"Beckham
										
										Gordon Beckham",28,"2B","Arb 3","$2,000,000","-","-","$2,000,000","$2,000,000",1.68,"2,000,000"
"Albers
										
										Matt Albers",32,"RP","Vet","$1,500,000","-","-","$1,500,000","$1,500,000",1.26,"1,500,000"
"Soto
										
										Geovany Soto",32,"C","Vet","$1,500,000","-","-","$1,500,000","$1,500,000",1.26,"1,500,000"
"Eaton
										
										Adam Eaton",26,"RF","Pre-Arb","$850,000","-","-","$850,000","$850,000",0.72,"4,700,000"
"Jones
										
										Nate Jones",29,"RP","Arb 1","$660,000","-","-","$660,000","$660,000",0.56,"660,000"
"Putnam
										
										Zach Putnam",27,"RP","Pre-Arb","$525,000","-","-","$525,000","$525,000",0.44,"525,000"
"Garcia
										
										Avisail Garcia",24,"RF","Pre-Arb","$523,000","-","-","$523,000","$523,000",0.44,"523,000"
"Jennings
										
										Dan Jennings",28,"RP","Pre-Arb","$523,000","-","-","$523,000","$523,000",0.44,"523,000"
"Petricka
										
										Jake Petricka",27,"RP","Pre-Arb","$520,000","-","-","$520,000","$520,000",0.44,"520,000"
"Shuck
										
										J.B. Shuck",28,"LF","Pre-Arb","$516,000","-","-","$516,000","$516,000",0.43,"516,000"
"Rodon
										
										Carlos Rodon",22,"SP","Pre-Arb","$507,500","-","-","$507,500","$463,128",0.39,"507,500"
"Sanchez
										
										Yolmer Sanchez",23,"2B","Pre-Arb","$510,000","-","-","$510,000","$418,032",0.35,"510,000"
"Webb
										
										Daniel Webb",25,"RP","Pre-Arb","$507,500","-","-","$507,500","$357,745",0.3,"507,500"
"Saladino
										
										Tyler Saladino",25,"2B","Pre-Arb","$507,500","-","-","$507,500","$241,270",0.2,"507,500"
"Carroll
										
										Scott Carroll",30,"RP","Pre-Arb","$507,500","-","-","$507,500","$196,898",0.17,"507,500"
"Johnson
										
										Micah Johnson",24,"CF","Pre-Arb","$507,500","-","-","$507,500","$183,032",0.15,"507,500"
"Thompson
										
										Trayce Thompson",24,"CF","Pre-Arb","$507,500","-","-","$507,500","$171,939",0.14,"507,500"
"Garcia
										
										Leury Garcia",24,"OF","Pre-Arb","$507,500","-","-","$507,500","$138,661",0.12,"507,500"
"Montas
										
										Frankie Montas",22,"RP","Pre-Arb","$507,500","-","-","$507,500","$94,289",0.08,"507,500"
"Johnson
										
										Erik Johnson",25,"SP","Pre-Arb","$510,000","-","-","$510,000","$91,967",0.08,"510,000"
"Olt
										
										Mike Olt",26,"3B","Pre-Arb","$520,000","-","-","$520,000","$79,562",0.07,"520,000"
"Beck
										
										Chris Beck",24,"RP","Pre-Arb","$507,500","-","-","$507,500","$5,546",0,"507,500"
