"Active.Players..25.","Age","Pos.","Status","Waiver.Options","Base.Salary","Signing.Bonus","Payroll.Salary","Adj...Salary","Payroll..","Lux..Tax.Salary"
"Abreu
										
										Jose Abreu",32,"DH","Arb 3",NA,"$16,000,000","-","$16,000,000","$16,000,000",17.43,"16,000,000"
"Nova
										
										Ivan Nova",32,"SP","Vet",NA,"$8,500,000","$666,668","$9,166,668","$9,166,668",9.99,"8,666,667"
"Herrera
										
										Kelvin Herrera",29,"RP","Vet",NA,"$8,500,000","-","$8,500,000","$8,500,000",9.26,"9,000,000"
"Alonso
										
										Yonder Alonso",32,"1B","Vet",NA,"$8,000,000","-","$8,000,000","$8,000,000",8.71,"8,000,000"
"Colome
										
										Alex Colome",30,"RP/CL","Arb 2",NA,"$7,325,000","-","$7,325,000","$7,325,000",7.98,"7,325,000"
"Castillo
										
										Welington Castillo",32,"C","Vet",NA,"$7,250,000","-","$7,250,000","$7,250,000",7.9,"7,500,000"
"Sanchez
										
										Yolmer Sanchez",27,"3B","Arb 2",NA,"$4,625,000","-","$4,625,000","$4,625,000",5.04,"4,625,000"
"McCann
										
										James McCann",29,"C","Arb 2",3,"$2,500,000","-","$2,500,000","$2,500,000",2.72,"2,500,000"
"Garcia
										
										Leury Garcia",28,"CF","Arb 2",NA,"$1,550,000","-","$1,550,000","$1,550,000",1.69,"1,550,000"
"Anderson
										
										Tim Anderson",26,"SS","Pre-Arb",3,"$1,400,000","-","$1,400,000","$1,400,000",1.53,"4,166,667"
"Lopez
										
										Reynaldo Lopez",25,"SP","Pre-Arb",1,"$580,000","-","$580,000","$580,000",0.63,"580,000"
"Moncada
										
										Yoan Moncada",24,"2B","Pre-Arb",2,"$575,000","-","$575,000","$575,000",0.63,"575,000"
"Giolito
										
										Lucas Giolito",24,"SP","Pre-Arb",1,"$573,000","-","$573,000","$573,000",0.62,"573,000"
"Fry
										
										Jace Fry",25,"RP","Pre-Arb",2,"$569,000","-","$569,000","$569,000",0.62,"569,000"
"Rondon
										
										Jose Rondon",25,"2B","Pre-Arb",NA,"$560,000","-","$560,000","$560,000",0.61,"560,000"
"Banuelos
										
										Manny Banuelos",28,"RP","Pre-Arb",NA,"$559,000","-","$559,000","$559,000",0.61,"559,000"
"Burr
										
										Ryan Burr",25,"RP","Pre-Arb",3,"$556,000","-","$556,000","$556,000",0.61,"556,000"
"Cordell
										
										Ryan Cordell",27,"LF","Pre-Arb",1,"$555,000","-","$555,000","$525,184",0.57,"525,184"
"Osich
										
										Josh Osich",30,"RP","Pre-Arb",1,"$555,000","-","$555,000","$510,264",0.56,"510,264"
"Covey
										
										Dylan Covey",27,"RP","Pre-Arb",2,"$571,000","-","$571,000","$494,270",0.54,"494,270"
"Delmonico
										
										Nicky Delmonico",26,"RF","Pre-Arb",3,"$555,000","-","$555,000","$480,424",0.52,"480,424"
"Bummer
										
										Aaron Bummer",25,"RP","Pre-Arb",2,"$555,000","-","$555,000","$462,520",0.5,"462,520"
"Marshall
										
										Evan Marshall",29,"RP","Arb 1",1,"$555,000","-","$555,000","$453,568",0.49,"453,568"
"Minaya
										
										Juan Minaya",28,"RP","Pre-Arb",NA,"$555,000","-","$555,000","$441,632",0.48,"441,632"
"Tilson
										
										Charlie Tilson",26,"CF","Pre-Arb",1,"$555,000","-","$555,000","$438,648",0.48,"438,648"
