"Active.Players..35.","Age","Pos.","Status","Base.Salary","Signing.Bonus","Incentives","Payroll.Salary","Adj...Salary","Payroll..","Lux..Tax.Salary"
"Votto
										
										Joey Votto",33,"1B","Vet","$22,000,000","-","-","$22,000,000","$22,000,000",22.81,"22,500,000"
"Bailey
										
										Homer Bailey",31,"SP","Vet","$19,000,000","-","-","$19,000,000","$19,000,000",19.7,"17,500,000"
"Cozart
										
										Zack Cozart",31,"SS","Arb 3","$5,325,000","-","-","$5,325,000","$5,325,000",5.52,"5,325,000"
"Iglesias
										
										Raisel Iglesias",27,"RP/CL","Pre-Arb","$3,500,000","$714,285","-","$4,214,285","$4,214,285",4.37,"3,857,143"
"Hamilton
										
										Billy Hamilton",26,"CF","Arb 1","$2,625,000","-","-","$2,625,000","$2,625,000",2.72,"2,625,000"
"Gennett
										
										Scooter Gennett",27,"2B","Arb 1","$2,525,000","-","-","$2,525,000","$2,525,000",2.62,"2,525,000"
"Suarez
										
										Eugenio Suarez",25,"3B","Pre-Arb","$595,000","-","-","$595,000","$595,000",0.62,"595,000"
"Duvall
										
										Adam Duvall",28,"LF","Pre-Arb","$577,500","-","-","$577,500","$577,500",0.6,"577,500"
"Barnhart
										
										Tucker Barnhart",26,"C","Pre-Arb","$575,000","-","-","$575,000","$575,000",0.6,"4,000,000"
"Lorenzen
										
										Michael Lorenzen",25,"RP","Pre-Arb","$555,000","-","-","$555,000","$555,000",0.58,"555,000"
"Peraza
										
										Jose Peraza",22,"SS","Pre-Arb","$540,000","-","-","$540,000","$540,000",0.56,"540,000"
"Schebler
										
										Scott Schebler",26,"LF","Pre-Arb","$540,000","-","-","$540,000","$540,000",0.56,"540,000"
"Kivlehan
										
										Patrick Kivlehan",27,"RF","Pre-Arb","$535,000","-","-","$535,000","$535,000",0.55,"535,000"
"Peralta
										
										Wandy Peralta",25,"RP","Pre-Arb","$535,000","-","-","$535,000","$535,000",0.55,"535,000"
"Turner
										
										Stuart Turner",25,"C","Pre-Arb","$535,000","-","-","$535,000","$535,000",0.55,"535,000"
"Adleman
										
										Tim Adleman",29,"SP","Pre-Arb","$535,000","-","-","$535,000","$493,987",0.51,"535,000"
"Stephenson
										
										Robert Stephenson",24,"SP","Pre-Arb","$535,000","-","-","$535,000","$377,067",0.39,"535,000"
"Wojciechowski
										
										Asher Wojciechowski",28,"RP","Pre-Arb","$535,000","-","-","$535,000","$350,760",0.36,"535,000"
"Castillo
										
										Luis Castillo",24,"SP","Pre-Arb","$535,000","-","-","$535,000","$295,223",0.31,"535,000"
"Garrett
										
										Amir Garrett",25,"SP","Pre-Arb","$535,000","-","-","$535,000","$280,608",0.29,"535,000"
"Winker
										
										Jesse Winker",23,"OF","Pre-Arb","$535,000","-","-","$535,000","$233,840",0.24,"535,000"
"Romano
										
										Sal Romano",23,"SP","Pre-Arb","$535,000","-","-","$535,000","$230,917",0.24,"535,000"
"Shackelford
										
										Kevin Shackelford",28,"RP","Pre-Arb","$535,000","-","-","$535,000","$198,764",0.21,"535,000"
"Davis
										
										Rookie Davis",24,"SP","Pre-Arb","$535,000","-","-","$535,000","$187,072",0.19,"535,000"
"Hernandez
										
										Ariel Hernandez",25,"RP","Pre-Arb","$535,000","-","-","$535,000","$184,149",0.19,"535,000"
"Reed
										
										Cody Reed",21,"RP","Pre-Arb","$537,000","-","-","$537,000","$173,106",0.18,"537,000"
"Ervin
										
										Phillip Ervin",24,"CF","Pre-Arb","$535,000","-","-","$535,000","$166,611",0.17,"535,000"
"Chacin
										
										Alejandro Chacin",24,"RP","Pre-Arb","$535,000","-","-","$535,000","$116,920",0.12,"535,000"
"Mahle
										
										Tyler Mahle",22,"SP","Pre-Arb","$535,000","-","-","$535,000","$105,228",0.11,"535,000"
"Wallach
										
										Chad Wallach",25,"C","Pre-Arb","$535,000","-","-","$535,000","$102,305",0.11,"535,000"
"Stephens
										
										Jackson Stephens",23,"RP","Pre-Arb","$535,000","-","-","$535,000","$99,382",0.1,"535,000"
"Vincej
										
										Zach Vincej",26,"SS","Pre-Arb","$535,000","-","-","$535,000","$90,613",0.09,"535,000"
"Farrell
										
										Luke Farrell",26,"P","Pre-Arb","$535,000","-","-","$535,000","$87,690",0.09,"535,000"
"McGuire
										
										Deck McGuire",28,"SP","Pre-Arb","$535,000","-","-","$535,000","$58,460",0.06,"535,000"
"Mella
										
										Keury Mella",23,"P","Pre-Arb","$535,000","-","-","$535,000","$58,460",0.06,"535,000"
