"Active.Players..25.","Age","Pos.","Status","Waiver.Options","Base.Salary","Signing.Bonus","Payroll.Salary","Adj...Salary","Payroll..","Lux..Tax.Salary"
"Votto
										
										Joey Votto",35,"1B","Vet",NA,"$25,000,000","-","$25,000,000","$25,000,000",19.71,"22,500,000"
"Roark
										
										Tanner Roark",32,"SP","Arb 3",3,"$10,000,000","-","$10,000,000","$10,000,000",7.88,"10,000,000"
"Puig
										
										Yasiel Puig",28,"RF","Arb 3",1,"$9,700,000","-","$9,700,000","$9,700,000",7.65,"9,700,000"
"Gray
										
										Sonny Gray",29,"SP","Arb 3",2,"$7,500,000","-","$7,500,000","$7,500,000",5.91,"7,500,000"
"Suarez
										
										Eugenio Suarez",27,"3B","Arb 2",1,"$7,000,000","$285,714","$7,285,714","$7,285,714",5.74,"9,428,571"
"Iglesias
										
										Raisel Iglesias",29,"RP/CL","Pre-Arb",1,"$6,000,000","-","$6,000,000","$6,000,000",4.73,"8,041,667"
"Barnhart
										
										Tucker Barnhart",28,"C","Pre-Arb",2,"$2,500,000","$437,500","$2,937,500","$2,937,500",2.32,"4,000,000"
"Peraza
										
										Jose Peraza",24,"SS","Pre-Arb",1,"$2,775,000","-","$2,775,000","$2,775,000",2.19,"2,775,000"
"Hernandez
										
										David Hernandez",34,"RP","Vet",NA,"$2,500,000","-","$2,500,000","$2,500,000",1.97,"2,500,000"
"Iglesias
										
										Jose Iglesias",29,"SS","Vet",NA,"$2,500,000","-","$2,500,000","$2,500,000",1.97,"2,500,000"
"DeSclafani
										
										Anthony DeSclafani",29,"SP","Arb 2",2,"$2,125,000","-","$2,125,000","$2,125,000",1.68,"2,125,000"
"Hughes
										
										Jared Hughes",33,"RP","Vet",NA,"$2,125,000","-","$2,125,000","$2,125,000",1.68,"2,125,000"
"Dietrich
										
										Derek Dietrich",29,"2B","Arb 3",NA,"$2,000,000","-","$2,000,000","$2,000,000",1.58,"2,000,000"
"Duke
										
										Zach Duke",36,"RP","Vet",NA,"$2,000,000","-","$2,000,000","$2,000,000",1.58,"2,000,000"
"Lorenzen
										
										Michael Lorenzen",27,"RP","Arb 2",3,"$1,950,000","-","$1,950,000","$1,950,000",1.54,"1,950,000"
"Casali
										
										Curt Casali",30,"C","Arb 1",NA,"$950,000","-","$950,000","$950,000",0.75,"950,000"
"Winker
										
										Jesse Winker",25,"LF","Pre-Arb",2,"$580,000","-","$580,000","$580,000",0.46,"580,000"
"Mahle
										
										Tyler Mahle",24,"SP","Pre-Arb",2,"$570,000","-","$570,000","$570,000",0.45,"570,000"
"Peralta
										
										Wandy Peralta",27,"RP","Pre-Arb",2,"$570,000","-","$570,000","$570,000",0.45,"570,000"
"Garrett
										
										Amir Garrett",27,"RP","Pre-Arb",1,"$567,500","-","$567,500","$567,500",0.45,"567,500"
"Stephenson
										
										Robert Stephenson",26,"RP","Pre-Arb",NA,"$565,000","-","$565,000","$565,000",0.45,"565,000"
"Castillo
										
										Luis Castillo",26,"SP","Pre-Arb",2,"$557,500","-","$557,500","$557,500",0.44,"557,500"
"Farmer
										
										Kyle Farmer",28,"C","Pre-Arb",1,"$557,500","-","$557,500","$557,500",0.44,"557,500"
"Senzel
										
										Nick Senzel",24,"OF","Pre-Arb",NA,"$555,000","-","$555,000","$447,600",0.35,"447,600"
"VanMeter
										
										Josh VanMeter",24,"2B","Pre-Arb",NA,"$555,000","-","$555,000","$441,632",0.35,"441,632"
