"Active.Players..39.","Age","Pos.","Status","Base.Salary","Signing.Bonus","Incentives","Payroll.Salary","Adj...Salary","Payroll..","Lux..Tax.Salary"
"Encarnacion
										
										Edwin Encarnacion",34,"DH","Vet","$13,000,000","$1,666,666","$150,000","$14,816,666","$14,816,666",11.23,"20,000,000"
"Santana
										
										Carlos Santana",31,"1B","Vet","$12,000,000","-","-","$12,000,000","$12,000,000",9.09,"4,200,380"
"Kipnis
										
										Jason Kipnis",30,"2B","Arb 3","$9,000,000","$166,666","-","$9,166,666","$9,166,666",6.95,"8,750,000"
"Miller
										
										Andrew Miller",32,"RP","Vet","$9,000,000","-","-","$9,000,000","$9,000,000",6.82,"9,000,000"
"Brantley
										
										Michael Brantley",30,"LF","Vet","$7,500,000","$875,000","-","$8,375,000","$8,375,000",6.35,"6,250,000"
"Kluber
										
										Corey Kluber",31,"SP","Arb 2","$7,500,000","$200,000","$250,000","$7,950,000","$7,950,000",6.02,"7,700,000"
"Allen
										
										Cody Allen",28,"RP/CL","Arb 2","$7,350,000","-","-","$7,350,000","$7,350,000",5.57,"7,350,000"
"Carrasco
										
										Carlos Carrasco",30,"SP","Arb 3","$6,500,000","-","-","$6,500,000","$6,500,000",4.93,"5,500,000"
"Shaw
										
										Bryan Shaw",29,"RP","Arb 3","$4,600,000","-","-","$4,600,000","$4,600,000",3.49,"4,600,000"
"Gomes
										
										Yan Gomes",29,"C","Arb 2","$4,500,000","$83,333","-","$4,583,333","$4,583,333",3.47,"3,833,333"
"Chisenhall
										
										Lonnie Chisenhall",28,"RF","Arb 2","$4,300,000","-","-","$4,300,000","$4,300,000",3.26,"4,300,000"
"Bruce
										
										Jay Bruce",30,"RF","Vet","$13,000,000","-","-","$13,000,000","$3,765,014",2.85,"8,500,000"
"Bauer
										
										Trevor Bauer",26,"SP","Arb 1","$3,550,000","-","-","$3,550,000","$3,550,000",2.69,"3,550,000"
"Salazar
										
										Danny Salazar",27,"SP","Arb 1","$3,400,000","-","-","$3,400,000","$3,400,000",2.58,"3,400,000"
"Tomlin
										
										Josh Tomlin",32,"SP","Vet","$2,500,000","-","$500,000","$3,000,000","$3,000,000",2.27,"1,833,333"
"Guyer
										
										Brandon Guyer",31,"RF","Arb 2","$2,000,000","-","-","$2,000,000","$2,000,000",1.52,"2,500,000"
"McAllister
										
										Zach McAllister",29,"RP","Arb 2","$1,825,000","-","-","$1,825,000","$1,825,000",1.38,"1,825,000"
"Jackson
										
										Austin Jackson",30,"CF","Vet","$1,500,000","-","-","$1,500,000","$1,500,000",1.14,"1,500,000"
"Otero
										
										Dan Otero",32,"RP","Arb 1","$1,050,000","-","-","$1,050,000","$1,050,000",0.8,"1,050,000"
"Smith
										
										Joe Smith",33,"RP","Vet","$3,000,000","-","-","$3,000,000","$1,032,759",0.78,"3,000,000"
"Ramirez
										
										Jose Ramirez",24,"3B","Pre-Arb","$571,400","$400,000","-","$971,400","$971,400",0.74,"6,500,000"
"Perez
										
										Roberto Perez",28,"C","Pre-Arb","$550,000","$125,000","-","$675,000","$675,000",0.51,"2,250,000"
"Lindor
										
										Francisco Lindor",23,"SS","Pre-Arb","$579,300","-","-","$579,300","$579,300",0.44,"579,300"
"Almonte
										
										Abraham Almonte",28,"CF","Pre-Arb","$544,200","-","-","$544,200","$511,528",0.39,"544,200"
"Goody
										
										Nick Goody",25,"RP","Pre-Arb","$535,000","-","-","$535,000","$499,833",0.38,"535,000"
"Zimmer
										
										Bradley Zimmer",24,"OF","Pre-Arb","$535,000","-","-","$535,000","$406,297",0.31,"535,000"
"Clevinger
										
										Mike Clevinger",26,"RP","Pre-Arb","$535,000","-","-","$535,000","$388,759",0.29,"535,000"
"Gonzalez
										
										Erik Gonzalez",25,"3B","Pre-Arb","$535,000","-","-","$535,000","$365,375",0.28,"535,000"
"Urshela
										
										Giovanny Urshela",25,"3B","Pre-Arb","$535,000","-","-","$535,000","$251,378",0.19,"535,000"
"Armstrong
										
										Shawn Armstrong",26,"RP","Pre-Arb","$535,700","-","-","$535,700","$218,078",0.17,"535,700"
"Diaz
										
										Yandy Diaz",25,"3B","Pre-Arb","$535,000","-","-","$535,000","$198,764",0.15,"535,000"
"Olson
										
										Tyler Olson",27,"RP","Pre-Arb","$535,000","-","-","$535,000","$195,841",0.15,"535,000"
"Naquin
										
										Tyler Naquin",26,"CF","Pre-Arb","$564,800","-","-","$564,800","$126,526",0.1,"564,800"
"Merritt
										
										Ryan Merritt",25,"RP","Pre-Arb","$535,400","-","-","$535,400","$122,892",0.09,"535,400"
"Crockett
										
										Kyle Crockett",25,"RP","Pre-Arb","$535,000","-","-","$535,000","$116,920",0.09,"535,000"
"Breslow
										
										Craig Breslow",36,"RP","Vet","$535,000","-","-","$535,000","$108,151",0.08,"535,000"
"Allen
										
										Greg Allen",24,"OF","Pre-Arb","$535,000","-","-","$535,000","$90,613",0.07,"535,000"
"Mejia
										
										Francisco Mejia",21,"C","Pre-Arb","$535,000","-","-","$535,000","$90,613",0.07,"535,000"
"Morimando
										
										Shawn Morimando",24,"RP","Pre-Arb","$535,000","-","-","$535,000","$90,613",0.07,"535,000"
