"Active.Players..25.","Age","Pos.","Status","Waiver.Options","Base.Salary","Signing.Bonus","Payroll.Salary","Adj...Salary","Payroll..","Lux..Tax.Salary"
"Santana
										
										Carlos Santana",33,"DH","Vet",NA,"$17,000,000","$3,333,333","$20,333,333","$18,333,333",15.18,"18,000,000"
"Kipnis
										
										Jason Kipnis",32,"2B","Vet",NA,"$14,500,000","$166,668","$14,666,668","$14,666,668",12.14,"8,750,000"
"Bauer
										
										Trevor Bauer",28,"SP","Arb 3",NA,"$13,000,000","-","$13,000,000","$13,000,000",10.76,"13,000,000"
"Lindor
										
										Francisco Lindor",25,"SS","Arb 1",3,"$10,550,000","-","$10,550,000","$10,550,000",8.73,"10,550,000"
"Carrasco
										
										Carlos Carrasco",32,"SP","Vet",NA,"$9,750,000","-","$9,750,000","$9,750,000",8.07,"11,750,000"
"Hand
										
										Brad Hand",29,"RP/CL","Arb 3",NA,"$6,500,000","-","$6,500,000","$6,500,000",5.38,"6,583,333"
"Ramirez
										
										Jose Ramirez",26,"3B","Arb 2",1,"$3,750,000","$400,000","$4,150,000","$4,150,000",3.44,"5,200,000"
"Martin
										
										Leonys Martin",31,"CF","Arb 4",NA,"$3,000,000","-","$3,000,000","$3,000,000",2.48,"3,000,000"
"Perez
										
										Roberto Perez",30,"C","Pre-Arb",3,"$2,500,000","$125,000","$2,625,000","$2,625,000",2.17,"2,250,000"
"Perez
										
										Oliver Perez",37,"RP","Vet",NA,"$2,500,000","-","$2,500,000","$2,500,000",2.07,"2,500,000"
"Gonzalez
										
										Carlos Gonzalez",33,"RF","Vet",NA,"$2,000,000","-","$2,000,000","$2,000,000",1.66,"2,000,000"
"Otero
										
										Dan Otero",34,"RP","Arb 3",NA,"$1,300,000","-","$1,300,000","$1,300,000",1.08,"1,250,000"
"Clippard
										
										Tyler Clippard",34,"RP","Vet",NA,"$1,500,000","-","$1,500,000","$1,274,270",1.05,"1,274,270"
"Plawecki
										
										Kevin Plawecki",28,"C","Arb 1",NA,"$1,137,500","-","$1,137,500","$1,137,500",0.94,"1,137,500"
"Ramirez
										
										Neil Ramirez",30,"RP","Arb 2",NA,"$1,000,000","-","$1,000,000","$1,000,000",0.83,"1,000,000"
"Naquin
										
										Tyler Naquin",28,"RF","Pre-Arb",2,"$574,800","-","$574,800","$574,800",0.48,"574,800"
"Cimber
										
										Adam Cimber",28,"RP","Pre-Arb",3,"$563,800","-","$563,800","$563,800",0.47,"563,800"
"Olson
										
										Tyler Olson",29,"RP","Pre-Arb",NA,"$560,900","-","$560,900","$560,900",0.46,"560,900"
"Bauers
										
										Jake Bauers",23,"1B","Pre-Arb",2,"$560,400","-","$560,400","$560,400",0.46,"560,400"
"Bieber
										
										Shane Bieber",24,"SP","Pre-Arb",2,"$559,600","-","$559,600","$559,600",0.46,"559,600"
"Anderson
										
										Cody Anderson",28,"SP","Arb 1",1,"$641,250","-","$641,250","$551,680",0.46,"551,680"
"Wittgren
										
										Nick Wittgren",28,"RP","Pre-Arb",1,"$555,000","-","$555,000","$519,216",0.43,"519,216"
"Luplow
										
										Jordan Luplow",25,"LF","Pre-Arb",1,"$564,500","-","$564,500","$518,985",0.43,"518,985"
"Edwards
										
										Jon Edwards",31,"RP","Pre-Arb",2,"$555,900","-","$555,900","$499,163",0.41,"499,163"
"Freeman
										
										Mike Freeman",31,"2B","Pre-Arb",1,"$555,000","-","$555,000","$498,328",0.41,"498,328"
