"Active.Players..43.","Age","Pos.","Status","Base.Salary","Signing.Bonus","Incentives","Payroll.Salary","Adj...Salary","Payroll..","Lux..Tax.Salary"
"Cuddyer
										
										Michael Cuddyer",33,"LF","Vet","$10,500,000","-","-","$10,500,000","$10,500,000",11.9,0
"De La Rosa
										
										Jorge De La Rosa",31,"RP","Vet","$10,000,000","$500,000","-","$10,500,000","$10,500,000",11.9,0
"Tulowitzki
										
										Troy Tulowitzki",27,"SS","Vet","$8,250,000","-","$25,000","$8,275,000","$8,275,000",9.38,0
"Guthrie
										
										Jeremy Guthrie",33,"SP","Arb 3","$8,200,000","-","-","$8,200,000","$8,200,000",9.3,0
"Gonzalez
										
										Carlos Gonzalez",26,"RF","Vet","$5,000,000","$428,571","$50,000","$5,478,571","$5,478,571",6.21,0
"Helton
										
										Todd Helton",38,"1B","Vet","$4,900,000","-","-","$4,900,000","$4,900,000",5.55,0
"Betancourt
										
										Rafael Betancourt",37,"RP","Vet","$4,000,000","-","-","$4,000,000","$4,000,000",4.53,0
"Belisle
										
										Matt Belisle",32,"RP","Vet","$3,775,000","-","-","$3,775,000","$3,775,000",4.28,0
"Hernandez
										
										Ramon Hernandez",36,"C","Vet","$3,200,000","-","-","$3,200,000","$3,200,000",3.63,0
"Fowler
										
										Dexter Fowler",26,"CF","Arb 1","$2,350,000","-","-","$2,350,000","$2,350,000",2.66,0
"Giambi
										
										Jason Giambi",41,"DH","Vet","$1,000,000","-","-","$1,000,000","$1,000,000",1.13,0
"Chacin
										
										Jhoulys Chacin",24,"SP","Pre-Arb","$482,000","-","-","$482,000","$482,000",0.55,0
"Herrera
										
										Jonathan Herrera",27,"SS","Pre-Arb","$482,000","-","-","$482,000","$482,000",0.55,0
"Outman
										
										Josh Outman",27,"RP","Pre-Arb","$482,000","-","-","$482,000","$482,000",0.55,0
"Colvin
										
										Tyler Colvin",26,"RP","Pre-Arb","$481,000","-","-","$481,000","$481,000",0.55,0
"Reynolds
										
										Matt Reynolds",27,"RP","Pre-Arb","$481,000","-","-","$481,000","$481,000",0.55,0
"Roenicke
										
										Josh Roenicke",29,"RP","Pre-Arb","$481,000","-","-","$481,000","$481,000",0.55,0
"Rogers
										
										Esmil Rogers",26,"RP","Pre-Arb","$481,000","-","-","$481,000","$481,000",0.55,0
"Young Jr.
										
										Eric Young Jr.",27,"CF","Pre-Arb","$481,000","-","-","$481,000","$481,000",0.55,0
"Blackmon
										
										Charlie Blackmon",26,"CF","Pre-Arb","$480,000","-","-","$480,000","$480,000",0.54,0
"Brothers
										
										Rex Brothers",24,"RP","Pre-Arb","$480,000","-","-","$480,000","$480,000",0.54,0
"Brown
										
										Andrew Brown",27,"LF","Pre-Arb","$480,000","-","-","$480,000","$480,000",0.54,0
"Chatwood
										
										Tyler Chatwood",22,"SP","Pre-Arb","$480,000","-","-","$480,000","$480,000",0.54,0
"Culberson
										
										Charlie Culberson",23,"3B","Pre-Arb","$480,000","-","-","$480,000","$480,000",0.54,0
"Escalona
										
										Edgmer Escalona",25,"RP","Pre-Arb","$480,000","-","-","$480,000","$480,000",0.54,0
"Field
										
										Tommy Field",25,"2B","Pre-Arb","$480,000","-","-","$480,000","$480,000",0.54,0
"Friedrich
										
										Christian Friedrich",24,"SP","Pre-Arb","$480,000","-","-","$480,000","$480,000",0.54,0
"Gomez
										
										Hector Gomez",24,"SS","Pre-Arb","$480,000","-","-","$480,000","$480,000",0.54,0
"Harris
										
										Will Harris",27,"RP","Pre-Arb","$480,000","-","-","$480,000","$480,000",0.54,0
"LeMahieu
										
										D.J. LeMahieu",23,"2B","Pre-Arb","$480,000","-","-","$480,000","$480,000",0.54,0
"Moscoso
										
										Guillermo Moscoso",28,"SP","Pre-Arb","$480,000","-","-","$480,000","$480,000",0.54,0
"Nelson
										
										Chris Nelson",26,"3B","Pre-Arb","$480,000","-","-","$480,000","$480,000",0.54,0
"Nicasio
										
										Juan Nicasio",25,"RP","Pre-Arb","$480,000","-","-","$480,000","$480,000",0.54,0
"Ortego
										
										Rafael Ortego",21,"CF","Pre-Arb","$480,000","-","-","$480,000","$480,000",0.54,0
"Ottavino
										
										Adam Ottavino",26,"RP","Pre-Arb","$480,000","-","-","$480,000","$480,000",0.54,0
"Pacheco
										
										Jordan Pacheco",26,"3B","Pre-Arb","$480,000","-","-","$480,000","$480,000",0.54,0
"Pomeranz
										
										Drew Pomeranz",23,"SP","Pre-Arb","$480,000","-","-","$480,000","$480,000",0.54,0
"Putnam
										
										Zach Putnam",24,"RP","Pre-Arb","$480,000","-","-","$480,000","$480,000",0.54,0
"Rosario
										
										Wilin Rosario",23,"1B","Pre-Arb","$480,000","-","-","$480,000","$480,000",0.54,0
"Rutledge
										
										Josh Rutledge",23,"SS","Pre-Arb","$480,000","-","-","$480,000","$480,000",0.54,0
"Torres
										
										Carlos Torres",29,"RP","Pre-Arb","$480,000","-","-","$480,000","$480,000",0.54,0
"White
										
										Alex White",23,"RP","Pre-Arb","$480,000","-","-","$480,000","$480,000",0.54,0
"Francis
										
										Jeff Francis",31,"SP","Vet","$480,000","-","-","$480,000","$306,885",0.35,0
