"Active.Players..25.","Age","Pos.","Status","Waiver.Options","Base.Salary","Signing.Bonus","Payroll.Salary","Adj...Salary","Payroll..","Lux..Tax.Salary"
"Arenado
										
										Nolan Arenado",28,"3B","Arb 4",3,"$26,000,000","-","$26,000,000","$26,000,000",17.48,"32,500,000"
"Blackmon
										
										Charlie Blackmon",32,"RF","Vet",NA,"$21,000,000","$333,333","$21,333,333","$21,333,333",14.34,"18,000,000"
"Davis
										
										Wade Davis",33,"RP/CL","Vet",NA,"$18,000,000","-","$18,000,000","$18,000,000",12.1,"17,333,333"
"Desmond
										
										Ian Desmond",33,"CF","Vet",NA,"$15,000,000","-","$15,000,000","$15,000,000",10.08,"14,000,000"
"Murphy
										
										Daniel Murphy",34,"1B","Vet",NA,"$10,000,000","-","$10,000,000","$10,000,000",6.72,"12,000,000"
"Shaw
										
										Bryan Shaw",31,"RP","Vet",NA,"$8,500,000","-","$8,500,000","$8,500,000",5.71,"9,000,000"
"Dunn
										
										Michael Dunn",34,"RP","Vet",NA,"$7,000,000","-","$7,000,000","$7,000,000",4.71,"6,333,333"
"Story
										
										Trevor Story",26,"SS","Arb 1",3,"$5,000,000","-","$5,000,000","$5,000,000",3.36,"5,000,000"
"Iannetta
										
										Chris Iannetta",36,"C","Vet",NA,"$4,000,000","$150,000","$4,150,000","$4,150,000",2.79,"4,250,000"
"Bettis
										
										Chad Bettis",30,"SP","Arb 2",1,"$3,325,000","-","$3,325,000","$3,325,000",2.24,"3,325,000"
"Gray
										
										Jon Gray",27,"SP","Arb 1",3,"$2,925,000","-","$2,925,000","$2,925,000",1.97,"2,925,000"
"Oh
										
										Seung-Hwan Oh",36,"RP","Pre-Arb",3,"$2,500,000","-","$2,500,000","$2,500,000",1.68,"2,500,000"
"Oberg
										
										Scott Oberg",29,"RP","Arb 1",NA,"$1,300,000","-","$1,300,000","$1,300,000",0.87,"1,300,000"
"Marquez
										
										German Marquez",24,"SP","Pre-Arb",2,"$1,000,000","$300,000","$1,300,000","$1,300,000",0.87,"8,600,000"
"Reynolds
										
										Mark Reynolds",35,"1B","Vet",NA,"$1,000,000","-","$1,000,000","$1,000,000",0.67,"1,000,000"
"Wolters
										
										Tony Wolters",27,"C","Arb 1",1,"$960,000","-","$960,000","$960,000",0.65,"960,000"
"Freeland
										
										Kyle Freeland",26,"SP","Pre-Arb",3,"$565,000","-","$565,000","$565,000",0.38,"565,000"
"Dahl
										
										David Dahl",25,"LF","Pre-Arb",1,"$560,000","-","$560,000","$560,000",0.38,"560,000"
"McMahon
										
										Ryan McMahon",24,"2B","Pre-Arb",1,"$560,000","-","$560,000","$560,000",0.38,"560,000"
"Senzatela
										
										Antonio Senzatela",24,"SP","Pre-Arb",1,"$560,000","-","$560,000","$560,000",0.38,"560,000"
"Tapia
										
										Raimel Tapia",25,"CF","Pre-Arb",NA,"$560,000","-","$560,000","$560,000",0.38,"560,000"
"Hampson
										
										Garrett Hampson",24,"2B","Pre-Arb",2,"$557,000","-","$557,000","$557,000",0.37,"557,000"
"Johnson
										
										D.J. Johnson",29,"RP","Pre-Arb",3,"$557,000","-","$557,000","$542,095",0.36,"542,095"
"Estevez
										
										Carlos Estevez",26,"RP","Pre-Arb",NA,"$555,000","-","$555,000","$540,104",0.36,"540,104"
"Almonte
										
										Yency Almonte",25,"RP","Pre-Arb",1,"$555,000","-","$555,000","$468,488",0.31,"468,488"
